filed,kind,category,entity,penalty_gbp,title,url,captured_at
2026-04-27,other,Statements,,,Motor finance compensation scheme challenged,https://www.fca.org.uk/news/statements/motor-finance-compensation-scheme-challenged,2026-04-27T22:56:57Z
2026-04-27,press,Press Releases,,,FCA consults on changes to IPO research rules,https://www.fca.org.uk/news/press-releases/fca-consults-changes-ipo-research-rules,2026-04-27T22:56:57Z
2026-04-27,investigation,Press Releases,,,FCA Board appoints 2 new members to the Regulatory Decisions Committee,https://www.fca.org.uk/news/press-releases/fca-board-appoints-2-new-members-regulatory-decisions-committee,2026-04-27T22:56:57Z
2026-04-24,press,Press Releases,,,FCA spearheads global action to stop illegal finfluencers,https://www.fca.org.uk/news/press-releases/fca-spearheads-global-action-stop-illegal-finfluencers,2026-04-27T22:56:57Z
2026-04-23,press,Press Releases,,,Sapia agrees to pay more than £19m to WealthTek clients after failing to protect client money,https://www.fca.org.uk/news/press-releases/sapia-agrees-pay-more-than-19m-to-wealthtek-clients,2026-04-27T22:56:57Z
2026-04-23,other,Statements,,,FCA calls on law firms and claims management companies to consider the position of their clients,https://www.fca.org.uk/news/statements/fca-calls-law-firms-cmc-consider-clients,2026-04-27T22:56:57Z
2026-04-23,other,News stories,,,FCA publishes findings from financial adviser market survey,https://www.fca.org.uk/news/news-stories/fca-publishes-findings-financial-adviser-market-survey,2026-04-27T22:56:57Z
2026-04-23,other,News stories,,,FCA looks for members for its advisory committee on secondary markets,https://www.fca.org.uk/news/news-stories/fca-looks-members-its-advisory-committee-secondary-markets,2026-04-27T22:56:57Z
2026-04-22,other,Speeches,,,Getting firms fit to run,https://www.fca.org.uk/news/speeches/getting-firms-fit-run,2026-04-27T22:56:57Z
2026-04-22,press,Press Releases,,,FCA and PRA confirm changes to streamline senior manager accountability and boost growth,https://www.fca.org.uk/news/press-releases/fca-pra-changes-streamline-senior-manager-accountability-boost-growth,2026-04-27T22:56:57Z
2026-04-22,press,Press Releases,,,FCA leads first crackdown on illegal crypto trading,https://www.fca.org.uk/news/press-releases/fca-leads-first-crackdown-illegal-crypto-trading,2026-04-27T22:56:57Z
2026-04-21,press,Press Releases,"Barclays, Experian, Lloyds Banking Group",,FCA announces second cohort for AI Live Testing,https://www.fca.org.uk/news/press-releases/fca-announces-second-cohort-ai-live-testing,2026-04-27T22:56:57Z
2026-04-21,other,Speeches,,,Supporting fintech in the next phase of innovation,https://www.fca.org.uk/news/speeches/supporting-fintech-next-phase-innovation,2026-04-27T22:56:57Z
2026-04-20,other,News stories,Financial Services,,Join the Financial Services Consumer Panel – vacancies now open,https://www.fca.org.uk/news/news-stories/join-financial-services-consumer-panel-vacancies-now-open,2026-04-27T22:56:57Z
2026-04-17,liquidation,News stories,HDH Investment Services Limited,,HDH Investment Services Limited enters liquidation,https://www.fca.org.uk/news/news-stories/hdh-investment-services-limited-enters-liquidation,2026-04-27T22:56:57Z
2026-04-16,consumer_duty,Blogs,,,Year 2 Consumer Duty Board Reports: progress and what comes next,https://www.fca.org.uk/news/blogs/year-2-consumer-duty-board-reports-progress-and-what-comes-next,2026-04-27T22:56:57Z
2026-04-16,rulemaking,Press Releases,,,FCA introduces clearer and simpler short selling rules,https://www.fca.org.uk/news/press-releases/fca-introduces-clearer-simpler-short-selling-rules,2026-04-27T22:56:57Z
2026-04-15,press,Press Releases,,,FCA consults on guidance on UK’s future crypto regime,https://www.fca.org.uk/news/press-releases/fca-consults-guidance-uk-future-crypto-regime,2026-04-27T22:56:57Z
2026-04-15,investigation,Press Releases,Hartley Pensions Limited,,FCA takes next steps toward enforcement action against Hartley Pensions and an individual,https://www.fca.org.uk/news/press-releases/fca-next-steps-enforcement-action-hartley-pensions-individual,2026-04-27T22:56:57Z
2026-04-14,press,Press Releases,FCA. Conclusive Financial Ltd,,FCA bans CMC's misleading adverts,https://www.fca.org.uk/news/press-releases/fca-bans-cmcs-misleading-adverts,2026-04-27T22:56:57Z
