filed_utc,kind,title,link,summary
2026-04-23T00:00:00Z,emergency_alert,Improving Customer Service and Protecting Consumers Through Onshoring,https://www.federalregister.gov/documents/2026/04/23/2026-07960/improving-customer-service-and-protecting-consumers-through-onshoring,"In this document, the Federal Communications Commission (Commission) proposes actions that would encourage and facilitate the onshoring of foreign call centers. Specifically, the Commission proposes rules and otherwise explore ways to improve customer service communications and better protect consumers' sensitive personal information by limiting use of foreign call centers and by improving..."
2026-04-23T00:00:00Z,fcc_general,Information Collection Being Reviewed by the Federal Communications Commission,https://www.federalregister.gov/documents/2026/04/23/2026-07858/information-collection-being-reviewed-by-the-federal-communications-commission,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information..."
2026-04-20T00:00:00Z,public_safety,Reducing Barriers to Network Improvements and Service Changes,https://www.federalregister.gov/documents/2026/04/20/2026-07622/reducing-barriers-to-network-improvements-and-service-changes,"In this document, the Federal Communications Commission (Commission) adopted a Report and Order that reduces regulatory barriers and costs that hinder the transition from outdated legacy networks and services to next-generation, Internet Protocol (IP)-based infrastructure. The actions taken in the Report and Order combine common sense reforms with core consumer protections that bring the..."
2026-04-20T00:00:00Z,fcc_general,Petition for Reconsideration of Action in Rulemaking Proceeding,https://www.federalregister.gov/documents/2026/04/20/2026-07609/petition-for-reconsideration-of-action-in-rulemaking-proceeding,Petition for Reconsideration (Petition) has been filed in the Commission's proceedings by David S. Keir on behalf of Kin[eacute]is.
2026-04-16T00:00:00Z,universal_service,Notice of Suspension and Commencement of Proposed Debarment Proceedings,https://www.federalregister.gov/documents/2026/04/16/2026-07438/notice-of-suspension-and-commencement-of-proposed-debarment-proceedings,"The Enforcement Bureau (the Bureau) gives notice of the suspension of Kenneth Collura from the schools and libraries universal service support mechanism (or E-Rate Program) and all universal service support mechanisms. Additionally, the Bureau gives notice that debarment proceedings are commencing against Mr. Collura, or any person who has an existing contract with or intends to contract with him..."
2026-04-16T00:00:00Z,universal_service,Notice of Suspension and Commencement of Proposed Debarment Proceedings,https://www.federalregister.gov/documents/2026/04/16/2026-07411/notice-of-suspension-and-commencement-of-proposed-debarment-proceedings,"The Enforcement Bureau (the Bureau) gives notice of the suspension of Charles A. Jones from the schools and libraries universal service support mechanism (or E-Rate Program) and all universal service support mechanisms. Additionally, the Bureau gives notice that debarment proceedings are commencing against Mr. Jones, or any person who has an existing contract with or intends to contract with him..."
2026-04-16T00:00:00Z,universal_service,Notice of Suspension and Commencement of Proposed Debarment Proceedings,https://www.federalregister.gov/documents/2026/04/16/2026-07404/notice-of-suspension-and-commencement-of-proposed-debarment-proceedings,"The Enforcement Bureau (the Bureau) gives notice of the suspension of Donna Woods from the schools and libraries universal service support mechanism (or E-Rate Program) and all universal service support mechanisms. Additionally, the Bureau gives notice that debarment proceedings are commencing against Ms. Woods, or any person who has an existing contract with or intends to contract with him to..."
2026-04-16T00:00:00Z,fcc_general,Unleashing American Drone Dominance,https://www.federalregister.gov/documents/2026/04/16/2026-07381/unleashing-american-drone-dominance,"In this document, the Federal Communications Commission (FCC or Commission) seeks comment on additional means by which the Commission can continue to fulfill its public interest mandate and achieve American drone dominance. The Commission's Wireless Telecommunications Bureau and Office of Engineering and Technology seek input on an array of reforms the Commission might take to unleash American..."
2026-04-16T00:00:00Z,fcc_general,Information Collections Being Submitted for Review and Approval to Office of Management and Budget,https://www.federalregister.gov/documents/2026/04/16/2026-07358/information-collections-being-submitted-for-review-and-approval-to-office-of-management-and-budget,"As part of its continuing effort to reduce paperwork burdens, as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal Agencies to take this opportunity to comment on the following information collection. Pursuant to the Small Business Paperwork Relief Act of 2002, the FCC seeks specific..."
2026-04-16T00:00:00Z,fcc_general,Information Collection Being Reviewed by the Federal Communications Commission Under Delegated Authority,https://www.federalregister.gov/documents/2026/04/16/2026-07357/information-collection-being-reviewed-by-the-federal-communications-commission-under-delegated,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA) of 1995, the Federal Communications Commission (FCC or the Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collection. Comments are requested concerning: whether the proposed collection of information..."
2026-04-16T00:00:00Z,fcc_general,Information Collection Being Reviewed by the Federal Communications Commission,https://www.federalregister.gov/documents/2026/04/16/2026-07356/information-collection-being-reviewed-by-the-federal-communications-commission,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA), the Federal Communications Commission (FCC or Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collections. Comments are requested concerning: whether the proposed collection of information is..."
2026-04-16T00:00:00Z,fcc_general,Information Collections Being Reviewed by the Federal Communications Commission,https://www.federalregister.gov/documents/2026/04/16/2026-07355/information-collections-being-reviewed-by-the-federal-communications-commission,"As part of its continuing effort to reduce paperwork burdens, and as required by the Paperwork Reduction Act (PRA), the Federal Communications Commission (FCC or Commission) invites the general public and other Federal agencies to take this opportunity to comment on the following information collections. Comments are requested concerning: whether the proposed collection of information is..."
2026-04-16T00:00:00Z,fcc_general,Deleting Obsolete and Duplicative Wireline Rules,https://www.federalregister.gov/documents/2026/04/16/2026-07343/deleting-obsolete-and-duplicative-wireline-rules,"In this document, the Federal Communications Commission (the Commission) continues its efforts to modernize its regulatory framework by rescinding facially obsolete provisions of its rules."
2026-04-15T00:00:00Z,proposed_rule,Wireless Telecommunications Bureau Refreshes Record on Lower C-Band Petitions for Reconsideration,https://www.federalregister.gov/documents/2026/04/15/2026-07269/wireless-telecommunications-bureau-refreshes-record-on-lower-c-band-petitions-for-reconsideration,"In this document, the Federal Communications Commission (Commission) seeks to refresh the record on pending petitions for reconsideration of the Commission's 2020 Report and Order in the Expanding Flexible Use of the 3.7 to 4.2 GHz Band rulemaking (2020 C- band R&O) in light of certain technical proposals in the 2025 Notice of Proposed Rulemaking in the Upper C-band (3.98-4.2 GHz) rulemaking..."
