manufacturer,ae_count_2y,rank,captured_at
"DEXCOM, INC.",716508,1,2026-04-27T23:11:56Z
TANDEM DIABETES CARE,481481,2,2026-04-27T23:11:56Z
INSTITUT STRAUMANN AG,439015,3,2026-04-27T23:11:56Z
NOBEL BIOCARE AB GÖTEBORG,385003,4,2026-04-27T23:11:56Z
MEDTRONIC PUERTO RICO OPERATIONS CO.,341101,5,2026-04-27T23:11:56Z
"RESPIRONICS, INC.",153942,6,2026-04-27T23:11:56Z
BOSTON SCIENTIFIC CORPORATION,120700,7,2026-04-27T23:11:56Z
INSULET CORPORATION,119671,8,2026-04-27T23:11:56Z
JJGC S.A.,118002,9,2026-04-27T23:11:56Z
MEDTRONIC MINIMED,117016,10,2026-04-27T23:11:56Z
MIS IMPLANTS TECHNOLOGIES LTD.,114453,11,2026-04-27T23:11:56Z
NOBEL BIOCARE AB,111797,12,2026-04-27T23:11:56Z
"AIZU OLYMPUS CO., LTD.",87614,13,2026-04-27T23:11:56Z
ABBOTT DIABETES CARE INC,85234,14,2026-04-27T23:11:56Z
"INTUITIVE SURGICAL, INC",79565,15,2026-04-27T23:11:56Z
DENTSPLY IMPLANTS MANUFACTURING GMBH,72616,16,2026-04-27T23:11:56Z
"CAREFUSION 303, INC.",66758,17,2026-04-27T23:11:56Z
CAREFUSION SD,62571,18,2026-04-27T23:11:56Z
"SHIRAKAWA OLYMPUS CO., LTD.",50505,19,2026-04-27T23:11:56Z
ALLERGAN (COSTA RICA),42854,20,2026-04-27T23:11:56Z
UNOMEDICAL A/S,42444,21,2026-04-27T23:11:56Z
"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",41697,22,2026-04-27T23:11:56Z
MPRI,40207,23,2026-04-27T23:11:56Z
BIOHORIZONS INC.,39091,24,2026-04-27T23:11:56Z
"MEDTRONIC, INC.",34671,25,2026-04-27T23:11:56Z
BETA BIONICS INC.,34462,26,2026-04-27T23:11:56Z
ABBOTT MEDICAL,31254,27,2026-04-27T23:11:56Z
ALTATEC GMBH,29741,28,2026-04-27T23:11:56Z
MEDTRONIC PUERTO RICO VILLALBA,28601,29,2026-04-27T23:11:56Z
MENTOR TEXAS,27946,30,2026-04-27T23:11:56Z
S.I.N. IMPLANT SYSTEM,27718,31,2026-04-27T23:11:56Z
ETHICON INC.,27017,32,2026-04-27T23:11:56Z
"ABIOMED, INC.",25408,33,2026-04-27T23:11:56Z
SYNTHES GMBH,24540,34,2026-04-27T23:11:56Z
ZOLL MANUFACTURING CORPORATION,24066,35,2026-04-27T23:11:56Z
DEPUY ORTHOPAEDICS INC US,24019,36,2026-04-27T23:11:56Z
ANTHOGYR,23332,37,2026-04-27T23:11:56Z
ABBOTT DIABETES CARE LTD,23172,38,2026-04-27T23:11:56Z
BAXTER HEALTHCARE CORPORATION,23026,39,2026-04-27T23:11:56Z
PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.,21625,40,2026-04-27T23:11:56Z
ABBOTT VASCULAR INC.,21504,41,2026-04-27T23:11:56Z
"C.R. BARD, INC. (BASD) -3006260740",19209,42,2026-04-27T23:11:56Z
MEDTRONIC SINGAPORE OPERATIONS,18561,43,2026-04-27T23:11:56Z
"ETHICON ENDO-SURGERY, LLC.",18184,44,2026-04-27T23:11:56Z
"ST. JUDE MEDICAL - NEUROMODULATION (PUERTO RICO, LLC)",17834,45,2026-04-27T23:11:56Z
"DATEX-OHMEDA, INC.",17005,46,2026-04-27T23:11:56Z
OLYMPUS WINTER & IBE GMBH,16909,47,2026-04-27T23:11:56Z
EDWARDS LIFESCIENCES,15834,48,2026-04-27T23:11:56Z
"ZIMMER BIOMET, INC.",15703,49,2026-04-27T23:11:56Z
"ARTHREX, INC.",14836,50,2026-04-27T23:11:56Z
THORATEC CORPORATION,14772,51,2026-04-27T23:11:56Z
"SMITHS MEDICAL ASD, INC.",14310,52,2026-04-27T23:11:56Z
UNOMEDICAL DEVICES S.A. DE C.V.,13952,53,2026-04-27T23:11:56Z
BOSTON SCIENTIFIC NEUROMODULATION CORPORATION,13461,54,2026-04-27T23:11:56Z
DATASCOPE CORP.,13161,55,2026-04-27T23:11:56Z
BIOTRONIK SE & CO. KG,12086,56,2026-04-27T23:11:56Z
"SMITH & NEPHEW, INC.",12027,57,2026-04-27T23:11:56Z
HOYA CORPORATION PENTAX TOKYO OFFICE,11741,58,2026-04-27T23:11:56Z
DEPUY IRELAND - 9616671,11423,59,2026-04-27T23:11:56Z
MEDTRONIC HEART VALVES DIVISION,11246,60,2026-04-27T23:11:56Z
ADIN DENTAL IMPLANT SYSTEMS LTD,11217,61,2026-04-27T23:11:56Z
UNOMEDICAL UM-D,10929,62,2026-04-27T23:11:56Z
NOBEL BIOCARE USA INC,10918,63,2026-04-27T23:11:56Z
MEDTRONIC IRELAND,10715,64,2026-04-27T23:11:56Z
"STRAIGHT SMILE, LLC",10534,65,2026-04-27T23:11:56Z
ABBOTT,10042,66,2026-04-27T23:11:56Z
MEDTRONIC EUROPE SARL,10019,67,2026-04-27T23:11:56Z
C.R. BARD INC. (COVINGTON) -1018233,9869,68,2026-04-27T23:11:56Z
"ALCON RESEARCH, LLC - HOUSTON",9772,69,2026-04-27T23:11:56Z
"ICU MEDICAL, INC.",9050,70,2026-04-27T23:11:56Z
ZOLL MEDICAL CORPORATION,9048,71,2026-04-27T23:11:56Z
IMPLANT DIRECT SYBRON MANUFACT,8725,72,2026-04-27T23:11:56Z
ROCHE DIAGNOSTICS,8498,73,2026-04-27T23:11:56Z
CAREFUSION 303,8306,74,2026-04-27T23:11:56Z
"EXACTECH, INC.",8140,75,2026-04-27T23:11:56Z
PALTOP ADVANCED DENTAL SOLUTIONS INC.,7435,76,2026-04-27T23:11:56Z
COVIDIEN,7282,77,2026-04-27T23:11:56Z
BIOSENSE WEBSTER INC,6927,78,2026-04-27T23:11:56Z
MEDTRONIC NEUROMODULATION,6590,79,2026-04-27T23:11:56Z
COVIDIEN LP LLC NORTH HAVEN,6525,80,2026-04-27T23:11:56Z
MEDTRONIC MEXICO S. DE R.L. DE CV,6501,81,2026-04-27T23:11:56Z
"HEARTWARE, INC.",6475,82,2026-04-27T23:11:56Z
ARROW INTERNATIONAL LLC,6449,83,2026-04-27T23:11:56Z
BECTON DICKINSON,5761,84,2026-04-27T23:11:56Z
"PHYSIO-CONTROL, INC. - 3015876",5714,85,2026-04-27T23:11:56Z
THOMMEN MEDICAL AG,5712,86,2026-04-27T23:11:56Z
ZIMMER DENTAL,5699,87,2026-04-27T23:11:56Z
DENTSPLY IMPLANTS (A DIVISION OF DENTSPLY IH AB),5640,88,2026-04-27T23:11:56Z
"ALCON RESEARCH, LLC - HUNTINGTON",5620,89,2026-04-27T23:11:56Z
"C.R. BARD, INC. (COVINGTON) -1018233",5475,90,2026-04-27T23:11:56Z
DEPUY IRELAND - 3015516266,5457,91,2026-04-27T23:11:56Z
BECTON DICKINSON & CO. (SPARKS),5442,92,2026-04-27T23:11:56Z
STAAR SURGICAL COMPANY,5401,93,2026-04-27T23:11:56Z
"ABIOMED, INC. - 1220648",5347,94,2026-04-27T23:11:56Z
US SURGICAL PUERTO RICO,5294,95,2026-04-27T23:11:56Z
DEPUY MITEK LLC US,5222,96,2026-04-27T23:11:56Z
SISTEMAS MEDICOS ALARIS S.A. DE C.V.,5146,97,2026-04-27T23:11:56Z
"GE MEDICAL SYSTEMS (CHINA) CO., LTD (WUXI)",5124,98,2026-04-27T23:11:56Z
DAVIS & GECK CARIBE LTD,5114,99,2026-04-27T23:11:56Z
"MICRO THERAPEUTICS, INC. DBA EV3",5087,100,2026-04-27T23:11:56Z
