generic_name,ae_count_2y,rank,captured_at
DUPILUMAB,176192,1,2026-04-27T23:11:55Z
TIRZEPATIDE,85613,2,2026-04-27T23:11:55Z
ACETAMINOPHEN,73494,3,2026-04-27T23:11:55Z
PREDNISONE,66152,4,2026-04-27T23:11:55Z
ASPIRIN,50740,5,2026-04-27T23:11:55Z
ASPIRIN 81 MG,50026,6,2026-04-27T23:11:55Z
ASPIRIN 325 MG,50022,7,2026-04-27T23:11:55Z
ALBUTEROL SULFATE,48074,8,2026-04-27T23:11:55Z
ACETAMINOPHEN 500MG,47166,9,2026-04-27T23:11:55Z
PAIN RELIEVER,47152,10,2026-04-27T23:11:55Z
ACETAMINOPHEN TABLET EXTENDED RELEASE,47148,11,2026-04-27T23:11:55Z
ERGOCALCIFEROL,45558,12,2026-04-27T23:11:55Z
LENALIDOMIDE,42954,13,2026-04-27T23:11:55Z
METHOTREXATE SODIUM,41578,14,2026-04-27T23:11:55Z
METFORMIN,39734,15,2026-04-27T23:11:55Z
ADALIMUMAB,37972,16,2026-04-27T23:11:55Z
SEMAGLUTIDE,37775,17,2026-04-27T23:11:55Z
RITUXIMAB,37387,18,2026-04-27T23:11:55Z
PANTOPRAZOLE,36040,19,2026-04-27T23:11:55Z
METHOTREXATE,35699,20,2026-04-27T23:11:55Z
GABAPENTIN,34590,21,2026-04-27T23:11:55Z
OMEPRAZOLE MAGNESIUM,34347,22,2026-04-27T23:11:55Z
FUROSEMIDE,34176,23,2026-04-27T23:11:55Z
DEXAMETHASONE,33272,24,2026-04-27T23:11:55Z
DEXAMETHASONE 1.5 MG,32670,25,2026-04-27T23:11:55Z
OMEPRAZOLE,31779,26,2026-04-27T23:11:55Z
AMLODIPINE,29932,27,2026-04-27T23:11:55Z
RISANKIZUMAB-RZAA,29591,28,2026-04-27T23:11:55Z
ORAL SEMAGLUTIDE,29538,29,2026-04-27T23:11:55Z
METFORMIN ER 500 MG,28310,30,2026-04-27T23:11:55Z
METFORMIN ER 750 MG,28310,31,2026-04-27T23:11:55Z
PEMBROLIZUMAB,28069,32,2026-04-27T23:11:55Z
INSULIN GLARGINE,27944,33,2026-04-27T23:11:55Z
UPADACITINIB,27542,34,2026-04-27T23:11:55Z
CYCLOPHOSPHAMIDE,27376,35,2026-04-27T23:11:55Z
CYCLOPHOSPHAMIDE FOR INJECTION,27375,36,2026-04-27T23:11:55Z
"CYCLOPHOSPHAMIDE INJECTION, SOLUTION",27375,37,2026-04-27T23:11:55Z
LEVOTHYROXINE SODIUM,26333,38,2026-04-27T23:11:55Z
IBUPROFEN,25209,39,2026-04-27T23:11:55Z
ROSUVASTATIN,24845,40,2026-04-27T23:11:55Z
TACROLIMUS,24561,41,2026-04-27T23:11:55Z
CETIRIZINE HYDROCHLORIDE,24376,42,2026-04-27T23:11:55Z
MYCOPHENOLATE MOFETIL HYDROCHLORIDE,24320,43,2026-04-27T23:11:55Z
MYCOPHENOLATE MOFETIL,24246,44,2026-04-27T23:11:55Z
FOLIC ACID,23414,45,2026-04-27T23:11:55Z
CARBOPLATIN,23379,46,2026-04-27T23:11:55Z
"ACETAMINOPHEN, GUAIFENESIN, AND PHENYLEPHRINE HYDROCHLORIDE",23024,47,2026-04-27T23:11:55Z
TACROLIMUS EXTENDED-RELEASE CAPSULES,23009,48,2026-04-27T23:11:55Z
TACROLIMUS OINTMENT 0.1%,22991,49,2026-04-27T23:11:55Z
CERTOLIZUMAB PEGOL,22258,50,2026-04-27T23:11:55Z
LOSARTAN,22174,51,2026-04-27T23:11:55Z
PREDNISOLONE,22048,52,2026-04-27T23:11:55Z
PREDNISOLONE ORAL,22048,53,2026-04-27T23:11:55Z
PREDNISOLONE ORAL SOLUTION,22048,54,2026-04-27T23:11:55Z
LISINOPRIL,22041,55,2026-04-27T23:11:55Z
PREGABALIN,21810,56,2026-04-27T23:11:55Z
EVOLOCUMAB,21684,57,2026-04-27T23:11:55Z
METHYLPREDNISOLONE,21451,58,2026-04-27T23:11:55Z
METOPROLOL TARTRATE,21273,59,2026-04-27T23:11:55Z
DAPAGLIFLOZIN,20881,60,2026-04-27T23:11:55Z
METOPROLOL,20840,61,2026-04-27T23:11:55Z
IBUPROFEN 200 MG,20821,62,2026-04-27T23:11:55Z
IBUPROFEN 200MG,20821,63,2026-04-27T23:11:55Z
IBUPROFEN ORAL,20821,64,2026-04-27T23:11:55Z
IBUPFROFEN,20820,65,2026-04-27T23:11:55Z
IBUPROFEN CAPSULE,20820,66,2026-04-27T23:11:55Z
IBUPROFEN CAPSULES 200 MG,20820,67,2026-04-27T23:11:55Z
"IBUPROFEN TABLET, FILM COATED",20820,68,2026-04-27T23:11:55Z
"IBUPROFEN TABLET, FILM-COATED",20820,69,2026-04-27T23:11:55Z
"IBUPROFEN TABLETS USP, 200MG",20820,70,2026-04-27T23:11:55Z
INFLIXIMAB,20619,71,2026-04-27T23:11:55Z
ONDANSETRON HYDROCHLORIDE,19659,72,2026-04-27T23:11:55Z
DICLOFENAC SODIUM,19549,73,2026-04-27T23:11:55Z
QUETIAPINE,19419,74,2026-04-27T23:11:55Z
VEDOLIZUMAB,18906,75,2026-04-27T23:11:55Z
OMALIZUMAB,18828,76,2026-04-27T23:11:55Z
FAMOTIDINE,18714,77,2026-04-27T23:11:55Z
SOMATROPIN,18640,78,2026-04-27T23:11:55Z
PACLITAXEL,17808,79,2026-04-27T23:11:55Z
BISOPROLOL FUMARATE,17739,80,2026-04-27T23:11:55Z
SPIRONOLACTONE,17717,81,2026-04-27T23:11:55Z
ALBUTEROL,17684,82,2026-04-27T23:11:55Z
DIPHENHYDRAMINE HYDROCHLORIDE,17492,83,2026-04-27T23:11:55Z
OXYCODONE,17456,84,2026-04-27T23:11:55Z
ADALIMUMAB-ADAZ,17391,85,2026-04-27T23:11:55Z
TREPROSTINIL,17391,86,2026-04-27T23:11:55Z
ATORVASTATIN CALCIUM,17347,87,2026-04-27T23:11:55Z
SODIUM CHLORIDE,17215,88,2026-04-27T23:11:55Z
ABATACEPT,16940,89,2026-04-27T23:11:55Z
TOCILIZUMAB,16872,90,2026-04-27T23:11:55Z
PACLITAXEL (AIBUMIN-BOUND),16809,91,2026-04-27T23:11:55Z
SECUKINUMAB,16575,92,2026-04-27T23:11:55Z
PANTOPRAZOLE SODIUM,16568,93,2026-04-27T23:11:55Z
SODIUM CHLORIDE TABLET,16341,94,2026-04-27T23:11:55Z
SODIUM CHLORIDE TABLETS,16341,95,2026-04-27T23:11:55Z
CYCLOSPORINE,16147,96,2026-04-27T23:11:55Z
DULOXETINE HYDROCHLORIDE,16035,97,2026-04-27T23:11:55Z
EMPAGLIFLOZIN,15932,98,2026-04-27T23:11:55Z
TOFACITINIB,15754,99,2026-04-27T23:11:55Z
PIMAVANSERIN TARTRATE,15714,100,2026-04-27T23:11:55Z
