signal_date,signal_type,firm_name,ticker_guess,product,severity,url
20260415,DRUG_RECALL,Fagron Compounding Services,,"Vancomycin HCI, 1.5 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0441-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, (2,250 mg per 250 mL) (9 mg per mL) 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0427-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.45% Sodium Chloride Injection, USP, 1.125 grams per 250 mL (4.5 mg per mL), 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0424-2026
20260415,DRUG_RECALL,"Teva Pharmaceuticals USA, Inc",TEVA,"Clonidine Transdermal System, USP, 0.2 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Lab",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0473-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP 900 mg per 100 mL (9 mg per mL) 500 mL in a Single Dose freeflex bag, 500 mL x 20, Manufactured for: Fre",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0432-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, 0.9% (900 mg per 100 mL) (9 mg per mL) 100 mL in a 100 mL freeflex bag, Rx only, Fresenius Kabi USA, LL",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0426-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, (4,500 mg per 500 mL) (9 mg per mL) 500 mL in a 500 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0428-2026
20260415,DRUG_RECALL,"Teva Pharmaceuticals USA, Inc",TEVA,"Clonidine Transdermal System, USP, 0.1 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx Only, Manufactured by: Actavis Lab",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0472-2026
20260415,DRUG_RECALL,Fagron Compounding Services,,"Vancomycin HCI, 1.25 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226,",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0440-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 100 mL in a Single Dose freeflex bag, Rx only, BD Beckton, Dickson and ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0430-2026
20260415,DRUG_RECALL,GE Healthcare Ireland Limited,,"GE Healthcare Omnipaque (iohexol) Injection, 350 mg/mL (64.7%), Rx Only, Distributed by: GE Healthcare Inc., Marlborough, MA 01752 USA, NDC ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0448-2026
20260415,DRUG_RECALL,"Cipla USA, Inc.",,"Lanreotide Injection, 120 mg/0.5 mL, Box contains 1 Pre-filled syringe, Single dose only, Rx Only, Manufactured by: Pharmathen International",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0423-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"5% Dextrose Injection, USP 2.5 g per 50 mL (50 mg per mL) 50 mL in a 100 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit o",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0435-2026
20260415,DRUG_RECALL,"Teva Pharmaceuticals USA, Inc",TEVA,"Clonidine Transdermal System, USP, 0.3 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Lab",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0474-2026
20260415,DRUG_RECALL,Fagron Compounding Services,,"norepinephrine Bitartrate, 32mg per 250mL 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, N",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0439-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"5% Dextrose Injection, USP 12.5 g per 250 mL (50 mg per mL) 250 mL in a 250 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Uni",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0437-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"5% Dextrose Injection, USP 5 g per 100 mL (50 mg per mL) 100 mL in a 100 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit o",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0436-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 1,000 mL in a Single Dose freeflex bag, 1,000 mLx10, Fresenius Medical ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0433-2026
20260415,DRUG_RECALL,"Viatris, Inc.",VTRS,"Xanax XR, alprazolam, extended-release tablets, 3 mg, 60 Tablets bottles, Rx only, Distributed by: Viatris Specialty LLC, Morgantown, WV 065",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0444-2026
20260415,DRUG_RECALL,"Preferred Pharmaceuticals, Inc.",,"Artificial Tears Lubricant Eye Drops (glycerin 0.2%, hypromellose 0.2%, polyethylene glycol 400 1%), 0.5 oz bottles, Mfg: Geri-Care; Brookly",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0443-2026
20260415,DRUG_RECALL,Fagron Compounding Services,,"norepinephrine Bitartrate,16mg per 250mL 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, ND",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0438-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP 0.9% (450 mg per 50 mL) (9 mg per mL) 50 mL, Rx only, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Lake Z",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0425-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, 50 mL x60, Becton, Dickson and Company, 1 Beckton Drive, Franklin Lakes, NJ 07417 USA, Distributed by B",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0429-2026
20260415,DRUG_RECALL,"Fresenius Kabi USA, LLC",,"0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 250 mL in a Single Dose freeflex bag, Rx only, BD Becton, Dickson and C",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0431-2026
20260415,DRUG_RECALL,"Teva Pharmaceuticals USA, Inc",TEVA,"Isotretinoin Capsules, USP, 40 mg, 10 count Prescription Pacs, Rx only, Manufactured for: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 070",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0446-2026
20260415,DRUG_RECALL,Fagron Compounding Services,,"Vancomycin HCL, 1 gram added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, NDC",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0442-2026
20260415,DRUG_RECALL,GE Healthcare Ireland Limited,,"GE Healthcare Omnipaque (iohexol) Injection, 300 mg/mL (64.7%), Rx Only, Distributed by: GE Healthcare Inc., Marlborough, MA 01752 USA, NDC ",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0447-2026
20260415,DRUG_RECALL,"Teva Pharmaceuticals USA, Inc",TEVA,"Isotretinoin Capsules, USP, 30 mg, Rx Only, 10 count Prescription Pack, Manufactured for: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 070",Class II,https://api.fda.gov/drug/enforcement.json?search=recall_number:D-0445-2026
