date,kind,title,summary,url,captured_at
2026-04-24,other,FDA Accelerates Action on Treatments for Serious Mental Illness Following Executive Order,"On April 18, President Trump issued an Executive Order directing the U.S. Department of Health and Human Services (HHS) to accelerate access to treatments for patients with serious mental illness, inc",http://www.fda.gov/news-events/press-announcements/fda-accelerates-action-treatments-serious-mental-illness-following-executive-order,2026-04-24T21:34:54Z
2026-04-23,approval,FDA Approves First-Ever Gene Therapy for Treatment of Genetic Hearing Loss Under National Priority Voucher Program,"The U.S. Food and Drug Administration today approved Otarmeni (lunsotogene parvec-cwha), the first-ever dual adeno-associated virus (AAV) vector-based gene therapy.",http://www.fda.gov/news-events/press-announcements/fda-approves-first-ever-gene-therapy-treatment-genetic-hearing-loss-under-national-priority-voucher,2026-04-24T21:34:54Z
2026-04-23,other,CMS and FDA Announce RAPID Coverage Pathway to Accelerate Patient Access to Life-Changing Medical Devices,"CMS and FDA announce the Regulatory Alignment for Predictable and Immediate Device (RAPID) coverage pathway, a new pathway designed to expedite access to certain FDA-designated Class II and Class III ",http://www.fda.gov/news-events/press-announcements/cms-and-fda-announce-rapid-coverage-pathway-accelerate-patient-access-life-changing-medical-devices,2026-04-24T21:34:54Z
2026-04-20,other,FDA Achieves Year 1 Goals in Reducing Animal Testing in Drug Development,"Since publishing roadmap last April, agency has successfully launched several key initiatives to replace animal testing with better alternatives",http://www.fda.gov/news-events/press-announcements/fda-achieves-year-1-goals-reducing-animal-testing-drug-development,2026-04-24T21:34:54Z
2026-04-16,approval,FDA Takes Step Forward on Testosterone Therapy for Men,FDA is taking an initial step to advance treatment options for men’s health by encouraging sponsors of approved testosterone replacement therapy products to contact FDA for information if they are int,http://www.fda.gov/news-events/press-announcements/fda-takes-step-forward-testosterone-therapy-men,2026-04-24T21:34:54Z
2026-04-14,approval,FDA Issues Draft Guidance on Genome Editing Safety Standards to Advance Gene Therapy Development,The U.S. Food and Drug Administration today issued a draft guidance for sponsors seeking approval of human gene therapy products involving genome editing technologies.,http://www.fda.gov/news-events/press-announcements/fda-issues-draft-guidance-genome-editing-safety-standards-advance-gene-therapy-development,2026-04-24T21:34:54Z
2026-04-13,other,"FDA Reminds More Than 2,200 Sponsors and Researchers to Disclose Trial Results","The U.S. Food and Drug Administration has reminded more than 2,200 medical product companies and researchers of the requirements to submit certain clinical trial results information to ClinicalTrials.",http://www.fda.gov/news-events/press-announcements/fda-reminds-more-2200-sponsors-and-researchers-disclose-trial-results,2026-04-24T21:34:54Z
2026-04-01,approval,FDA Approves First New Molecular Entity Under National Priority Voucher Program,The U.S. Food and Drug Administration today approved Foundayo (orforglipron) marking the fifth approval under the Commissioner's National Priority Voucher (CNPV) pilot program.,http://www.fda.gov/news-events/press-announcements/fda-approves-first-new-molecular-entity-under-national-priority-voucher-program,2026-04-24T21:34:54Z
2026-03-26,approval,FDA Approves First Gene Therapy for Severe Leukocyte Adhesion Deficiency Type I,"The U.S. Food and Drug Administration today approved Kresladi (marnetegragene autotemcel), the first gene therapy for the treatment of severe Leukocyte Adhesion Deficiency Type I (LAD-I).",http://www.fda.gov/news-events/press-announcements/fda-approves-first-gene-therapy-severe-leukocyte-adhesion-deficiency-type-i,2026-04-24T21:34:54Z
2026-03-25,approval,FDA Approves Drug to Treat Neurologic Manifestations of Hunter Syndrome,The U.S. Food and Drug Administration approved Avlayah (tividenofusp alfa-eknm) to treat certain individuals with Hunter syndrome (Mucopolysaccharidosis type II or MPS II).,http://www.fda.gov/news-events/press-announcements/fda-approves-drug-treat-neurologic-manifestations-hunter-syndrome,2026-04-24T21:34:54Z
2026-03-20,voucher,FDA Schedules Public Meeting on the Commissioner’s National Priority Voucher Pilot Program,"As part of the U.S. Food and Drug Administration’s continuous quality improvement efforts, the agency today published a Federal Register Notice seeking public comment on the Commissioner’s National Pr",http://www.fda.gov/news-events/press-announcements/fda-schedules-public-meeting-commissioners-national-priority-voucher-pilot-program,2026-04-24T21:34:54Z
2026-03-19,approval,"FDA Approves Fourth Product Under National Priority Voucher Program, Higher Dose Semaglutide",The U.S. Food and Drug Administration today approved a new higher dose (7.2 mg) of Wegovy (semaglutide) injection for weight loss and long-term maintenance of weight loss for certain adult patients.,http://www.fda.gov/news-events/press-announcements/fda-approves-fourth-product-under-national-priority-voucher-program-higher-dose-semaglutide,2026-04-24T21:34:54Z
2026-03-18,guidance,FDA Releases Draft Guidance on Alternatives to Animal Testing in Drug Development,"The U.S. Food and Drug Administration today issued draft guidance intended to help drug developers validate new approach methodologies (NAMs) to be used instead of animal testing in drug development, ",http://www.fda.gov/news-events/press-announcements/fda-releases-draft-guidance-alternatives-animal-testing-drug-development,2026-04-24T21:34:54Z
2026-03-11,other,FDA Launches New Adverse Event Look-Up Tool,FDA launched a new unified platform for analyzing adverse event reports. This platform — called the FDA Adverse Event Monitoring System (AEMS) — represents a major achievement in the agency’s mission ,http://www.fda.gov/news-events/press-announcements/fda-launches-new-adverse-event-look-tool,2026-04-24T21:34:54Z
2026-03-10,approval,FDA Approves First Treatment for Patients with Cerebral Folate Transport Deficiency,The U.S. Food and Drug Administration today approved expanded use of Wellcovorin (leucovorin calcium) tablets for the treatment of cerebral folate deficiency in adult and pediatric patients who have a,http://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-patients-cerebral-folate-transport-deficiency,2026-04-24T21:34:54Z
2026-03-09,other,FDA Takes Further Steps to Streamline Biosimilar Development and Make Medicines More Affordable,"The U.S. Food and Drug Administration today announced another major step in its initiative to streamline the development of biosimilar medicines, which are like “generic” versions of biologic drugs.",http://www.fda.gov/news-events/press-announcements/fda-takes-further-steps-streamline-biosimilar-development-and-make-medicines-more-affordable,2026-04-24T21:34:54Z
2026-03-06,other,FDA Holds Meeting with States on Importation of Lower Cost Drugs,"FDA held a meeting with several states to discuss the section 804 importation program (SIP), which allows states and Indian tribes to import certain prescription drugs from Canada to significantly red",http://www.fda.gov/news-events/press-announcements/fda-holds-meeting-states-importation-lower-cost-drugs,2026-04-24T21:34:54Z
