recall_id,classification,recall_type,firm,product,reason,recall_initiation_date,status,captured_at
D-0419-2026,Class II,drug,Appco Pharma LLC,"Prazosin Hydrochloride Capsules, USP, 1mg, 100-count bottle, Rx Only, Manufactured for: Biocon Pharma Inc., Iselin, NJ, Manufactured by: App","cGMP deviation: detection of Nitrosamine Drug Substance-Related Impurities, N-nitroso-prazosin impurity C (NNP) above acceptable limits.",2026-03-27,Ongoing,2026-04-27T23:01:55Z
D-0420-2026,Class II,drug,Appco Pharma LLC,"Prazosin Hydrochloride Capsules, USP, 2mg, 100-count bottle,  Rx Only, Manufactured for: Biocon Pharma Inc., Iselin, NJ, Manufactured by: Ap","cGMP deviation: detection of Nitrosamine Drug Substance-Related Impurities, N-nitroso-prazosin impurity C (NNP) above acceptable limits.",2026-03-27,Ongoing,2026-04-27T23:01:55Z
H-0652-2026,Class II,food,Zarlengo Italian Ice,Zarlengo's Double Dark Chocolate Gelato packaged in 1 Gallon bucket/pail - white round food and freezer grade High-Density Polyethylene buck,"Soy Lecithin listed in ingredients statement, but Soy is not mentioned in the contains statement.",2026-03-26,Ongoing,2026-04-27T23:01:55Z
H-0650-2026,Class II,food,Zarlengo Italian Ice,"Zarlengo's Chocolate Chocolate Chip Gelato packaged in multiple sizes (6 fl oz cups, 16 fl oz cups, 32 fl oz cups, 1-gallon bucket/pail and ","Soy Lecithin listed in ingredients statement, but Soy is not mentioned in the contains statement.",2026-03-26,Ongoing,2026-04-27T23:01:55Z
H-0656-2026,Class II,food,Connecticut Crab Company LLC,Crab Cakes various sizes sold to food service,"May be temperature abused, which may result in growth of Clostridium botulinum",2026-03-25,Ongoing,2026-04-27T23:01:55Z
D-0448-2026,Class II,drug,GE Healthcare Ireland Limited,"GE Healthcare Omnipaque (iohexol) Injection, 350 mg/mL (64.7%), Rx Only, Distributed by: GE Healthcare Inc., Marlborough, MA 01752 USA, NDC ",Presence of particulate matter,2026-03-24,Ongoing,2026-04-27T23:01:55Z
98661,Not Yet Classified,food,AYCO FARMS INC,"Fresh Cantaloupe (Whole, Fresh), brand name Ayco, wrapped in food safe plastic bags packed in corrugated cardboard cartons; 6-12 melons per ",Potential Salmonella Contamination,2026-03-24,Ongoing,2026-04-27T23:01:55Z
D-0441-2026,Class II,drug,Fagron Compounding Services,"Vancomycin HCI, 1.5 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, ",Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,2026-03-20,Ongoing,2026-04-27T23:01:55Z
D-0440-2026,Class II,drug,Fagron Compounding Services,"Vancomycin HCI, 1.25 grams added to 250 mL, 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226,",Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,2026-03-20,Ongoing,2026-04-27T23:01:55Z
D-0439-2026,Class II,drug,Fagron Compounding Services,"norepinephrine Bitartrate, 32mg per 250mL 0.9% Sodium Chloride Injection USP, Fagron Sterile Services, 8710 34th St. N. Wichita, KS 67226, N",Lack of Assurance of Sterility; blue Break-Off-Part could detach from the administration port,2026-03-20,Ongoing,2026-04-27T23:01:55Z
D-0408-2026,Class II,drug,"Amneal Pharmaceuticals, LLC","traMADol Hydrochloride Tablets, USP, 50 mg, 500-count bottles,  Rx only, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd., Ahmedabad 382220",Failed Impurities/Degradation Specifications: N-nitroso-desmethyl-tramadol impurity (NDSRI) was found out of the specification at 24-month s,2026-03-19,Ongoing,2026-04-27T23:01:55Z
D-0473-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Clonidine Transdermal System, USP, 0.2 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Lab",CGMP Deviations: use of an unapproved raw material,2026-03-19,Ongoing,2026-04-27T23:01:55Z
D-0472-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Clonidine Transdermal System, USP, 0.1 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx Only, Manufactured by: Actavis Lab",CGMP Deviations: use of an unapproved raw material,2026-03-19,Ongoing,2026-04-27T23:01:55Z
D-0474-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Clonidine Transdermal System, USP, 0.3 mg/day, supplied in cartons of 4 Systems and 4 Adhesive Covers, Rx only, Manufactured by: Actavis Lab",CGMP Deviations: use of an unapproved raw material,2026-03-19,Ongoing,2026-04-27T23:01:55Z
H-0662-2026,Class II,food,Riverence Provisions LLC,"Riverence Smoked Trout Dip, net wt. 7oz. Product is perishable, refrigerated, packaged in plastic tub. Product is shipped to consignee froze",Label declares cream cheese but does not declare milk,2026-03-19,Ongoing,2026-04-27T23:01:55Z
D-0478-2026,Class I,drug,"Amneal Pharmaceuticals, LLC","Magnesium Sulfate in Water for Injection, 4g/100 mL (40mg/mL) IV bag, further packaged in cartons of 12 x 100 mL IV bags, Rx only, Manufactu","Product mix up: a foil pouch labeled ""Magnesium Sulfate in Water for Injection, 4 g/100 mL"" actually contained an IV bag of Tranexamic Acid ",2026-03-18,Ongoing,2026-04-27T23:01:55Z
98647,Class II,drug,"ALEMBIC PHARMACEUTICALS, INC.","Bromfenac Ophthalmic Solution 0.07%, 3 ml, Rx only, Sterile, Manufactured for: Alembic Pharmaceuticals, Inc., Bedminster, NJ 07921, USA, Mad",Failed Impurities/Degradation Specifications: out of specification at the time of testing i.e. 20th month stability testing.,2026-03-18,Ongoing,2026-04-27T23:01:55Z
D-0405-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Octreotide Acetate for Injectable Suspension, for gluteal intramuscular use, 20 mg, Single-dose 8 mL vial, Rx only, Manufactured in Greece B",Lack of Assurance of Sterility: Quality system deficiencies identified during a routine U.S Food and Drug Administration (FDA) inspection at,2026-03-17,Ongoing,2026-04-27T23:01:55Z
D-0404-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Octreotide Acetate for Injectable Suspension, for gluteal intramuscular use, 10 mg, Single-dose 8 mL vial, Rx only, Manufactured in Greece B",Lack of Assurance of Sterility: Quality system deficiencies identified during a routine U.S Food and Drug Administration (FDA) inspection at,2026-03-17,Ongoing,2026-04-27T23:01:55Z
D-0406-2026,Class II,drug,"Teva Pharmaceuticals USA, Inc","Octreotide Acetate for Injectable Suspension, for gluteal intramuscular use, 30 mg, Single-dose 8 mL vial, Rx only, Manufactured in Greece B",Lack of Assurance of Sterility: Quality system deficiencies identified during a routine U.S Food and Drug Administration (FDA) inspection at,2026-03-17,Ongoing,2026-04-27T23:01:55Z
D-0418-2026,Class II,drug,Amerisource Health Services LLC,"Meclizine Hydrochloride Tablets, USP 12.5 mg, (a) 50 Tablets [5 x 10] (NDC 60687-775-65) (b) 12.5 mg Individual Dose ( NDC 60687-775-11), Rx",Failed tablet specifications.,2026-03-16,Ongoing,2026-04-27T23:01:55Z
H-0630-2026,Class II,food,Albertsons Companies LLC,Lucerne 2% Cottage Cheese 2% Milkfat Small Curd Vitamin A Added Grade A. Net wt.24oz. Perishable and keep refrigerated. Consumer package is ,"Metal fragments. The potential foreign object is a hard, metal (stainless steel), curled spring. Dimensions of a similar spring measure 2.27",2026-03-16,Ongoing,2026-04-27T23:01:55Z
H-0634-2026,Class III,food,Pocas International Corp.,POPPING BOBA RTD MIXED BERRY HIBISCUS TEA 12 X 13.8OZ,Packaging integrity issue that may compromise product quality .,2026-03-16,Terminated,2026-04-27T23:01:55Z
H-0635-2026,Class III,food,Pocas International Corp.,POPPING BOBA RTD STRAWBERRY DRAGON F/OOLONG TEA 12 X 13.8OZ,Packaging integrity issue that may compromise product quality .,2026-03-16,Terminated,2026-04-27T23:01:55Z
H-0636-2026,Class III,food,Pocas International Corp.,POPPING BOBA RTD MANGO PASSION FRUIT GREEN TEA 12 X 13.8OZ,Packaging integrity issue that may compromise product quality .,2026-03-16,Terminated,2026-04-27T23:01:55Z
D-0423-2026,Class II,drug,"Cipla USA, Inc.","Lanreotide Injection, 120 mg/0.5 mL, Box contains 1 Pre-filled syringe, Single dose only, Rx Only, Manufactured by: Pharmathen International",Lack of Assurance of Sterility: Due to an FDA observation at the contract manufacturing site for deficiencies in their visual inspection pro,2026-03-13,Ongoing,2026-04-27T23:01:55Z
H-0631-2026,Class II,food,Lidl US TRADING,"Favorina Chocolate Ladybugs German-Style Nougat, Net Wt 3.52 oz (100g).  UPC 2030 4492.  Distributed By Lidl US, LLC, 3500 S. Clark St, Arli",Label does not specify type of tree nut contained in the product.,2026-03-12,Ongoing,2026-04-27T23:01:55Z
H-0590-2026,Class II,food,"Western Mixers Produce & Nuts, Inc.","Chilli Spanish Peanuts, Treasured Harvest brand, 25lb clear plastic bag container.  UPC:none Item code: 2608-25",Foreign object (glass) found inside sealed container of finished product.,2026-03-12,Ongoing,2026-04-27T23:01:55Z
D-0427-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.9% Sodium Chloride Injection, USP, (2,250 mg per 250 mL) (9 mg per mL) 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0424-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.45% Sodium Chloride Injection, USP, 1.125 grams per 250 mL (4.5 mg per mL), 250 mL in a 250 mL freeflex bag, Rx only, Fresenius Kabi USA, ",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0432-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.9% Sodium Chloride Injection, USP 900 mg per 100 mL (9 mg per mL) 500 mL in a Single Dose freeflex bag, 500 mL x 20, Manufactured for: Fre",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0426-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.9% Sodium Chloride Injection, USP, 0.9% (900 mg per 100 mL) (9 mg per mL) 100 mL in a 100 mL freeflex bag, Rx only, Fresenius Kabi USA, LL",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0428-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.9% Sodium Chloride Injection, USP, (4,500 mg per 500 mL) (9 mg per mL) 500 mL in a 500 mL freeflex bag, Rx only, Fresenius Kabi USA, LLC (",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0430-2026,Class II,drug,"Fresenius Kabi USA, LLC","0.9% Sodium Chloride Injection, USP, 900 mg per 100 mL (9 mg per mL) 100 mL in a Single Dose freeflex bag, Rx only, BD Beckton, Dickson and ",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0435-2026,Class II,drug,"Fresenius Kabi USA, LLC","5% Dextrose Injection, USP 2.5 g per 50 mL (50 mg per mL) 50 mL in a 100 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Unit o",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0437-2026,Class II,drug,"Fresenius Kabi USA, LLC","5% Dextrose Injection, USP 12.5 g per 250 mL (50 mg per mL) 250 mL in a 250 mL freeflex bag, Fresenius Kabi USA, LLC (""Fresenius Kabi""), Uni",Lack of Assurance of Sterility,2026-03-11,Ongoing,2026-04-27T23:01:55Z
H-0640-2026,Class I,food,Lone Star Dairy Products LLC,Spray Dried Dairy Powder 25 kg bags or 1 metric ton totes,Salmonella spp. identified in finished product testing,2026-03-11,Ongoing,2026-04-27T23:01:55Z
D-0400-2026,Class II,drug,Zydus Pharmaceuticals (USA) Inc,"Icosapent Ethyl Capsules, 1 gram, 120 Capsules per bottle, Rx only, Manufactured by: Softgel Healthcare Pvt. Ltd., India; Distributed by: Zy","Failed Tablet/Capsule specifications: Red dots inside capsule and melted capsule caused by oxidized Icosapent ethyl, the active ingredient.",2026-03-09,Ongoing,2026-04-27T23:01:55Z
H-0623-2026,Class II,food,"South Florida Food, LLC","Pan de Bono (Cheese Bread), 100 units per Paper Cardboard Box, Net Wt 14.4 lb. KEEP FROZEN",Undeclared Soy.,2026-03-09,Ongoing,2026-04-27T23:01:55Z
H-0576-2026,Class I,food,"Kradjian Importing Company, Inc.","MID EAST Jordanian Zaatar spice mix; NET Wt. 5lb plastic bag;  UPC: 094379607038 Packed by: Propack Inc.  Sunvalley, CA 91354",Undeclared allergen ingredients (sesame and wheat) in Zaatar Spice mix.,2026-03-06,Ongoing,2026-04-27T23:01:55Z
D-0407-2026,Class II,drug,Apotex Corp.,"Brimonidine Tartrate/Timolol Maleate Ophthalmic Solution 0.2%/0.5%*, 5 mL, Rx Only, Sterile, Apotex Corp. Manufactured for: Apotex Corp., We",Lack of Assurance of Sterility,2026-03-05,Ongoing,2026-04-27T23:01:55Z
H-0638-2026,Class II,food,JFE FRANCHISING INC,"""	Dumpling Vegetable   4.5 oz                                                        011110658067 ""	Loaded Dumpling Vegetable   5.7 oz      ",Foreign Object (Glass),2026-03-05,Ongoing,2026-04-27T23:01:55Z
H-0639-2026,Class II,food,JFE FRANCHISING INC,"""	Dumpling Party Tray (20pcs) Vegetable   13 oz                    011110661173 ""	Dumpling Party Tray (40pcs) Vegetable   26 oz             ",Foreign Object (Glass),2026-03-05,Ongoing,2026-04-27T23:01:55Z
Z-1778-2026,Class II,device,Cook Incorporated,"COOK MEDICAL Arterial Pressure Monitoring Tray, Reference Part Number APMY-2.5-15-0-2.5	, Order Number G58412; Reference Part Number APMY-4.",Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,2026-03-05,Ongoing,2026-04-27T23:01:55Z
Z-1785-2026,Class II,device,Cook Incorporated,"Melker Universal Cuffed Emergency Cricothyrotomy Catheter Set:  Reference Part Number C-TCCSB-500-UNI, Order Number G32193;   Reference Part",Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,2026-03-05,Ongoing,2026-04-27T23:01:55Z
Z-1784-2026,Class II,device,Cook Incorporated,"COOK MEDICAL Cook¿ Strange Bile Duct Stone Exploration Set:  Reference Part Number C-CSRC-7.5D-40-STRANGE, Order Number G09108",Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,2026-03-05,Ongoing,2026-04-27T23:01:55Z
Z-1791-2026,Class II,device,Cook Incorporated,"COOK MEDICAL Wayne Pneumothorax Set:  Reference Part Number C-UTPT-1020-WAYNE-IMH, Order Number G56532;   Reference Part Number C-UTPT-1400-",Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,2026-03-05,Ongoing,2026-04-27T23:01:55Z
Z-1780-2026,Class II,device,Cook Incorporated,"COOK MEDICAL Blue Rhino¿ G2-Multi Percutaneous Tracheostomy Introducer Tray:  Reference Part Number C-PTISY-100-HC-G-NA, Order Number G57703",Products from the affected device lots were labeled with expiration dates that exceed the true shelf life.,2026-03-05,Ongoing,2026-04-27T23:01:55Z
