failure_date,name,city,state,assets_m,deposits_m,acquirer,captured_at
1/30/2026,METROPOLITAN CAPITAL B&T,"CHICAGO, IL",,261185,212152,FAILURE,2026-04-27T23:12:21Z
6/27/2025,SANTA ANNA NATIONAL BANK,"SANTA ANNA, TX",,76938,71376,FAILURE,2026-04-27T23:12:21Z
1/17/2025,PULASKI SAVINGS BANK,"CHICAGO, IL",,49466,42741,FAILURE,2026-04-27T23:12:21Z
10/18/2024,FIRST NB OF LINDSAY,"LINDSAY, OK",,107850,97515,FAILURE,2026-04-27T23:12:21Z
4/26/2024,REPUBLIC BANK,"PHILADELPHIA, PA",,5866190,4373927,FAILURE,2026-04-27T23:12:21Z
11/3/2023,CITIZENS BANK,"SAC CITY, IA",,60448,52311,FAILURE,2026-04-27T23:12:21Z
7/28/2023,HEARTLAND TRI-STATE BANK,"ELKHART, KS",,139446,130110,FAILURE,2026-04-27T23:12:21Z
5/1/2023,FIRST REPUBLIC BANK,"SAN FRANCISCO, CA",,212638872,176436706,FAILURE,2026-04-27T23:12:21Z
3/12/2023,SIGNATURE BANK,"NEW YORK, NY",,110363650,88612911,FAILURE,2026-04-27T23:12:21Z
3/10/2023,SILICON VALLEY BANK,"SANTA CLARA, CA",,209026000,175378000,FAILURE,2026-04-27T23:12:21Z
