failure_date,bank_name,city,state,total_assets_k,total_deposits_k,acquirer,captured_at
1/30/2026,METROPOLITAN CAPITAL B&T,CHICAGO,,261185,212152,DIF,2026-04-27T23:06:43Z
6/27/2025,SANTA ANNA NATIONAL BANK,SANTA ANNA,,76938,71376,DIF,2026-04-27T23:06:43Z
1/17/2025,PULASKI SAVINGS BANK,CHICAGO,,49466,42741,DIF,2026-04-27T23:06:43Z
10/18/2024,FIRST NB OF LINDSAY,LINDSAY,,107850,97515,DIF,2026-04-27T23:06:43Z
4/26/2024,REPUBLIC BANK,PHILADELPHIA,,5866190,4373927,DIF,2026-04-27T23:06:43Z
11/3/2023,CITIZENS BANK,SAC CITY,,60448,52311,DIF,2026-04-27T23:06:43Z
7/28/2023,HEARTLAND TRI-STATE BANK,ELKHART,,139446,130110,DIF,2026-04-27T23:06:43Z
5/1/2023,FIRST REPUBLIC BANK,SAN FRANCISCO,,212638872,176436706,DIF,2026-04-27T23:06:43Z
3/12/2023,SIGNATURE BANK,NEW YORK,,110363650,88612911,DIF,2026-04-27T23:06:43Z
3/10/2023,SILICON VALLEY BANK,SANTA CLARA,,209026000,175378000,DIF,2026-04-27T23:06:43Z
10/23/2020,ALMENA STATE BANK,ALMENA,,65733,64941,DIF,2026-04-27T23:06:43Z
10/16/2020,FIRST CITY BANK OF FLORIDA,FORT WALTON BEACH,,136566,133936,DIF,2026-04-27T23:06:43Z
4/3/2020,THE FIRST STATE BANK,BARBOURSVILLE,,151808,143102,DIF,2026-04-27T23:06:43Z
2/14/2020,ERICSON STATE BANK,ERICSON,,100879,95159,DIF,2026-04-27T23:06:43Z
