name,party,office,state,district,cycle,receipts_usd_m,disbursements_usd_m,cash_on_hand_usd_m,candidate_id,captured_at
"OSSOFF, T. JONATHAN",DEMOCRATIC PARTY,Senate,GA,00,2026,77.977,50.573,31.736,S8GA00180,2026-04-27T18:21:28Z
"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",REPUBLICAN PARTY,Senate,GA,00,2026,50.251,0.002,50.249,S6GA00366,2026-04-27T18:21:28Z
"TALARICO, JAMES",DEMOCRATIC PARTY,Senate,TX,00,2026,40.284,30.425,9.859,S6TX00479,2026-04-27T18:21:28Z
"BOOKER, CORY A.",DEMOCRATIC PARTY,Senate,NJ,00,2026,31.443,15.159,22.172,S4NJ00185,2026-04-27T18:21:28Z
"KRISHNAMOORTHI, S",DEMOCRATIC PARTY,Senate,IL,,2026,31.391,28.238,3.153,S6IL00482,2026-04-27T18:21:28Z
"OCASIO-CORTEZ, ALEXANDRIA",DEMOCRATIC PARTY,House,NY,14,2026,27.733,16.778,14.689,H8NY15148,2026-04-27T18:21:28Z
"COOPER, ROY",DEMOCRATIC PARTY,Senate,NC,00,2026,26.822,8.367,18.455,S6NC00407,2026-04-27T18:21:28Z
"BROWN, SHERROD",DEMOCRATIC PARTY,Senate,OH,00,2026,24.471,7.957,16.514,S6OH00163,2026-04-27T18:21:28Z
"WARNER, MARK ROBERT",DEMOCRATIC PARTY,Senate,VA,00,2026,21.991,7.774,14.605,S6VA00093,2026-04-27T18:21:28Z
"GRAHAM, LINDSEY O.",REPUBLICAN PARTY,Senate,SC,00,2026,20.688,21.566,11.614,S0SC00149,2026-04-27T18:21:28Z
"JOHNSON, JAMES MICHAEL",REPUBLICAN PARTY,House,LA,04,2026,17.549,8.475,10.326,H6LA04138,2026-04-27T18:21:28Z
"WEIL, JOSHUA JOSEPH",DEMOCRATIC PARTY,Senate,FL,00,2026,15.933,15.933,0.0,S6FL00756,2026-04-27T18:21:28Z
"HAGERTY, BILL",REPUBLICAN PARTY,Senate,TN,00,2026,14.685,9.065,5.675,S0TN00169,2026-04-27T18:21:28Z
"COLLINS, SUSAN M.",REPUBLICAN PARTY,Senate,ME,00,2026,13.224,4.518,10.001,S6ME00159,2026-04-27T18:21:28Z
"CASSIDY, WILLIAM M.",REPUBLICAN PARTY,Senate,LA,00,2026,13.106,7.615,7.129,S4LA00107,2026-04-27T18:21:28Z
