date,ticker,short_vol,exempt_vol,total_vol,short_ratio,market,captured_at
20260424,IQMM,1651,0,704469,0.0023,Q,2026-04-27T22:54:17Z
20260424,LOKV,3923,3400,1704431,0.0023,Q,2026-04-27T22:54:17Z
20260424,FCRS/U,3408,0,544208,0.0063,Q,2026-04-27T22:54:17Z
20260424,AXIApC,21785,0,2230329,0.0098,"Q,N",2026-04-27T22:54:17Z
20260424,BBAG,6445,0,639994,0.0101,"Q,N",2026-04-27T22:54:17Z
20260424,KRSP/U,16117,650,1399694,0.0115,Q,2026-04-27T22:54:17Z
20260424,FRST,33378,0,1049128,0.0318,"B,Q,N",2026-04-27T22:54:17Z
20260424,TPYP,25951,2121,503555,0.0515,"Q,N",2026-04-27T22:54:17Z
20260424,MBB,253521,7766,4469351,0.0567,"B,Q,N",2026-04-27T22:54:17Z
20260424,CTA,61015,0,974867,0.0626,"B,Q,N",2026-04-27T22:54:17Z
20260424,AES,843516,30,12553259,0.0672,"B,Q,N",2026-04-27T22:54:17Z
20260424,BTAL,85336,1300,1235845,0.0691,"B,Q,N",2026-04-27T22:54:17Z
20260424,SPAB,468511,0,6585765,0.0711,"B,Q,N",2026-04-27T22:54:17Z
20260424,FLBR,49286,0,616648,0.0799,"B,Q",2026-04-27T22:54:17Z
20260424,LSPD,62191,0,738478,0.0842,"Q,N",2026-04-27T22:54:17Z
20260424,CNQ,935564,1402,10249771,0.0913,"B,Q,N",2026-04-27T22:54:17Z
20260424,EDZ,48975,0,520823,0.094,"B,Q",2026-04-27T22:54:17Z
20260424,CNTX,124169,0,1287332,0.0965,"Q,N",2026-04-27T22:54:17Z
20260424,SLNO,208494,2,2034712,0.1025,"Q,N",2026-04-27T22:54:17Z
20260424,ACWI,176604,3195,1645531,0.1073,"B,Q,N",2026-04-27T22:54:17Z
20260424,ABUS,732753,0,6546587,0.1119,"B,Q,N",2026-04-27T22:54:17Z
20260424,CMBT,87425,0,753824,0.116,"B,Q,N",2026-04-27T22:54:17Z
20260424,ACWX,77239,1085,655061,0.1179,"B,Q,N",2026-04-27T22:54:17Z
20260424,AVNS,65275,3,552944,0.1181,"Q,N",2026-04-27T22:54:17Z
20260424,IHS,134398,0,1128535,0.1191,"B,Q,N",2026-04-27T22:54:17Z
20260424,IBN,396526,0,3157382,0.1256,"B,Q,N",2026-04-27T22:54:17Z
20260424,XHR,95128,0,732595,0.1299,"Q,N",2026-04-27T22:54:17Z
20260424,PEB,182781,0,1393458,0.1312,"Q,N",2026-04-27T22:54:17Z
20260424,AMX,271228,0,2056423,0.1319,"B,Q,N",2026-04-27T22:54:17Z
20260424,FWONK,209683,166,1550803,0.1352,"B,Q,N",2026-04-27T22:54:17Z
20260424,SRAD,547381,111,4021357,0.1361,"B,Q,N",2026-04-27T22:54:17Z
20260424,DX,641134,25586,4506136,0.1423,"B,Q,N",2026-04-27T22:54:17Z
20260424,SOXQ,150344,1,1056858,0.1423,"B,Q,N",2026-04-27T22:54:17Z
20260424,SU,124022,0,841531,0.1474,"B,Q,N",2026-04-27T22:54:17Z
20260424,CLBT,98062,0,650441,0.1508,"Q,N",2026-04-27T22:54:17Z
20260424,LZM,79479,300,523081,0.1519,"B,Q,N",2026-04-27T22:54:17Z
20260424,RYAAY,112075,0,731131,0.1533,"B,Q,N",2026-04-27T22:54:17Z
20260424,WK,162614,17,1052419,0.1545,"B,Q,N",2026-04-27T22:54:17Z
20260424,TME,512068,0,3305075,0.1549,"B,Q,N",2026-04-27T22:54:17Z
20260424,LHX,123807,46,784119,0.1579,"B,Q,N",2026-04-27T22:54:17Z
20260424,CCC,915527,19906,5765045,0.1588,"B,Q,N",2026-04-27T22:54:17Z
20260424,EMXC,228885,0,1376425,0.1663,"B,Q,N",2026-04-27T22:54:17Z
20260424,IP,575544,2309,3444940,0.1671,"B,Q,N",2026-04-27T22:54:17Z
20260424,CPNG,1197190,3726,7116396,0.1682,"B,Q,N",2026-04-27T22:54:17Z
20260424,NATL,85291,35,506274,0.1685,"Q,N",2026-04-27T22:54:17Z
20260424,BSCR,95195,0,555905,0.1712,Q,2026-04-27T22:54:17Z
20260424,ATI,166696,0,936401,0.178,"B,Q,N",2026-04-27T22:54:17Z
20260424,UCON,97366,0,539144,0.1806,"Q,N",2026-04-27T22:54:17Z
20260424,PSLV,282460,100,1531830,0.1844,"B,Q,N",2026-04-27T22:54:17Z
20260424,HDB,419588,195,2274757,0.1845,"B,Q,N",2026-04-27T22:54:17Z
20260424,CSX,1290259,82554,6989961,0.1846,"B,Q,N",2026-04-27T22:54:17Z
20260424,CNTA,260511,1649,1397482,0.1864,"B,Q,N",2026-04-27T22:54:17Z
20260424,NOK,9149233,1971,48922438,0.187,"B,Q,N",2026-04-27T22:54:17Z
20260424,THC,286312,3,1524229,0.1878,"B,Q,N",2026-04-27T22:54:17Z
20260424,FLTR,114803,0,607518,0.189,"Q,N",2026-04-27T22:54:17Z
20260424,GORO,275275,8847,1454092,0.1893,"B,Q,N",2026-04-27T22:54:17Z
20260424,ABBV,476401,12419,2512695,0.1896,"B,Q,N",2026-04-27T22:54:17Z
20260424,PDSB,109983,36216,579377,0.1898,"B,Q,N",2026-04-27T22:54:17Z
20260424,MDT,484626,6265,2528963,0.1916,"B,Q,N",2026-04-27T22:54:17Z
20260424,Z,305269,0,1588243,0.1922,"B,Q,N",2026-04-27T22:54:17Z
20260424,REPL,920541,24334,4704879,0.1957,"B,Q,N",2026-04-27T22:54:17Z
20260424,MSOS,1754707,404080,8874439,0.1977,"B,Q,N",2026-04-27T22:54:17Z
20260424,INVE,128635,0,650274,0.1978,"B,Q,N",2026-04-27T22:54:17Z
20260424,WSC,215558,269,1089203,0.1979,"B,Q,N",2026-04-27T22:54:17Z
20260424,ACLX,171607,0,861713,0.1991,"B,Q,N",2026-04-27T22:54:17Z
20260424,MGK,215734,475,1066639,0.2023,"B,Q,N",2026-04-27T22:54:17Z
20260424,FTI,295821,656,1455936,0.2032,"B,Q,N",2026-04-27T22:54:17Z
20260424,SHY,415296,149,2018412,0.2058,"B,Q,N",2026-04-27T22:54:17Z
20260424,OXSQ,113924,100,552706,0.2061,"B,Q,N",2026-04-27T22:54:17Z
20260424,CCO,282176,44,1362528,0.2071,"B,Q,N",2026-04-27T22:54:17Z
20260424,HOMB,134792,0,644201,0.2092,"Q,N",2026-04-27T22:54:17Z
20260424,TNGX,582861,0,2777343,0.2099,"B,Q,N",2026-04-27T22:54:17Z
20260424,PALI,575226,11200,2730566,0.2107,"B,Q,N",2026-04-27T22:54:17Z
20260424,BSCQ,165058,0,782803,0.2109,"B,Q,N",2026-04-27T22:54:17Z
20260424,MRAM,154078,1049,729433,0.2112,"B,Q,N",2026-04-27T22:54:17Z
20260424,EGO,380082,0,1790195,0.2123,"B,Q,N",2026-04-27T22:54:17Z
20260424,IBIO,152692,2001,718989,0.2124,"B,Q,N",2026-04-27T22:54:17Z
20260424,HNST,218452,245,1016131,0.215,"B,Q,N",2026-04-27T22:54:17Z
20260424,PURR,280553,390,1302053,0.2155,"B,Q,N",2026-04-27T22:54:17Z
20260424,IAG,389973,0,1805631,0.216,"B,Q,N",2026-04-27T22:54:17Z
20260424,OMEX,142247,200,658416,0.216,"B,Q,N",2026-04-27T22:54:17Z
20260424,UFO,138838,25,642445,0.2161,"B,Q,N",2026-04-27T22:54:17Z
20260424,JSCP,124872,0,572480,0.2181,"B,Q,N",2026-04-27T22:54:17Z
20260424,TREX,171295,0,785367,0.2181,"B,Q,N",2026-04-27T22:54:17Z
20260424,CHRS,113964,0,519280,0.2195,"Q,N",2026-04-27T22:54:17Z
20260424,IRM,144100,54,655463,0.2198,"B,Q,N",2026-04-27T22:54:17Z
20260424,TSDD,2128814,33736,9658145,0.2204,"B,Q,N",2026-04-27T22:54:17Z
20260424,MMS,123342,0,554542,0.2224,"B,Q,N",2026-04-27T22:54:17Z
20260424,CARR,427367,476,1917068,0.2229,"B,Q,N",2026-04-27T22:54:17Z
20260424,FPS,315959,1628,1407880,0.2244,"B,Q,N",2026-04-27T22:54:17Z
20260424,NEXA,116928,1739,516154,0.2265,"B,Q,N",2026-04-27T22:54:17Z
20260424,PHR,129786,500,573008,0.2265,"B,Q,N",2026-04-27T22:54:17Z
20260424,NBIZ,351437,50106,1549124,0.2269,"B,Q,N",2026-04-27T22:54:17Z
20260424,KOS,1349935,19229,5913955,0.2283,"B,Q,N",2026-04-27T22:54:17Z
20260424,VVV,451682,0,1976410,0.2285,"Q,N",2026-04-27T22:54:17Z
20260424,SBCF,158248,653,691423,0.2289,"B,Q,N",2026-04-27T22:54:17Z
20260424,VISN,386826,0,1682399,0.2299,"B,Q,N",2026-04-27T22:54:17Z
20260424,COWZ,169084,0,732134,0.2309,"B,Q,N",2026-04-27T22:54:17Z
20260424,CHYM,138965,36,601009,0.2312,"B,Q,N",2026-04-27T22:54:17Z
20260424,MRVL,3640236,46713,15700925,0.2318,"B,Q,N",2026-04-27T22:54:17Z
20260424,COP,857136,5362,3670758,0.2335,"B,Q,N",2026-04-27T22:54:17Z
20260424,LBTYK,148019,96,630644,0.2347,"B,Q,N",2026-04-27T22:54:17Z
20260424,FIS,282351,1940,1202259,0.2349,"B,Q,N",2026-04-27T22:54:17Z
20260424,NVDY,539981,3959,2282208,0.2366,"B,Q,N",2026-04-27T22:54:17Z
20260424,IREZ,403571,31510,1698930,0.2375,"B,Q,N",2026-04-27T22:54:17Z
20260424,AIOT,292923,0,1231932,0.2378,"B,Q,N",2026-04-27T22:54:17Z
20260424,RTX,1139056,3751,4773210,0.2386,"B,Q,N",2026-04-27T22:54:17Z
20260424,NAK,460306,2080,1927014,0.2389,"B,Q,N",2026-04-27T22:54:17Z
20260424,ALHC,492172,0,2051028,0.24,"B,Q,N",2026-04-27T22:54:17Z
20260424,IE,146476,1948,609119,0.2405,"B,Q,N",2026-04-27T22:54:17Z
20260424,ONCY,153852,0,636896,0.2416,"Q,N",2026-04-27T22:54:17Z
20260424,PENN,674657,2807,2780627,0.2426,"B,Q,N",2026-04-27T22:54:17Z
20260424,FDVV,133974,0,549603,0.2438,"B,Q,N",2026-04-27T22:54:17Z
20260424,AAPD,286025,0,1160813,0.2464,"B,Q,N",2026-04-27T22:54:17Z
20260424,STIP,170688,0,686140,0.2488,"B,Q,N",2026-04-27T22:54:17Z
20260424,ICE,304517,429,1219258,0.2498,"B,Q,N",2026-04-27T22:54:17Z
20260424,ICLR,279073,0,1117166,0.2498,"B,Q,N",2026-04-27T22:54:17Z
20260424,IMMP,196652,0,783752,0.2509,"B,Q,N",2026-04-27T22:54:17Z
20260424,PAAS,254343,1789,1013513,0.251,"B,Q,N",2026-04-27T22:54:17Z
20260424,VALE,2988777,8901,11901623,0.2511,"B,Q,N",2026-04-27T22:54:17Z
20260424,HELP,209719,0,832570,0.2519,"B,Q,N",2026-04-27T22:54:17Z
20260424,GSM,170722,13106,673117,0.2536,"B,Q,N",2026-04-27T22:54:17Z
20260424,EXE,176224,251,693379,0.2542,"B,Q,N",2026-04-27T22:54:17Z
20260424,U,866200,3338,3405712,0.2543,"B,Q,N",2026-04-27T22:54:17Z
20260424,BLND,264091,100525,1035483,0.255,"B,Q,N",2026-04-27T22:54:17Z
20260424,ARAY,155555,0,604646,0.2573,"B,Q,N",2026-04-27T22:54:17Z
20260424,AMZD,818987,0,3181554,0.2574,"B,Q,N",2026-04-27T22:54:17Z
20260424,KN,228277,0,883891,0.2583,"B,Q,N",2026-04-27T22:54:17Z
20260424,NET,235695,337,906717,0.2599,"B,Q,N",2026-04-27T22:54:17Z
20260424,IONZ,1215011,32429,4673269,0.26,"B,Q,N",2026-04-27T22:54:17Z
20260424,ALM,219370,2647,843528,0.2601,"B,Q,N",2026-04-27T22:54:17Z
20260424,NAVN,175628,2,673897,0.2606,"B,Q,N",2026-04-27T22:54:17Z
20260424,BN,323403,0,1233844,0.2621,"B,Q,N",2026-04-27T22:54:17Z
20260424,SPRY,276757,485,1052802,0.2629,"B,Q,N",2026-04-27T22:54:17Z
20260424,XEL,280017,555,1065298,0.2629,"B,Q,N",2026-04-27T22:54:17Z
20260424,ILLR,258051,30296,978196,0.2638,"B,Q,N",2026-04-27T22:54:17Z
20260424,GM,587481,32540,2213079,0.2655,"B,Q,N",2026-04-27T22:54:17Z
20260424,AGRO,160518,0,604366,0.2656,"B,Q,N",2026-04-27T22:54:17Z
20260424,CXM,378840,29191,1423315,0.2662,"B,Q,N",2026-04-27T22:54:17Z
20260424,VGNT,143517,341,538593,0.2665,"B,Q,N",2026-04-27T22:54:17Z
20260424,YMT,188028,0,705482,0.2665,"Q,N",2026-04-27T22:54:17Z
20260424,RKLZ,209413,0,784880,0.2668,"B,Q,N",2026-04-27T22:54:17Z
20260424,DDD,359488,375,1346697,0.2669,"B,Q,N",2026-04-27T22:54:17Z
20260424,PRQR,155831,0,582798,0.2674,"Q,N",2026-04-27T22:54:17Z
20260424,YEXT,200454,0,747742,0.2681,"B,Q,N",2026-04-27T22:54:17Z
20260424,B,972118,5563,3624948,0.2682,"B,Q,N",2026-04-27T22:54:17Z
20260424,COO,200152,47,745863,0.2683,"B,Q,N",2026-04-27T22:54:17Z
20260424,PDBC,641359,0,2388095,0.2686,"B,Q,N",2026-04-27T22:54:17Z
20260424,GTX,168772,0,624492,0.2703,"B,Q,N",2026-04-27T22:54:17Z
20260424,PATK,147266,0,544819,0.2703,"B,Q,N",2026-04-27T22:54:17Z
20260424,NOW,4601716,546981,16986025,0.2709,"B,Q,N",2026-04-27T22:54:17Z
20260424,ABTC,3231678,23943,11846619,0.2728,"B,Q,N",2026-04-27T22:54:17Z
20260424,GD,142618,3105,522872,0.2728,"B,Q,N",2026-04-27T22:54:17Z
20260424,LHSW,146136,2731,535255,0.273,"Q,N",2026-04-27T22:54:17Z
20260424,SPGI,215673,60,790053,0.273,"B,Q,N",2026-04-27T22:54:17Z
20260424,DT,525152,1792,1921972,0.2732,"B,Q,N",2026-04-27T22:54:17Z
20260424,XLU,3558494,2944,12999776,0.2737,"B,Q,N",2026-04-27T22:54:17Z
20260424,JMIA,245536,0,896034,0.274,"B,Q,N",2026-04-27T22:54:17Z
20260424,ESTC,245300,0,893588,0.2745,"B,Q,N",2026-04-27T22:54:17Z
20260424,DKNG,1915702,35306,6966082,0.275,"B,Q,N",2026-04-27T22:54:17Z
20260424,MPLX,313614,775,1139389,0.2752,"B,Q,N",2026-04-27T22:54:17Z
20260424,IWD,142015,1263,515317,0.2756,"B,Q,N",2026-04-27T22:54:17Z
20260424,TMUS,953968,400,3460875,0.2756,"B,Q,N",2026-04-27T22:54:17Z
20260424,FRO,144198,5139,521368,0.2766,"B,Q,N",2026-04-27T22:54:17Z
20260424,EL,253283,535,915474,0.2767,"B,Q,N",2026-04-27T22:54:17Z
20260424,VMBS,310919,146,1123107,0.2768,"B,Q,N",2026-04-27T22:54:17Z
20260424,LYB,373302,687,1348099,0.2769,"B,Q,N",2026-04-27T22:54:17Z
20260424,OKLS,149600,32873,539047,0.2775,"B,Q,N",2026-04-27T22:54:17Z
20260424,SYY,487890,107,1756204,0.2778,"B,Q,N",2026-04-27T22:54:17Z
20260424,DHR,671704,4146,2414920,0.2781,"B,Q,N",2026-04-27T22:54:17Z
20260424,CDXS,224519,0,805178,0.2788,"B,Q,N",2026-04-27T22:54:17Z
20260424,ET,1472196,16,5273087,0.2792,"B,Q,N",2026-04-27T22:54:17Z
20260424,USFR,904405,10244,3233536,0.2797,"B,Q,N",2026-04-27T22:54:17Z
20260424,SMCI,4931741,189906,17618575,0.2799,"B,Q,N",2026-04-27T22:54:17Z
20260424,AAOX,461411,82318,1639890,0.2814,"B,Q,N",2026-04-27T22:54:17Z
20260424,NNBR,180012,1119,638933,0.2817,"B,Q,N",2026-04-27T22:54:17Z
20260424,RPGL,1048228,37500,3719361,0.2818,"Q,N",2026-04-27T22:54:17Z
20260424,SOLS,169897,0,598936,0.2837,"B,Q,N",2026-04-27T22:54:17Z
20260424,BLDP,420326,1000,1479794,0.284,"B,Q,N",2026-04-27T22:54:17Z
20260424,BLNK,258900,0,910502,0.2843,"B,Q,N",2026-04-27T22:54:17Z
20260424,FOXA,466872,2,1640926,0.2845,"B,Q,N",2026-04-27T22:54:17Z
20260424,ALKT,155048,3370,542865,0.2856,"B,Q,N",2026-04-27T22:54:17Z
20260424,EFX,243180,0,851592,0.2856,"B,Q,N",2026-04-27T22:54:17Z
20260424,TECL,216781,6131,758316,0.2859,"B,Q,N",2026-04-27T22:54:17Z
20260424,JHX,627474,0,2190537,0.2864,"B,Q,N",2026-04-27T22:54:17Z
20260424,TSM,2740200,18583,9546758,0.287,"B,Q,N",2026-04-27T22:54:17Z
20260424,RWM,2647717,23614,9223710,0.2871,"Q,N",2026-04-27T22:54:17Z
20260424,AXTI,1639934,185311,5710957,0.2872,"B,Q,N",2026-04-27T22:54:17Z
20260424,ABT,1416409,3315,4916929,0.2881,"B,Q,N",2026-04-27T22:54:17Z
20260424,EWTX,157287,0,545707,0.2882,"B,Q,N",2026-04-27T22:54:17Z
20260424,HAFN,146441,3836,507608,0.2885,"B,Q,N",2026-04-27T22:54:17Z
