accession,filed_date,ticker,issuer,cik,primary_doc,captured_at
0001921094-26-000417,2026-04-27,RS,"RELIANCE, INC.",0000861884,https://www.sec.gov/Archives/edgar/data/0000861884/000192109426000417/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003792,2026-04-27,ISRG,INTUITIVE SURGICAL INC,0001035267,https://www.sec.gov/Archives/edgar/data/0001035267/000195004726003792/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003766,2026-04-27,URI,"UNITED RENTALS, INC.",0001067701,https://www.sec.gov/Archives/edgar/data/0001067701/000195004726003766/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003776,2026-04-27,SYM,Symbotic Inc.,0001837240,https://www.sec.gov/Archives/edgar/data/0001837240/000195004726003776/primary_doc.xml,2026-04-27T22:58:50Z
0001976408-26-000364,2026-04-27,CGEN,COMPUGEN LTD,0001119774,https://www.sec.gov/Archives/edgar/data/0001119774/000197640826000364/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003090,2026-04-27,,AGNC Investment Corp.,0001423689,https://www.sec.gov/Archives/edgar/data/0001423689/000195917326003090/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003093,2026-04-27,VC,VISTEON CORP,0001111335,https://www.sec.gov/Archives/edgar/data/0001111335/000195917326003093/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003086,2026-04-27,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",0001069258,https://www.sec.gov/Archives/edgar/data/0001069258/000195917326003086/primary_doc.xml,2026-04-27T22:58:50Z
0001973379-26-000151,2026-04-27,TAL,TAL Education Group,0001499620,https://www.sec.gov/Archives/edgar/data/0001499620/000197337926000151/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003775,2026-04-27,MPLT,"MapLight Therapeutics, Inc.",0001770069,https://www.sec.gov/Archives/edgar/data/0001770069/000195004726003775/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003780,2026-04-27,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003780/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003102,2026-04-27,NXT,Nextpower Inc.,0001852131,https://www.sec.gov/Archives/edgar/data/0001852131/000195917326003102/primary_doc.xml,2026-04-27T22:58:50Z
0001958244-26-000234,2026-04-27,LVS,LAS VEGAS SANDS CORP,0001300514,https://www.sec.gov/Archives/edgar/data/0001300514/000195824426000234/primary_doc.xml,2026-04-27T22:58:50Z
0001969223-26-000471,2026-04-27,KALU,KAISER ALUMINUM CORP,0000811596,https://www.sec.gov/Archives/edgar/data/0000811596/000196922326000471/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003097,2026-04-27,AAON,"AAON, INC.",0000824142,https://www.sec.gov/Archives/edgar/data/0000824142/000195917326003097/primary_doc.xml,2026-04-27T22:58:50Z
0000103623-26-000022,2026-04-27,MRDN,Meridian Holdings Inc./NV,0001437925,https://www.sec.gov/Archives/edgar/data/0001437925/000010362326000022/primary_doc.xml,2026-04-27T22:58:50Z
0001973379-26-000150,2026-04-27,TAL,TAL Education Group,0001499620,https://www.sec.gov/Archives/edgar/data/0001499620/000197337926000150/primary_doc.xml,2026-04-27T22:58:50Z
0001959173-26-003095,2026-04-27,,WINTRUST FINANCIAL CORP,0001015328,https://www.sec.gov/Archives/edgar/data/0001015328/000195917326003095/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-027598,2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",0001785530,https://www.sec.gov/Archives/edgar/data/0001785530/000162828026027598/primary_doc.xml,2026-04-27T22:58:50Z
0001950047-26-003790,2026-04-27,CRWV,"CoreWeave, Inc.",0001769628,https://www.sec.gov/Archives/edgar/data/0001769628/000195004726003790/primary_doc.xml,2026-04-27T22:58:50Z
0001973379-26-000152,2026-04-27,TAL,TAL Education Group,0001499620,https://www.sec.gov/Archives/edgar/data/0001499620/000197337926000152/primary_doc.xml,2026-04-27T22:58:50Z
0001958244-26-000236,2026-04-27,PUBM,"PubMatic, Inc.",0001422930,https://www.sec.gov/Archives/edgar/data/0001422930/000195824426000236/primary_doc.xml,2026-04-27T22:58:50Z
0001628280-26-027603,2026-04-27,HOWL,"Werewolf Therapeutics, Inc.",0001785530,https://www.sec.gov/Archives/edgar/data/0001785530/000162828026027603/primary_doc.xml,2026-04-27T22:58:50Z
