manager_cik,manager_name,filed_date,period,filing_url,watched
0002052048,"ARRIEN INVESTMENTS, INC.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2052048/000205204826000002/0002052048-26-000002-index.htm,
0002054942,Portland Financial Advisors Inc,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2054942/000205494226000002/0002054942-26-000002-index.htm,
0001842572,Altus Wealth Group LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1842572/000184257226000003/0001842572-26-000003-index.htm,
0002051715,"SIERRA OCEAN, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2051715/000205171526000002/0002051715-26-000002-index.htm,
0001595509,IRON Financial LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1595509/000159550926000003/0001595509-26-000003-index.htm,
0001005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1005607/000176538026000127/0001765380-26-000127-index.htm,
0001777817,"Leelyn Smith, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1777817/000177781726000003/0001777817-26-000003-index.htm,
0001580162,"Chicago Capital Management, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1580162/000106299326002171/0001062993-26-002171-index.htm,
0001781566,"Nipun Capital, L.P.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1781566/000208585326000515/0002085853-26-000515-index.htm,
0002036775,Level Wealth Management LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2036775/000203677526000002/0002036775-26-000002-index.htm,
0001602224,"Wealthstar Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1602224/000208585326000514/0002085853-26-000514-index.htm,
0001996454,"QRG CAPITAL MANAGEMENT, INC.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1996454/000121465926005135/0001214659-26-005135-index.htm,
0001308377,"Lafayette Investments, Inc.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1308377/000130837726000002/0001308377-26-000002-index.htm,
0001541496,Hendershot Investments Inc.,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1541496/000154149626000005/0001541496-26-000005-index.htm,
0001564770,"Oxbow Advisors, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1564770/000208585326000513/0002085853-26-000513-index.htm,
0002096531,"Tensor Edge Capital, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2096531/000090445426000242/0000904454-26-000242-index.htm,
0001583751,"TCI Wealth Advisors, Inc.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1583751/000208585326000512/0002085853-26-000512-index.htm,
0002001434,"Burford Brothers, Inc.",2026-04-27,,https://www.sec.gov/Archives/edgar/data/2001434/000200143426000002/0002001434-26-000002-index.htm,
0001801846,Apeiron RIA LLC,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1801846/000208585326000511/0002085853-26-000511-index.htm,
0001964226,"Arcadia Wealth Management, LLC",2026-04-27,,https://www.sec.gov/Archives/edgar/data/1964226/000208585326000510/0002085853-26-000510-index.htm,
0001061555,CAPITAL FINANCIAL GROUP INC\CO\ /ADV,2026-04-27,,https://www.sec.gov/Archives/edgar/data/1061555/000208585326000509/0002085853-26-000509-index.htm,
0002111450,Appalachian Capital Management Ltd,2026-04-27,,https://www.sec.gov/Archives/edgar/data/2111450/000208585326000508/0002085853-26-000508-index.htm,
