filed,kind,title,url,captured_at
2026-04-27T11:19:34Z,fin_mgmt,Payment Integrity: Agencies' Estimated Improper Payments Increased to $186 Billion in Fiscal Year 2025,https://www.gao.gov/products/gao-26-108694,2026-04-27T22:57:33
2026-04-24T11:49:32Z,defense,Industrial Security: Improved Risk Management and Stakeholder Engagement Needed to Help DOD Address Mission Gaps,https://www.gao.gov/products/gao-26-107861,2026-04-27T22:57:33
2026-04-23T11:00:47Z,defense,"Weapon System Sustainment: DOD Identified Critical Cost Growth, and the Army Should Take Action to Yield Cost Savings",https://www.gao.gov/products/gao-26-108140,2026-04-27T22:57:33
2026-04-23T11:14:03Z,fin_mgmt,Federal Housing Finance Agency: Improvements Needed in Controls over Financial Statement Review Process,https://www.gao.gov/products/gao-26-108895,2026-04-27T22:57:33
2026-04-22T11:37:16Z,press,Disaster Assistance High-Risk Series: FEMA Assistance for Disaster Survivors,https://www.gao.gov/products/gao-26-108154,2026-04-27T22:57:33
2026-04-22T10:58:35Z,va_health,"Federal Budget: Remaining Budget Authority from the Consolidated Appropriations Act, 2023",https://www.gao.gov/products/gao-26-108476,2026-04-27T22:57:33
2026-04-22T19:31:22Z,defense,"Navy And Coast Guard Shipbuilding: A Disciplined, Strategy-Driven Approach Is Needed to Achieve Ambitious Goals",https://www.gao.gov/products/gao-26-109068,2026-04-27T22:57:33
2026-04-21T12:02:12Z,healthcare,Medicare: CMS’s Use of Data Analytics to Identify and Prevent Fraud,https://www.gao.gov/products/gao-26-107799,2026-04-27T22:57:33
2026-04-20T11:31:34Z,press,Multimodal Freight Office: DOT Should Report to Congress on Progress Toward Meeting Statutory Requirements,https://www.gao.gov/products/gao-26-108554,2026-04-27T22:57:33
2026-04-17T11:15:59Z,press,Guam: Considerations for Evaluating Alternative Customs Models and Potential Economic Effects,https://www.gao.gov/products/gao-26-107811,2026-04-27T22:57:33
2026-04-16T11:09:56Z,healthcare,Congressional Review Act: Agencies and Congress Could Improve Implementation of 60-Day Delay for Major Rules,https://www.gao.gov/products/gao-26-107825,2026-04-27T22:57:33
2026-04-16T11:26:18Z,va_health,VA Health Care: Efforts to Assess Mental Health Support for Veteran Caregiver Program Need Strengthening,https://www.gao.gov/products/gao-26-108070,2026-04-27T22:57:33
2026-04-15T14:06:37Z,healthcare,"Combating Fraud: Challenges in Managing Fraud Risks in Federally Funded, State-Administered Programs",https://www.gao.gov/products/gao-26-109093,2026-04-27T22:57:33
2026-04-15T19:22:32Z,healthcare,Fiscal Year 2027 Budget Request: U.S. Government Accountability Office,https://www.gao.gov/products/gao-26-900719,2026-04-27T22:57:33
2026-04-14T11:02:02Z,fin_mgmt,Grants Management: Efforts to Address Challenges Through Government-wide Collaboration,https://www.gao.gov/products/gao-26-108283,2026-04-27T22:57:33
2026-04-14T11:22:16Z,va_health,"Veterans Community Care Program: Information on Behavioral Health Referrals, Fiscal Years 2021 Through 2024",https://www.gao.gov/products/gao-26-108799,2026-04-27T22:57:33
2026-04-14T14:45:32Z,federal_property,Federal Real Property: Leading Practices Could Help GSA Better Achieve Its Reorganization Goals,https://www.gao.gov/products/gao-26-108155,2026-04-27T22:57:33
2026-04-14T11:19:03Z,defense,Navy Contracting: Sea Systems Command Actively Manages Labor Cost Increases for Professional Support Services,https://www.gao.gov/products/gao-26-107889,2026-04-27T22:57:33
2026-04-14T10:58:08Z,defense,DOD Financial Management: Navy Needs to Fully Address Strategic Planning and Systems Migration Leading Practices,https://www.gao.gov/products/gao-26-107119,2026-04-27T22:57:33
2026-04-14T10:53:53Z,ai_tech,Airport Financial Reporting: FAA Should Implement Controls to Improve Data Quality,https://www.gao.gov/products/gao-26-107938,2026-04-27T22:57:33
2026-04-13T11:20:10Z,ai_tech,"Technology Transfer: Funding Recipients Keep Most Federally Funded Inventions, but Some Cited Reporting Challenges",https://www.gao.gov/products/gao-26-107971,2026-04-27T22:57:33
2026-04-13T11:10:38Z,ai_tech,Artificial Intelligence Acquisitions: Agencies Should Collect and Apply Lessons Learned to Improve Future Procurements,https://www.gao.gov/products/gao-26-107859,2026-04-27T22:57:33
2026-04-10T11:34:19Z,press,Telework and Changing Travel Patterns: Department of Transportation Should Develop Guidance to Help Communities Prioritize Investments,https://www.gao.gov/products/gao-26-107532,2026-04-27T22:57:33
2026-04-10T15:37:16Z,fraud,Combating Illicit Substances: DOJ Enforcement of Unauthorized E-Cigarettes,https://www.gao.gov/products/gao-26-107991,2026-04-27T22:57:33
2026-04-09T11:30:29Z,federal_property,Federal Real Property: GSA Should Create Goals to Ensure New Approach Saves Money and Accelerates Disposals of Unneeded Property,https://www.gao.gov/products/gao-26-107760,2026-04-27T22:57:33
