ticker,price,prev_close,overnight_gap_pct,intraday_ext_pct,effective_gap_pct,atr,gap_atr_ratio,volume,avg_volume,vol_ratio,vol_building,accum_label,consec_up_days,gap_score,date
AREB,0.93,0.06,2438.46,0.0,2438.46,0.1132,14.0,18350400,1,18350400.0,1,HEAVY,0,100,2026-04-27
RMAX,10.02,7.99,19.77,7.63,19.77,0.4993,3.16,14004367,301885,46.39,1,HEAVY,2,100,2026-04-27
SLSN,1.39,1.21,0.0,23.14,23.14,0.1321,2.12,94865,47400,2.0,1,ELEVATED,2,100,2026-04-27
YAAS,1.9,0.93,52.85,24.65,52.85,0.1124,4.37,137097268,47330,2896.63,0,HEAVY,1,100,2026-04-27
ABSI,4.79,3.94,-0.89,24.71,24.71,0.3304,2.92,11325576,4126210,2.74,0,ELEVATED,1,100,2026-04-27
BRLS,0.99,0.91,1.1,63.04,63.04,0.1941,2.99,2669788,34935,76.42,1,HEAVY,1,100,2026-04-27
CAST,2.79,2.13,0.94,44.19,44.19,0.5143,1.85,5130420,976995,5.25,1,HEAVY,1,100,2026-04-27
ENVB,5.05,5.04,-4.96,35.7,35.7,0.9772,1.75,4908541,11119055,0.44,1,NORMAL,4,100,2026-04-27
MSW,1.46,1.25,9.6,45.99,45.99,0.1122,5.61,1200512,21431,56.02,0,HEAVY,2,100,2026-04-27
ONEG,7.12,5.82,-0.17,27.19,27.19,0.555,2.85,458913,1073380,0.43,0,NORMAL,5,100,2026-04-27
PAPL,1.33,0.92,3.26,61.05,61.05,0.1344,4.31,21859148,8849300,2.47,0,ELEVATED,2,100,2026-04-27
QNTM,4.52,3.61,1.11,36.44,36.44,0.5129,2.59,1954478,448835,4.35,0,ELEVATED,2,100,2026-04-27
SEGG,0.96,0.65,0.46,58.05,58.05,0.1061,3.6,13377032,1621550,8.25,0,HEAVY,1,100,2026-04-27
SGMT,8.45,5.86,23.21,29.78,29.78,0.6385,3.37,49305650,378120,130.4,0,HEAVY,2,100,2026-04-27
SPRC,8.11,6.69,2.84,30.23,30.23,0.8874,2.34,228946,992260,0.23,0,NORMAL,4,100,2026-04-27
TELA,0.8,0.67,2.99,19.86,19.86,0.0858,1.6,791844,155550,5.09,0,HEAVY,2,100,2026-04-27
TOMZ,0.7,0.61,5.74,33.33,33.33,0.0643,3.34,3756611,676605,5.55,0,HEAVY,2,100,2026-04-27
TRAK,9.16,8.12,19.33,0.83,19.33,0.5643,2.78,688367,124670,5.52,1,HEAVY,0,100,2026-04-27
UCAR,1.78,1.64,-0.61,66.26,66.26,0.6789,1.59,46031525,35985101,1.28,0,MODERATE,1,100,2026-04-27
USEG,1.03,0.93,46.77,9.16,46.77,0.105,4.14,189100532,3175800,59.54,0,HEAVY,0,100,2026-04-27
VS,1.28,1.16,5.17,43.44,43.44,0.1223,4.33,2654891,88060,30.15,0,HEAVY,2,100,2026-04-27
VSA,0.89,0.83,-7.86,44.36,44.36,0.1716,1.97,6021922,26417135,0.23,0,NORMAL,2,100,2026-04-27
WYHG,0.73,0.65,1.0,50.94,50.94,0.1486,2.25,7452529,1420540,5.25,0,HEAVY,3,100,2026-04-27
YIBO,1.24,1.01,-2.27,42.12,42.12,0.0848,4.89,110820,7063,15.69,0,HEAVY,1,100,2026-04-27
