quarter,gdpnow_estimate,is_latest,captured_at
2023-Q1,+3.09,0,2026-04-27T23:06:52Z
2023-Q2,+3.53,0,2026-04-27T23:06:52Z
2023-Q3,+1.13,0,2026-04-27T23:06:52Z
2023-Q4,+2.41,0,2026-04-27T23:06:52Z
2024-Q1,+5.41,0,2026-04-27T23:06:52Z
2024-Q2,+2.38,0,2026-04-27T23:06:52Z
2024-Q3,+2.70,0,2026-04-27T23:06:52Z
2024-Q4,+2.61,0,2026-04-27T23:06:52Z
2025-Q1,+2.82,0,2026-04-27T23:06:52Z
2025-Q2,+2.27,0,2026-04-27T23:06:52Z
2025-Q3,-2.73,0,2026-04-27T23:06:52Z
2025-Q4,+2.90,1,2026-04-27T23:06:52Z
