bucket,rank,repo,stars,forks,language,created,description,captured_at
trending_30d,1,ultraworkers/claw-code,188809,109380,Rust,2026-03-31,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. ,2026-04-27T23:11:47Z
trending_30d,2,VoltAgent/awesome-design-md,66731,8209,,2026-03-31,A collection of DESIGN.md files inspired by popular brand design systems. Drop one into your project,2026-04-27T23:11:47Z
trending_30d,3,MemPalace/mempalace,50011,6563,Python,2026-04-05,The best-benchmarked open-source AI memory system. And it's free.,2026-04-27T23:11:47Z
trending_30d,4,JuliusBrussee/caveman,48093,2546,Python,2026-04-04,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking ,2026-04-27T23:11:47Z
trending_30d,5,santifer/career-ops,40305,8332,JavaScript,2026-04-04,"AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, bat",2026-04-27T23:11:47Z
trending_30d,6,safishamsi/graphify,36431,4045,Python,2026-04-03,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, GitHub Copilot CLI, Ope",2026-04-27T23:11:47Z
trending_30d,7,Gitlawb/openclaude,24697,8075,TypeScript,2026-04-01,"Open Claude Is Open-source coding-agent CLI for OpenAI, Gemini, DeepSeek, Ollama, Codex, GitHub Mode",2026-04-27T23:11:47Z
trending_30d,8,claude-code-best/claude-code,17065,15493,TypeScript,2026-03-31,"原汁原昧 Claude Code 可运行,可构建, 可调试版; Typescript 类型全修复; 企业级可靠性; 安全无毒, lock 文件保真, 可直接 bun i; bun run dev 启动",2026-04-27T23:11:47Z
trending_30d,9,titanwings/colleague-skill,16780,1702,Python,2026-03-30,将冰冷的离别化为温暖的 Skill，欢迎加入数字生命1.0！Transforming cold farewells into warm skills? It's giving rebirth era.,2026-04-27T23:11:47Z
trending_30d,10,openai/codex-plugin-cc,16413,925,JavaScript,2026-03-30,Use Codex from Claude Code to review code or delegate tasks.,2026-04-27T23:11:47Z
trending_30d,11,alchaincyf/nuwa-skill,15576,2513,Python,2026-04-05,你想蒸馏的下一个员工，何必是同事。蒸馏任何人的思维方式——心智模型、决策启发式、表达DNA。Distill how anyone thinks.,2026-04-27T23:11:47Z
trending_30d,12,garrytan/gbrain,11794,1429,TypeScript,2026-04-05,Garry's Opinionated OpenClaw/Hermes Agent Brain,2026-04-27T23:11:47Z
trending_30d,13,sanbuphy/learn-coding-agent,11749,19740,,2026-03-31,Research on Coding Agents,2026-04-27T23:11:47Z
trending_30d,14,HKUDS/OpenHarness,11402,1925,Python,2026-04-01,"""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""",2026-04-27T23:11:47Z
trending_30d,15,kyegomez/OpenMythos,10836,2419,Python,2026-04-18,"A theoretical reconstruction of the Claude Mythos architecture, built from first principles using th",2026-04-27T23:11:47Z
trending_30d,16,emdash-cms/emdash,10079,857,TypeScript,2026-04-01,EmDash is a full-stack TypeScript CMS based on Astro; the spiritual successor to WordPress,2026-04-27T23:11:47Z
trending_30d,17,google-labs-code/design.md,9343,771,TypeScript,2026-04-10,A format specification for describing a visual identity to coding agents. DESIGN.md gives agents a p,2026-04-27T23:11:47Z
