time_tag,satellite,flux,observed_flux,flare_class,captured_at
2026-04-27T23:08:00Z,18,3.244e-08,3.718e-08,A3.7,2026-04-27T23:11:52Z
2026-04-27T23:08:00Z,18,1.106e-06,1.116e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T23:07:00Z,18,1.446e-08,1.934e-08,A1.9,2026-04-27T23:11:52Z
2026-04-27T23:07:00Z,18,9.729e-07,9.833e-07,B9.8,2026-04-27T23:11:52Z
2026-04-27T23:06:00Z,18,1.295e-08,1.759e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T23:06:00Z,18,9.605e-07,9.707e-07,B9.7,2026-04-27T23:11:52Z
2026-04-27T23:05:00Z,18,1.332e-08,1.824e-08,A1.8,2026-04-27T23:11:52Z
2026-04-27T23:05:00Z,18,9.711e-07,9.814e-07,B9.8,2026-04-27T23:11:52Z
2026-04-27T23:04:00Z,18,1.490e-08,1.974e-08,A2.0,2026-04-27T23:11:52Z
2026-04-27T23:04:00Z,18,9.897e-07,9.998e-07,B10.0,2026-04-27T23:11:52Z
2026-04-27T23:03:00Z,18,1.609e-08,2.102e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T23:03:00Z,18,1.008e-06,1.019e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T23:02:00Z,18,1.582e-08,2.071e-08,A2.1,2026-04-27T23:11:52Z
2026-04-27T23:02:00Z,18,1.034e-06,1.044e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T23:01:00Z,18,1.723e-08,2.185e-08,A2.2,2026-04-27T23:11:52Z
2026-04-27T23:01:00Z,18,1.068e-06,1.078e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T23:00:00Z,18,2.051e-08,2.516e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T23:00:00Z,18,1.111e-06,1.121e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:59:00Z,18,2.255e-08,2.742e-08,A2.7,2026-04-27T23:11:52Z
2026-04-27T22:59:00Z,18,1.167e-06,1.178e-06,C1.2,2026-04-27T23:11:52Z
2026-04-27T22:58:00Z,18,2.721e-08,3.203e-08,A3.2,2026-04-27T23:11:52Z
2026-04-27T22:58:00Z,18,1.231e-06,1.242e-06,C1.2,2026-04-27T23:11:52Z
2026-04-27T22:57:00Z,18,3.352e-08,3.814e-08,A3.8,2026-04-27T23:11:52Z
2026-04-27T22:57:00Z,18,1.307e-06,1.317e-06,C1.3,2026-04-27T23:11:52Z
2026-04-27T22:56:00Z,18,4.217e-08,4.689e-08,A4.7,2026-04-27T23:11:52Z
2026-04-27T22:56:00Z,18,1.390e-06,1.401e-06,C1.4,2026-04-27T23:11:52Z
2026-04-27T22:55:00Z,18,5.325e-08,5.788e-08,A5.8,2026-04-27T23:11:52Z
2026-04-27T22:55:00Z,18,1.459e-06,1.469e-06,C1.5,2026-04-27T23:11:52Z
2026-04-27T22:54:00Z,18,6.025e-08,6.489e-08,A6.5,2026-04-27T23:11:52Z
2026-04-27T22:54:00Z,18,1.490e-06,1.501e-06,C1.5,2026-04-27T23:11:52Z
2026-04-27T22:53:00Z,18,6.576e-08,7.059e-08,A7.1,2026-04-27T23:11:52Z
2026-04-27T22:53:00Z,18,1.487e-06,1.497e-06,C1.5,2026-04-27T23:11:52Z
2026-04-27T22:52:00Z,18,6.320e-08,6.792e-08,A6.8,2026-04-27T23:11:52Z
2026-04-27T22:52:00Z,18,1.430e-06,1.441e-06,C1.4,2026-04-27T23:11:52Z
2026-04-27T22:51:00Z,18,5.142e-08,5.643e-08,A5.6,2026-04-27T23:11:52Z
2026-04-27T22:51:00Z,18,1.321e-06,1.331e-06,C1.3,2026-04-27T23:11:52Z
2026-04-27T22:50:00Z,18,4.369e-08,4.862e-08,A4.9,2026-04-27T23:11:52Z
2026-04-27T22:50:00Z,18,1.262e-06,1.273e-06,C1.3,2026-04-27T23:11:52Z
2026-04-27T22:49:00Z,18,4.065e-08,4.564e-08,A4.6,2026-04-27T23:11:52Z
2026-04-27T22:49:00Z,18,1.214e-06,1.224e-06,C1.2,2026-04-27T23:11:52Z
2026-04-27T22:48:00Z,18,2.926e-08,3.414e-08,A3.4,2026-04-27T23:11:52Z
2026-04-27T22:48:00Z,18,1.112e-06,1.123e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:47:00Z,18,2.335e-08,2.820e-08,A2.8,2026-04-27T23:11:52Z
2026-04-27T22:47:00Z,18,1.062e-06,1.073e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:46:00Z,18,2.192e-08,2.686e-08,A2.7,2026-04-27T23:11:52Z
2026-04-27T22:46:00Z,18,1.050e-06,1.060e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:45:00Z,18,2.075e-08,2.567e-08,A2.6,2026-04-27T23:11:52Z
2026-04-27T22:45:00Z,18,1.040e-06,1.051e-06,C1.1,2026-04-27T23:11:52Z
2026-04-27T22:44:00Z,18,2.048e-08,2.530e-08,A2.5,2026-04-27T23:11:52Z
2026-04-27T22:44:00Z,18,1.028e-06,1.039e-06,C1.0,2026-04-27T23:11:52Z
2026-04-27T22:43:00Z,18,1.746e-08,2.253e-08,A2.3,2026-04-27T23:11:52Z
2026-04-27T22:43:00Z,18,9.971e-07,1.008e-06,C1.0,2026-04-27T23:11:52Z
