ticker,total_score,sec_score,news_score,gapper_score,value_score,moat_score,news_hits,best_news_recency_min,sector_tags,event_tags
TV,31.364,0.000,39.205,0.000,0.000,0.000,7,169.2,semis_ai,
NOV,12.110,0.000,15.138,0.000,0.000,0.000,1,76.2,transport,company_catalyst
TSHA,11.706,0.000,14.633,0.000,0.000,0.000,1,100.2,biotech;transport,
YEAR,11.402,0.000,14.253,0.000,0.000,0.000,1,9.2,transport,
DRVN,11.009,0.000,13.761,0.000,0.000,0.000,1,28.2,semis_ai,
EOSE,10.890,0.000,13.612,0.000,0.000,0.000,1,34.2,,company_catalyst
COTY,10.850,0.000,13.563,0.000,0.000,0.000,1,36.2,,company_catalyst
PSHG,10.006,0.000,12.508,0.000,0.000,0.000,1,82.2,transport,
SAP,9.724,0.000,12.155,0.000,0.000,0.000,3,834.2,,policy_macro
HTGC,8.695,0.000,10.869,0.000,0.000,0.000,1,44.2,,
IPO,8.676,0.000,10.845,0.000,0.000,0.000,1,45.2,,
GEMI,8.676,0.000,10.845,0.000,0.000,0.000,1,45.2,,
CLM,8.666,0.000,10.832,0.000,0.000,0.000,4,779.2,,
TLS,8.666,0.000,10.832,0.000,0.000,0.000,4,779.2,,
VICI,8.657,0.000,10.821,0.000,0.000,0.000,1,46.2,,
APO,8.657,0.000,10.821,0.000,0.000,0.000,1,46.2,,
AIRG,8.599,0.000,10.749,0.000,0.000,0.000,1,176.2,semis_ai,
GSL,8.470,0.000,10.587,0.000,0.000,0.000,1,56.2,,
LIFE,7.546,0.000,9.433,0.000,0.000,0.000,1,110.2,,
USD,7.376,0.000,9.220,0.000,0.000,0.000,1,121.2,,
IONQ,7.062,0.000,8.827,0.000,0.000,0.000,1,661.2,semis_ai;transport,
CACI,6.732,0.000,8.415,0.000,0.000,0.000,1,166.2,,
DVLT,5.242,0.000,6.552,0.000,0.000,0.000,1,616.2,semis_ai,
ZBRA,5.100,0.000,6.375,0.000,0.000,0.000,1,651.2,,policy_macro
SOC,5.062,0.000,6.327,0.000,0.000,0.000,1,661.2,,policy_macro
SHAZ,4.951,0.000,6.189,0.000,0.000,0.000,1,691.2,semis_ai,
JLL,4.228,0.000,5.285,0.000,0.000,0.000,1,950.2,,policy_macro
LNG,4.000,0.000,5.000,0.000,0.000,0.000,1,78621.2,energy,policy_macro
