month,starts_saar_k,permits_saar_k,starts_yoy_pct,captured_at
2026-01-01,1487,1386,9.50,2026-04-27T23:12:09Z
2025-12-01,1387,1455,-8.39,2026-04-27T23:12:09Z
2025-11-01,1324,1388,2.24,2026-04-27T23:12:09Z
2025-10-01,1272,1411,-5.92,2026-04-27T23:12:09Z
2025-09-01,1328,1415,-2.14,2026-04-27T23:12:09Z
2025-08-01,1291,1330,-7.19,2026-04-27T23:12:09Z
2025-07-01,1420,1362,12.25,2026-04-27T23:12:09Z
2025-06-01,1382,1393,4.14,2026-04-27T23:12:09Z
2025-05-01,1282,1394,-2.58,2026-04-27T23:12:09Z
2025-04-01,1398,1422,0.94,2026-04-27T23:12:09Z
2025-03-01,1355,1481,3.28,2026-04-27T23:12:09Z
2025-02-01,1490,1454,-3.99,2026-04-27T23:12:09Z
2025-01-01,1358,1460,-1.67,2026-04-27T23:12:09Z
2024-12-01,1514,1480,-0.46,2026-04-27T23:12:09Z
2024-11-01,1295,1508,-14.46,2026-04-27T23:12:09Z
2024-10-01,1352,1428,-1.17,2026-04-27T23:12:09Z
2024-09-01,1357,1434,-1.02,2026-04-27T23:12:09Z
2024-08-01,1391,1476,5.62,2026-04-27T23:12:09Z
2024-07-01,1265,1436,-13.36,2026-04-27T23:12:09Z
2024-06-01,1327,1461,-6.62,2026-04-27T23:12:09Z
2024-05-01,1316,1407,-16.92,2026-04-27T23:12:09Z
2024-04-01,1385,1459,2.29,2026-04-27T23:12:09Z
2024-03-01,1312,1476,-4.72,2026-04-27T23:12:09Z
2024-02-01,1552,1577,10.94,2026-04-27T23:12:09Z
2024-01-01,1381,1545,1.47,2026-04-27T23:12:09Z
2023-12-01,1521,1519,16.28,2026-04-27T23:12:09Z
2023-11-01,1514,1503,6.32,2026-04-27T23:12:09Z
2023-10-01,1368,1528,-4.67,2026-04-27T23:12:09Z
2023-09-01,1371,1537,-7.86,2026-04-27T23:12:09Z
2023-08-01,1317,1561,-13.98,2026-04-27T23:12:09Z
2023-07-01,1460,1522,5.72,2026-04-27T23:12:09Z
2023-06-01,1421,1464,-8.38,2026-04-27T23:12:09Z
2023-05-01,1584,1575,3.46,2026-04-27T23:12:09Z
2023-04-01,1354,1474,-25.60,2026-04-27T23:12:09Z
2023-03-01,1377,1480,-19.57,2026-04-27T23:12:09Z
2023-02-01,1399,1618,-19.37,2026-04-27T23:12:09Z
