filed_utc,kind,title,link,summary
2026-04-26T02:10:00Z,director_general,Chornobyl 40 Years: Message from IAEA Director General,http://www.iaea.org/newscenter/multimedia/videos/chornobyl-40-years-message-from-iaea-director-general,
2026-04-22T14:30:00Z,press,#EarthDay: Protecting Rhinos With Nuclear Science,http://www.iaea.org/newscenter/multimedia/videos/earthday-protecting-rhinos-with-nuclear-science,
2026-04-17T13:44:00Z,ukraine_zaporizhzhia,Update 347 – IAEA Director General Statement on Situation in Ukraine,http://www.iaea.org/newscenter/pressreleases/update-347-iaea-director-general-statement-on-situation-in-ukraine,
2026-04-15T11:16:00Z,reactor_safety,IAEA Supports Research Reactor Safety and Utilization Efforts in Africa,http://www.iaea.org/newscenter/news/iaea-supports-research-reactor-safety-and-utilization-efforts-in-africa,
2026-04-15T08:37:00Z,safeguards_inspection,"Republic of Korea: Nuclear Energy, Safeguards and More",http://www.iaea.org/newscenter/news/republic-of-korea-nuclear-energy-safeguards-and-more,
2026-04-15T08:00:00Z,fukushima_alps,IAEA and Japan Strengthen Emergency Preparedness in Fukushima,http://www.iaea.org/newscenter/news/iaea-and-japan-strengthen-emergency-preparedness-in-fukushima,
2026-04-10T13:55:00Z,ukraine_zaporizhzhia,Update 346 – IAEA Director General Statement on Situation in Ukraine,http://www.iaea.org/newscenter/pressreleases/update-346-iaea-director-general-statement-on-situation-in-ukraine,
2026-04-09T07:30:00Z,press,Powering Change: A Nuclear Engineer’s Journey from Brazil to the IAEA,http://www.iaea.org/newscenter/news/powering-change-a-nuclear-engineers-journey-from-brazil-to-the-iaea,
2026-04-07T11:44:00Z,nuclear_medicine,Six Ways the IAEA Supports Global Health Through Nuclear Science,http://www.iaea.org/newscenter/news/six-ways-the-iaea-supports-global-health-through-nuclear-science,
2026-04-02T13:00:00Z,food_safety_isotopes,Nuclear Science Enhances Malawi’s Food Safety and Export Systems,http://www.iaea.org/newscenter/news/nuclear-science-enhances-malawis-food-safety-and-export-systems,
2026-04-02T06:56:00Z,fukushima_alps,"Tritium Level Far Below Japan’s Operational Limit in 19th Batch of ALPS Treated Water, IAEA Confirms",http://www.iaea.org/newscenter/pressreleases/tritium-level-far-below-japans-operational-limit-in-19th-batch-of-alps-treated-water-iaea-confirms,
2026-03-30T08:22:00Z,food_safety_isotopes,How Nuclear Science Helps Tackle Food Waste,http://www.iaea.org/newscenter/news/how-nuclear-science-helps-tackle-food-waste,
2026-03-27T15:37:00Z,reactor_safety,IAEA Mission Recognizes Belgium’s Continued Commitment to Strengthen Nuclear and Radiation Safety,http://www.iaea.org/newscenter/pressreleases/iaea-mission-recognizes-belgiums-continued-commitment-to-strengthen-nuclear-and-radiation-safety,
2026-03-26T17:26:00Z,ukraine_zaporizhzhia,Update 345 – IAEA Director General Statement on Situation in Ukraine,http://www.iaea.org/newscenter/pressreleases/update-345-iaea-director-general-statement-on-situation-in-ukraine,
2026-03-24T14:10:00Z,transport_security,IAEA Releases Updated Regulations for Safe Transport of Radioactive Material,http://www.iaea.org/newscenter/news/iaea-releases-updated-regulations-for-safe-transport-of-radioactive-material,
