country,iso3,indicator,year,value_pct,yoy_delta,captured_at
ABW,ABW,cpi_infl_pct,2016,-0.900,-1.400,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2017,-1.000,-0.100,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2018,3.600,+4.600,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2019,3.900,+0.300,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2020,-1.300,-5.200,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2021,0.700,+2.000,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2022,5.500,+4.800,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2023,3.400,-2.100,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2024,1.700,-1.700,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2025,0.100,-1.600,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2026,1.200,+1.100,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2027,2.000,+0.800,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2028,2.000,+0.000,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2029,2.000,+0.000,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2030,2.000,+0.000,2026-04-27T23:10:43Z
ABW,ABW,cpi_infl_pct,2031,2.000,+0.000,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2016,0.700,+0.400,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2017,1.700,+1.000,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2018,2.000,+0.300,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2019,1.400,-0.600,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2020,0.700,-0.700,2026-04-27T23:10:43Z
ADVEC,ADVEC,cpi_infl_pct,2021,3.100,+2.400,2026-04-27T23:10:43Z
