release,release_date,tag,url
Consumer Confidence (Conference Board),2026-04-28,CB_CONFIDENCE,https://www.conference-board.org/topics/consumer-confidence
ISM Manufacturing PMI,2026-05-01,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/
ISM Services PMI,2026-05-05,ISM_SVC,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/
ADP Employment Report,2026-05-06,ADP_NFP,https://adpemploymentreport.com/
Conference Board Leading Economic Index,2026-05-21,CB_LEI,https://www.conference-board.org/topics/us-leading-indicators
Consumer Confidence (Conference Board),2026-05-26,CB_CONFIDENCE,https://www.conference-board.org/topics/consumer-confidence
ISM Manufacturing PMI,2026-06-01,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/
ISM Services PMI,2026-06-03,ISM_SVC,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/
ADP Employment Report,2026-06-03,ADP_NFP,https://adpemploymentreport.com/
Conference Board Leading Economic Index,2026-06-18,CB_LEI,https://www.conference-board.org/topics/us-leading-indicators
Consumer Confidence (Conference Board),2026-06-30,CB_CONFIDENCE,https://www.conference-board.org/topics/consumer-confidence
ISM Manufacturing PMI,2026-07-01,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/
ADP Employment Report,2026-07-01,ADP_NFP,https://adpemploymentreport.com/
ISM Services PMI,2026-07-03,ISM_SVC,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/
Conference Board Leading Economic Index,2026-07-16,CB_LEI,https://www.conference-board.org/topics/us-leading-indicators
Consumer Confidence (Conference Board),2026-07-28,CB_CONFIDENCE,https://www.conference-board.org/topics/consumer-confidence
ISM Manufacturing PMI,2026-08-03,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/pmi/
ISM Services PMI,2026-08-05,ISM_SVC,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/services/
ADP Employment Report,2026-08-05,ADP_NFP,https://adpemploymentreport.com/
Conference Board Leading Economic Index,2026-08-20,CB_LEI,https://www.conference-board.org/topics/us-leading-indicators
Consumer Confidence (Conference Board),2026-08-25,CB_CONFIDENCE,https://www.conference-board.org/topics/consumer-confidence
