week,initial,continuing,initial_4wma,initial_wow,captured_at
2026-04-18,214000,0,210750,+6000,2026-04-27T23:02:00Z
2026-04-11,208000,1821000,210000,-10000,2026-04-27T23:02:00Z
2026-04-04,218000,1809000,209250,+15000,2026-04-27T23:02:00Z
2026-03-28,203000,1787000,208000,-8000,2026-04-27T23:02:00Z
2026-03-21,211000,1832000,210750,+6000,2026-04-27T23:02:00Z
2026-03-14,205000,1816000,210750,-8000,2026-04-27T23:02:00Z
2026-03-07,213000,1851000,211500,-1000,2026-04-27T23:02:00Z
2026-02-28,214000,1847000,215750,+3000,2026-04-27T23:02:00Z
2026-02-21,211000,1871000,219750,+3000,2026-04-27T23:02:00Z
2026-02-14,208000,1827000,219750,-22000,2026-04-27T23:02:00Z
2026-02-07,230000,1865000,220250,+0,2026-04-27T23:02:00Z
2026-01-31,230000,1859000,213000,+19000,2026-04-27T23:02:00Z
2026-01-24,211000,1842000,207250,+1000,2026-04-27T23:02:00Z
2026-01-17,210000,1823000,205250,+9000,2026-04-27T23:02:00Z
2026-01-10,201000,1865000,206500,-6000,2026-04-27T23:02:00Z
2026-01-03,207000,1875000,212250,+4000,2026-04-27T23:02:00Z
2025-12-27,203000,1900000,219250,-12000,2026-04-27T23:02:00Z
2025-12-20,215000,1860000,222500,-9000,2026-04-27T23:02:00Z
2025-12-13,224000,1910000,223250,-11000,2026-04-27T23:02:00Z
2025-12-06,235000,1887000,222750,+19000,2026-04-27T23:02:00Z
2025-11-29,216000,1894000,221000,-2000,2026-04-27T23:02:00Z
2025-11-22,218000,1932000,224000,-4000,2026-04-27T23:02:00Z
2025-11-15,222000,1943000,224750,-6000,2026-04-27T23:02:00Z
2025-11-08,228000,1949000,227000,+0,2026-04-27T23:02:00Z
2025-11-01,228000,1946000,225500,+7000,2026-04-27T23:02:00Z
2025-10-25,221000,1962000,226750,-10000,2026-04-27T23:02:00Z
2025-10-18,231000,1953000,227750,+9000,2026-04-27T23:02:00Z
2025-10-11,222000,1947000,224750,-11000,2026-04-27T23:02:00Z
2025-10-04,233000,1928000,227500,+8000,2026-04-27T23:02:00Z
2025-09-27,225000,1929000,234000,+6000,2026-04-27T23:02:00Z
2025-09-20,219000,1921000,236750,-14000,2026-04-27T23:02:00Z
2025-09-13,233000,1916000,239250,-26000,2026-04-27T23:02:00Z
2025-09-06,259000,1925000,239250,+23000,2026-04-27T23:02:00Z
2025-08-30,236000,1927000,230500,+7000,2026-04-27T23:02:00Z
2025-08-23,229000,1937000,228000,-4000,2026-04-27T23:02:00Z
2025-08-16,233000,1942000,225500,+9000,2026-04-27T23:02:00Z
2025-08-09,224000,1957000,221750,-2000,2026-04-27T23:02:00Z
2025-08-02,226000,1942000,221000,+7000,2026-04-27T23:02:00Z
2025-07-26,219000,1963000,221500,+1000,2026-04-27T23:02:00Z
2025-07-19,218000,1936000,224500,-3000,2026-04-27T23:02:00Z
2025-07-12,221000,1941000,229000,-7000,2026-04-27T23:02:00Z
2025-07-05,228000,1949000,234500,-3000,2026-04-27T23:02:00Z
2025-06-28,231000,1952000,239000,-5000,2026-04-27T23:02:00Z
2025-06-21,236000,1954000,242250,-7000,2026-04-27T23:02:00Z
2025-06-14,243000,1960000,242250,-3000,2026-04-27T23:02:00Z
2025-06-07,246000,1935000,237750,+2000,2026-04-27T23:02:00Z
2025-05-31,244000,1947000,232750,+8000,2026-04-27T23:02:00Z
2025-05-24,236000,1896000,228750,+11000,2026-04-27T23:02:00Z
2025-05-17,225000,1917000,229500,-1000,2026-04-27T23:02:00Z
2025-05-10,226000,1889000,229250,-2000,2026-04-27T23:02:00Z
2025-05-03,228000,1884000,227000,-11000,2026-04-27T23:02:00Z
2025-04-26,239000,1876000,225750,+15000,2026-04-27T23:02:00Z
2025-04-19,224000,1906000,221000,+7000,2026-04-27T23:02:00Z
2025-04-12,217000,1840000,221000,-6000,2026-04-27T23:02:00Z
2025-04-05,223000,1876000,223000,+3000,2026-04-27T23:02:00Z
2025-03-29,220000,1852000,222750,-4000,2026-04-27T23:02:00Z
2025-03-22,224000,1889000,223750,-1000,2026-04-27T23:02:00Z
2025-03-15,225000,1852000,228000,+3000,2026-04-27T23:02:00Z
2025-03-08,222000,1876000,227500,-2000,2026-04-27T23:02:00Z
2025-03-01,224000,1857000,226000,-17000,2026-04-27T23:02:00Z
2025-02-22,241000,1889000,225000,+18000,2026-04-27T23:02:00Z
2025-02-15,223000,1849000,217750,+7000,2026-04-27T23:02:00Z
2025-02-08,216000,1862000,217750,-4000,2026-04-27T23:02:00Z
2025-02-01,220000,1840000,218500,+8000,2026-04-27T23:02:00Z
2025-01-25,212000,1876000,215000,-11000,2026-04-27T23:02:00Z
2025-01-18,223000,1854000,215000,+4000,2026-04-27T23:02:00Z
2025-01-11,219000,1891000,214000,+13000,2026-04-27T23:02:00Z
2025-01-04,206000,1850000,214750,-6000,2026-04-27T23:02:00Z
2024-12-28,212000,1868000,222750,-7000,2026-04-27T23:02:00Z
2024-12-21,219000,1833000,225250,-3000,2026-04-27T23:02:00Z
2024-12-14,222000,1881000,225250,-16000,2026-04-27T23:02:00Z
2024-12-07,238000,1865000,223750,+16000,2026-04-27T23:02:00Z
2024-11-30,222000,1859000,218750,+3000,2026-04-27T23:02:00Z
2024-11-23,219000,1866000,218500,+3000,2026-04-27T23:02:00Z
2024-11-16,216000,1887000,218500,-2000,2026-04-27T23:02:00Z
2024-11-09,218000,1887000,221250,-3000,2026-04-27T23:02:00Z
2024-11-02,221000,1870000,227000,+2000,2026-04-27T23:02:00Z
2024-10-26,219000,1876000,236250,-8000,2026-04-27T23:02:00Z
2024-10-19,227000,1853000,238250,-14000,2026-04-27T23:02:00Z
2024-10-12,241000,1882000,236750,-17000,2026-04-27T23:02:00Z
2024-10-05,258000,1869000,232250,+31000,2026-04-27T23:02:00Z
2024-09-28,227000,1858000,224500,+6000,2026-04-27T23:02:00Z
2024-09-21,221000,1825000,224500,-2000,2026-04-27T23:02:00Z
2024-09-14,223000,1831000,227250,-4000,2026-04-27T23:02:00Z
2024-09-07,227000,1825000,229500,+0,2026-04-27T23:02:00Z
2024-08-31,227000,1845000,229750,-5000,2026-04-27T23:02:00Z
2024-08-24,232000,1847000,231500,+0,2026-04-27T23:02:00Z
2024-08-17,232000,1862000,235500,+4000,2026-04-27T23:02:00Z
2024-08-10,228000,1855000,236750,-6000,2026-04-27T23:02:00Z
2024-08-03,234000,1863000,240000,-14000,2026-04-27T23:02:00Z
2024-07-27,248000,1871000,237250,+11000,2026-04-27T23:02:00Z
2024-07-20,237000,1873000,234750,-4000,2026-04-27T23:02:00Z
2024-07-13,241000,1848000,233750,+18000,2026-04-27T23:02:00Z
2024-07-06,223000,1864000,232500,-15000,2026-04-27T23:02:00Z
2024-06-29,238000,1853000,236750,+5000,2026-04-27T23:02:00Z
2024-06-22,233000,1862000,234000,-3000,2026-04-27T23:02:00Z
2024-06-15,236000,1839000,230750,-4000,2026-04-27T23:02:00Z
2024-06-08,240000,1830000,225750,+13000,2026-04-27T23:02:00Z
2024-06-01,227000,1821000,221250,+7000,2026-04-27T23:02:00Z
2024-05-25,220000,1804000,222000,+4000,2026-04-27T23:02:00Z
