date,time,code,name,kind,title,exchange,captured_at
2026-04-27,19:30,471A0,ＮＳグループ,other,（開示事項の経過）親会社以外の支配株主の異動に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,18:15,38560,Ａｂａｌａｎｃｅ,other,元連結子会社の会計処理等に関する調査委員会設置のお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,18:15,38560,Ａｂａｌａｎｃｅ,guidance_revision,2026年３月期業績予想に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,18:15,38560,Ａｂａｌａｎｃｅ,earnings,2026年３月期第３四半期決算短信及び2026年３月期決算短信の開示延期に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,18:15,38560,Ａｂａｌａｎｃｅ,other,（開示事項の経過）ベトナム子会社の太陽光パネル新工場概要のお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:30,43800,Ｇ－Ｍマート,other,支配株主等に関する事項について,東,2026-04-27T22:54:19Z
2026-04-27,17:10,29150,ケンコーマヨ,other,代表取締役の異動及び取締役候補者の一部変更に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,13010,極洋,other,連結子会社の破産手続き開始に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,293A0,Ｐ－ＢＡＢＹ　ＪＯＢ,dividend,剰余金の配当（初配）に関するお知らせ,東福,2026-04-27T22:54:19Z
2026-04-27,17:00,37500,ＡＤＲ１２０Ｓ,other,商号の変更及びグループ体制再編に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,38400,ＰＡＴＨ,other,本社移転に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,39830,オロ,buyback,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,42560,Ｇ－サインド,other,サイバー攻撃による不正アクセスの検知と情報漏えいの可能性に関するお詫びとご報告（第二報）,東,2026-04-27T22:54:19Z
2026-04-27,17:00,45070,塩野義薬,m_and_a,当社の完全子会社である鳥居薬品株式会社の吸収合併（簡易合併・略式合併）に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,46330,サカタインクス,buyback,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,54710,大同特鋼,other,執行役員の異動に関するお知らせ,東名,2026-04-27T22:54:19Z
2026-04-27,17:00,64400,ＪＵＫＩ,buyback,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,80350,東エレク,other,当社台湾子会社に対する判決について,東,2026-04-27T22:54:19Z
2026-04-27,17:00,80590,第一実業,guidance_revision,（訂正・数値データ訂正）「通期業績予想の上方修正及び期末配当予想の修正（増配）に関するお知らせ」の一部訂正について,東,2026-04-27T22:54:19Z
2026-04-27,17:00,87420,小林洋行,buyback,自己株式立会外買付取引（ToSTNeT-3）による自己株式の買付けに関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,88180,京阪神ビ,other,株主提案に関する書面受領のお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,89660,Ｒ－平和ＲＥ,other,国内資産の譲渡に関するお知らせ（ＨＦ西新宿レジデンスＷＥＳＴ、ＨＦ西新宿レジデンスＥＡＳＴ）,東,2026-04-27T22:54:19Z
2026-04-27,17:00,89660,Ｒ－平和ＲＥ,other,本日付公表の適時開示に関する補足説明資料,東,2026-04-27T22:54:19Z
2026-04-27,17:00,89660,Ｒ－平和ＲＥ,guidance_revision,2026年5月期（第49期）の運用状況の予想の修正に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,94440,トーシンＨＤ,other,（開示事項の変更）改善計画の開示再延期に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,17:00,96970,カプコン,guidance_revision,通期連結業績予想の修正および個別業績見込みと前期実績値との差異ならびに配当予想の修正（増配）に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:45,46760,フジＨＤ,guidance_revision,法人税等調整額の計上及び通期業績予想の修正並びに配当予想に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,32260,Ｒ－三井不アコモ,other,資金の借入れ（グリーンローンによる借換えを含む）に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,36670,ｅｎｉｓｈ,guidance_revision,第三者割当による第22回新株予約権（行使価額修正条項付）及び第２回無担保社債の発行、新株予約権買取契約締結並びに第20回新株予約権取得消却に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,36670,ｅｎｉｓｈ,offering,有償ストック・オプション（新株予約権）の発行に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,36670,ｅｎｉｓｈ,other,定款の一部変更に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,36670,ｅｎｉｓｈ,other,新任取締役候補者の選任に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,47200,城南進研,dividend,剰余金の配当に関するお知らせ,東札,2026-04-27T22:54:19Z
2026-04-27,16:30,72010,日産自,guidance_revision,業績予想の修正に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,79470,エフピコ,dividend,連結子会社からの配当金受領に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:30,89510,Ｒ－ビルＦ,other,資金の借換に関するお知らせ,東,2026-04-27T22:54:19Z
2026-04-27,16:20,72410,フタバ産,earnings,2026年３月期 決算短信〔日本基準〕(連結),東名,2026-04-27T22:54:19Z
2026-04-27,16:20,72410,フタバ産,guidance_revision,通期連結業績予想と実績値との差異に関するお知らせ,東名,2026-04-27T22:54:19Z
