topic,question,probability_pct,volume_usd,close_time,market_id,url,captured_at
bitcoin,Bitcoin below $60K in 2026?,58.5,64707,2027-01-01T07:59:00Z,2np9Otu5lI,https://manifold.markets/predyx_markets/bitcoin-below-60k-in-2026,2026-04-27T23:10:51Z
bitcoin,Bitcoin $64K in April?,1.2,21084,2026-05-01T06:59:00Z,CqptuuhR5c,https://manifold.markets/predyx_markets/bitcoin-64k-in-april,2026-04-27T23:10:51Z
bitcoin,Bitcoin $150K in 2026?,6.4,11648,2027-01-01T07:59:00Z,U55gtI0lnE,https://manifold.markets/predyx_markets/bitcoin-150k-in-2026,2026-04-27T23:10:51Z
bitcoin,Bitcoin $120K in 2026?,27.0,10899,2027-01-03T07:59:00Z,AqZzEnIysE,https://manifold.markets/predyx_markets/bitcoin-120k-in-2026,2026-04-27T23:10:51Z
bitcoin,Bitcoin 60000€ at the end of april?,89.0,9734,2026-04-30T23:59:00Z,5ztuCIqnuL,https://manifold.markets/Tymothyy/bitcoin-60000-end-of-april,2026-04-27T23:10:51Z
bitcoin,"Will Bitcoin close above $80,000 on April 30, 2026?",16.2,6684,2026-04-30T23:59:00Z,2Ncu6yN2nz,https://manifold.markets/CalibratedGhosts/will-bitcoin-close-above-80000-on-a,2026-04-27T23:10:51Z
bitcoin,Will bitcoin be above 85k before the end of April?,4.6,4788,2026-04-30T23:59:00Z,A8OPpZ9Rtg,https://manifold.markets/Yajat/will-bitcoin-be-above-85k-before-th,2026-04-27T23:10:51Z
bitcoin,Bitcoin $55K before $85K?,24.7,3958,2027-12-31T09:45:00Z,Ou0NcNpcEP,https://manifold.markets/predyx_markets/bitcoin-55k-before-85k,2026-04-27T23:10:51Z
bitcoin,Bitcoin $50K before $90K?,44.0,1730,2027-12-31T23:59:00Z,gILzdnOyCQ,https://manifold.markets/predyx_markets/bitcoin-50k-before-90k,2026-04-27T23:10:51Z
bitcoin,"Will Bitcoin hit $100.000 again before July 1, 2026?",9.8,1465,2026-06-30T23:59:00Z,IpAQLZIqqO,https://manifold.markets/BasicCat/will-bitcoin-hit-100000-again-befor,2026-04-27T23:10:51Z
bitcoin,"Will Bitcoin close above $80,000 on any day between April 16 and May 31, 2026?",58.3,428,2026-05-31T22:00:00Z,t6CNNN52qs,https://manifold.markets/CalibratedGhosts/will-bitcoin-close-above-80000-on-a-gtdLUs0LL5,2026-04-27T23:10:51Z
bitcoin,Will Bitcoin reach $90K USD in May 2026?,23.0,155,2026-05-31T23:59:00Z,u8UuypuNzQ,https://manifold.markets/100Anonymous/will-bitcoin-reach-90k-usd-in-may-2,2026-04-27T23:10:51Z
china,"If China invades Taiwan, will the United States intervene directly?",36.3,13705,2099-12-31T22:59:00Z,PFZc6ng48tkxMHxwmdvL,https://manifold.markets/PedeJo/if-china-invades-taiwan-will-the-un,2026-04-27T23:10:51Z
china,"If China tries to invade Taiwan, will Japan become militarily involved?",70.6,1422,2040-01-01T15:59:00Z,CFdWMivxxI6qYSPcTz8Y,https://manifold.markets/JoshuaWilkes/if-china-tries-to-invade-taiwan-wil,2026-04-27T23:10:51Z
china,Will China unify with Taiwan by the end of 2030?,33.0,363,2031-01-01T04:59:00Z,jzxs9209yu,https://manifold.markets/huge_uranium/will-china-unify-with-taiwan-by-the,2026-04-27T23:10:51Z
election,Will JD Vance win the 2028 US Presidential Election?,20.2,546573,2028-11-08T05:59:00Z,wpdomi6nif,https://manifold.markets/LarsDoucet/will-jd-vance-win-the-2028-us-presi,2026-04-27T23:10:51Z
election,Will Republicans win the Senate in the 2026 elections?,49.0,48237,2026-12-01T04:59:00Z,BpoEJNtlQoDBpfjBmK0y,https://manifold.markets/AndrewG/will-republicans-win-the-senate-in-738388924521,2026-04-27T23:10:51Z
election,Will J.D. Vance win the 2028 Presidential Election of the United States?,20.9,7803,2029-01-23T06:59:00Z,hsqsez3afy,https://manifold.markets/NathanDickson/will-jd-vance-win-the-2028-presiden,2026-04-27T23:10:51Z
election,Will Kamala Harris run in the 2028 election primary?,39.0,6439,2029-01-01T04:59:00Z,6gnvo9eftb,https://manifold.markets/strutheo/will-kamala-harris-run-in-the-2028,2026-04-27T23:10:51Z
election,Democrats win 2028 US Presidential Election?,65.0,3282,2029-01-01T07:59:00Z,5dfk308wjr,https://manifold.markets/predyx_markets/will-democratic-party-win-the-us-pr,2026-04-27T23:10:51Z
election,Sen. Fetterman leaves Democratic Party before 2028 election?,35.0,2305,2028-12-31T23:59:00Z,yUdUP5yUg2,https://manifold.markets/mqudsi/sen-fetterman-leaves-democratic-par,2026-04-27T23:10:51Z
gold,Artificially produced gold on a significant scale by 2035?,11.7,9028,2034-12-31T23:59:00Z,U0QOPUu6ds,https://manifold.markets/FranekZak/artificially-produced-gold-on-a-sig,2026-04-27T23:10:51Z
gold,"Will Eldorado Gold's acquisition result in a copper supply increase by May 11, 2026?",13.1,1771,2026-05-11T09:01:42Z,qpLyOQ2C0n,https://manifold.markets/CurtisSteele/will-eldorado-golds-acquisition-res,2026-04-27T23:10:51Z
gold,Did Niki Minaj get a gold card?,6.9,268,2026-05-01T02:20:00Z,LyyhU5S2NC,https://manifold.markets/HillaryClinton/did-niki-minaj-get-a-gold-card,2026-04-27T23:10:51Z
inflation,Will there be a trillionaire by the end of 2028?,75.4,69126,2029-01-01T05:00:00Z,CchlGjOuD4e3exiC02SJ,https://manifold.markets/IsaacKing/will-there-be-a-trillionare-by-the,2026-04-27T23:10:51Z
inflation,Will Argentina dollarize its economy before 2028?,15.1,39202,2028-01-01T03:49:00Z,fJ6kkaTyNsTcmY8Sxjj0,https://manifold.markets/FranklinBaldo/will-argentina-dolarize-its-economy,2026-04-27T23:10:51Z
inflation,Will the Iranian regime be overthrown? ,16.7,31394,2026-12-31T23:59:00Z,zP0RynR5pI,https://manifold.markets/PoliticalEconomyPK/will-iranians-be-able-to-overthrow,2026-04-27T23:10:51Z
inflation,Will the average US inflation between 2024–2034 be more than 2.21%?,65.0,86,2034-01-01T22:59:00Z,t2qkku9WJLJjjF8TwVdg,https://manifold.markets/jontin/will-the-average-us-inflation-betwe,2026-04-27T23:10:51Z
nvidia,2030 – 5. AI-driven job loss will be one of the most widely discussed political and social issues.,75.7,3564,2030-12-31T22:59:00Z,oq7HQgQZ6tWHbGfIT8dL,https://manifold.markets/HenriThunberg/2030-5-aidriven-job-loss-will-be-on,2026-04-27T23:10:51Z
nvidia,Will the first $10 Trillion dollar company be Nvidia?,39.2,2735,2051-01-01T04:59:00Z,7vglXnXaO7KOnzlRnOqZ,https://manifold.markets/strutheo/will-the-first-10-trillion-dollar-c-f627265f2b7c,2026-04-27T23:10:51Z
nvidia,Will AMD become a Trillion Dollar Company before 2030? 🎢💻🤑🚀⚡,57.9,1837,2030-01-01T12:59:00Z,u2tdKKRNholzyqtU4Ljc,https://manifold.markets/elf/will-amd-become-a-trillion-dollar-c,2026-04-27T23:10:51Z
nvidia,"Will Nvidia resume selling its top GPUs to China by April 1, 2027?",24.1,1501,2027-04-01T23:59:00Z,SVNm1HHV82DVFNDNy4AG,https://manifold.markets/NoaNabeshima/will-nvidia-resume-selling-its-top,2026-04-27T23:10:51Z
nvidia,Nvidia stock $300 or higher in 2026,16.2,851,2026-06-30T22:59:00Z,UOdd0u0950,https://manifold.markets/ManiPart/nvidia-stock-300-or-higher-in-2026,2026-04-27T23:10:51Z
nvidia,Will NVDA (Nvidia) close April 2026 above $170?,97.7,608,2026-04-30T23:59:00Z,sLIyIAnLLs,https://manifold.markets/Terminator2/will-nvda-nvidia-close-april-2026-a,2026-04-27T23:10:51Z
nvidia,Open ia fait faillite avant la fin de l’année ?,10.3,549,2026-12-31T23:59:00Z,A900APncCq,https://manifold.markets/SachaPellerin/open-ia-fait-faillite-avant-la-fin,2026-04-27T23:10:51Z
openai,Will Anthropic surpass OpenAI valuation in 2026?,58.1,125786,2026-12-31T23:59:00Z,uCgZhL5udI,https://manifold.markets/sama/will-anthropic-surpass-openai-valua,2026-04-27T23:10:51Z
openai,Will Anthropic have a higher market cap than OpenAI after both IPO?,53.2,28124,2030-12-31T23:59:00Z,52sSQUNR2s,https://manifold.markets/Simon74fe/will-anthropic-have-a-higher-market,2026-04-27T23:10:51Z
openai,"Will OpenAI release a super-app combining ChatGPT, Codex, and Atlass apps, before May 1 2026?",15.8,3580,2026-04-30T23:59:00Z,QgsNNzSRE0,https://manifold.markets/nosuch/will-openai-release-a-superapp-comb,2026-04-27T23:10:51Z
openai,"Will OpenAI announce a new model that EpochAI estimates is at least as large as GPT-4.5, before August 2026?",39.5,2181,2026-08-01T23:37:00Z,Lc5EsS6qun,https://manifold.markets/Bayesian/will-openai-announce-a-new-model-th-udLOcyEIOc,2026-04-27T23:10:51Z
openai,"Who will believe in AGI first, Manifold (Yes) or OpenAI (No)?",22.8,2166,2030-08-05T03:27:00Z,I6QRtzZz5h,https://manifold.markets/NivlacM/who-will-believe-in-agi-first-manif,2026-04-27T23:10:51Z
openai,Will Anthropic’s private valuation exceed 50% of OpenAI’s in their next funding rounds?,87.0,1436,2026-06-30T22:59:00Z,9QLUOClzlA,https://manifold.markets/adhoum/will-anthropics-private-valuation-e,2026-04-27T23:10:51Z
openai,Will an LLM from OpenAI beat me in chess by the end of 2026?,50.0,1085,2026-12-31T23:59:00Z,Pz8n2ucz6S,https://manifold.markets/strutheo/will-an-llm-from-openai-beat-me-in-IyZNhgLEQ8,2026-04-27T23:10:51Z
openai,"Will Anthropic have a higher valuation than OpenAI on April 18, 2029?",56.9,944,2029-04-18T15:27:00Z,ZLUA6OECAy,https://manifold.markets/Bayesian/will-anthropic-have-a-higher-valuat,2026-04-27T23:10:51Z
openai,Will an LLM from OpenAI beat a FIDE grandmaster in chess by the end of 2028?,40.0,738,2028-12-31T23:59:00Z,qpNqPg5Nqg,https://manifold.markets/strutheo/will-an-llm-from-openai-beat-a-fide,2026-04-27T23:10:51Z
openai,Will Elon win his case against OpenAI?,51.7,674,2026-12-31T23:59:00Z,Sl55EspEOd,https://manifold.markets/realDonaldTrump/will-elon-win-his-case-against-open,2026-04-27T23:10:51Z
openai,Will OpenAI go public NOT via an IPO?,28.2,518,2026-12-07T04:28:00Z,95POzZAIhg,https://manifold.markets/RS/will-openai-go-public-not-via-an-ip,2026-04-27T23:10:51Z
openai,"Will OpenAI release a ""Search"" feature that replaces ChatGPT's default interface before July 1, 2026?",23.6,141,2026-06-30T23:59:00Z,8LQOA20PyS,https://manifold.markets/OnlyBoot/will-openai-release-a-search-featur,2026-04-27T23:10:51Z
rate_cut,"Will Bitcoin exceed $100,000 before December 31, 2026?",42.8,1231,2026-12-30T23:59:00Z,CO0N90hQdd,https://manifold.markets/PhamThanhat/will-bitcoin-exceed-100000-before-d,2026-04-27T23:10:51Z
rate_hike,Rate hike in 2027?,28.3,81,2028-01-01T04:59:00Z,OCSzyg8pdN,https://manifold.markets/HillaryClinton/rate-hike-in-2027,2026-04-27T23:10:51Z
recession,Will the U.S. enter a recession in Trump's second term?,58.0,281813,2030-01-21T04:59:00Z,Qgg9Rc8PIy,https://manifold.markets/JRR/will-the-us-enter-a-recession-in-tr,2026-04-27T23:10:51Z
recession,US recession in 2026?,28.0,58316,2026-12-31T23:59:00Z,ElSLRhzqyR,https://manifold.markets/brod/us-recession-in-2026,2026-04-27T23:10:51Z
recession,Will there be a worldwide recession before 2029?,30.0,4098,2029-01-02T07:59:00Z,1DbAAzHmr7H4jvXslOgs,https://manifold.markets/NathanpmYoung/will-there-be-a-worldwide-recession,2026-04-27T23:10:51Z
recession,Us market crash in 2026?,18.7,1768,2026-12-31T23:59:00Z,tQ25g009n5,https://manifold.markets/Creation/us-market-crash-in-2026,2026-04-27T23:10:51Z
recession,Recession in Australia in 2026?,30.0,1442,2026-12-31T23:59:00Z,0gI6PnhO6Z,https://manifold.markets/brod/recession-in-australia-in-2026,2026-04-27T23:10:51Z
recession,"Given the Republican candidate wins the 2024 presidency, will the real median household income be more than $74,580?",85.7,134,2029-01-02T04:59:00Z,fHHuVNYq358Gml77tQg4,https://manifold.markets/MatthewKhoriaty/given-the-republican-candidate-wins,2026-04-27T23:10:51Z
tesla,Tesla has more fully autonomous rides than Waymo in 2026?,10.1,805403,2026-12-31T23:59:00Z,I6gU82zcus,https://manifold.markets/JamesGrugett/tesla-serves-more-fully-autonomous,2026-04-27T23:10:51Z
tesla,Will we conclude Tesla launched level 4 robotaxis in summer 2025?,12.5,69390,2026-09-01T23:59:00Z,OZs0tAAnsp,https://manifold.markets/dreev/will-tesla-count-as-a-waymo-competi,2026-04-27T23:10:51Z
tesla,Will Tesla sell >$1B of humanoid robots by 2030?,35.1,6801,2030-01-01T05:59:00Z,aVLZG6tC0YZYJqRgKy1G,https://manifold.markets/Gigacasting/will-tesla-sell-1b-of-humanoid-robo,2026-04-27T23:10:51Z
