week_end,mba_purchase_idx,mba_refi_idx,pmms_30y,pmms_15y,captured_at
2026-04-23,,,6.23,5.58,2026-04-27T23:12:04Z
2026-04-16,,,6.30,5.65,2026-04-27T23:12:04Z
2026-04-09,,,6.37,5.74,2026-04-27T23:12:04Z
2026-04-02,,,6.46,5.77,2026-04-27T23:12:04Z
2026-03-26,,,6.38,5.75,2026-04-27T23:12:04Z
2026-03-19,,,6.22,5.54,2026-04-27T23:12:04Z
2026-03-12,,,6.11,5.50,2026-04-27T23:12:04Z
2026-03-05,,,6.00,5.43,2026-04-27T23:12:04Z
2026-02-26,,,5.98,5.44,2026-04-27T23:12:04Z
2026-02-19,,,6.01,5.35,2026-04-27T23:12:04Z
2026-02-12,,,6.09,5.44,2026-04-27T23:12:04Z
2026-02-05,,,6.11,5.50,2026-04-27T23:12:04Z
2026-01-29,,,6.10,5.49,2026-04-27T23:12:04Z
2026-01-22,,,6.09,5.44,2026-04-27T23:12:04Z
2026-01-15,,,6.06,5.38,2026-04-27T23:12:04Z
2026-01-08,,,6.16,5.46,2026-04-27T23:12:04Z
2025-12-31,,,6.15,5.44,2026-04-27T23:12:04Z
2025-12-24,,,6.18,5.50,2026-04-27T23:12:04Z
2025-12-18,,,6.21,5.47,2026-04-27T23:12:04Z
2025-12-11,,,6.22,5.54,2026-04-27T23:12:04Z
2025-12-04,,,6.19,5.44,2026-04-27T23:12:04Z
2025-11-26,,,6.23,5.51,2026-04-27T23:12:04Z
2025-11-20,,,6.26,5.54,2026-04-27T23:12:04Z
2025-11-13,,,6.24,5.49,2026-04-27T23:12:04Z
2025-11-06,,,6.22,5.50,2026-04-27T23:12:04Z
2025-10-30,,,6.17,5.41,2026-04-27T23:12:04Z
2025-10-23,,,6.19,5.44,2026-04-27T23:12:04Z
2025-10-16,,,6.27,5.52,2026-04-27T23:12:04Z
2025-10-09,,,6.30,5.53,2026-04-27T23:12:04Z
2025-10-02,,,6.34,5.55,2026-04-27T23:12:04Z
2025-09-25,,,6.30,5.49,2026-04-27T23:12:04Z
2025-09-18,,,6.26,5.41,2026-04-27T23:12:04Z
2025-09-11,,,6.35,5.50,2026-04-27T23:12:04Z
2025-09-04,,,6.50,5.60,2026-04-27T23:12:04Z
2025-08-28,,,6.56,5.69,2026-04-27T23:12:04Z
2025-08-21,,,6.58,5.69,2026-04-27T23:12:04Z
2025-08-14,,,6.58,5.71,2026-04-27T23:12:04Z
2025-08-07,,,6.63,5.75,2026-04-27T23:12:04Z
2025-07-31,,,6.72,5.85,2026-04-27T23:12:04Z
2025-07-24,,,6.74,5.87,2026-04-27T23:12:04Z
2025-07-17,,,6.75,5.92,2026-04-27T23:12:04Z
2025-07-10,,,6.72,5.86,2026-04-27T23:12:04Z
2025-07-03,,,6.67,5.80,2026-04-27T23:12:04Z
2025-06-26,,,6.77,5.89,2026-04-27T23:12:04Z
2025-06-18,,,6.81,5.96,2026-04-27T23:12:04Z
2025-06-12,,,6.84,5.97,2026-04-27T23:12:04Z
2025-06-05,,,6.85,5.99,2026-04-27T23:12:04Z
2025-05-29,,,6.89,6.03,2026-04-27T23:12:04Z
2025-05-22,,,6.86,6.01,2026-04-27T23:12:04Z
2025-05-15,,,6.81,5.92,2026-04-27T23:12:04Z
2025-05-08,,,6.76,5.89,2026-04-27T23:12:04Z
2025-05-01,,,6.76,5.92,2026-04-27T23:12:04Z
