icao_id,observed_at,temp_c,dewpoint_c,wind_dir_deg,wind_speed_kt,wind_gust_kt,visibility_sm,altimeter_in_hg,flight_category,raw_ob,captured_at
KATL,2026-04-27T22:52:00Z,23.3,10.6,180,7,,,30.11,,METAR KATL 272252Z 18007KT 10SM FEW200 23/11 A3011 RMK AO2 SLP190 T02330106 $,2026-04-27T23:10:52Z
KDFW,2026-04-27T22:53:00Z,33.3,17.2,170,9,,,29.74,,METAR KDFW 272253Z 17009KT 10SM FEW070TCU SCT085 SCT250 33/17 A2974 RMK AO2 SLP059 TCU SE-S T03330172,2026-04-27T23:10:52Z
KDEN,2026-04-27T22:53:00Z,11.1,-0.6,100,11,,,29.91,,METAR KDEN 272253Z 10011KT 10SM BKN070 BKN085 BKN120 BKN220 11/M01 A2991 RMK AO2 SLP104 T01111006,2026-04-27T23:10:52Z
KORD,2026-04-27T22:51:00Z,20.0,14.4,190,12,20,,29.61,,METAR KORD 272251Z 19012G20KT 10SM BKN050 OVC250 20/14 A2961 RMK AO2 RAB28E33 SLP025 CB DSNT SW MOV NE P0000 T02000144 $,2026-04-27T23:10:52Z
KLAX,2026-04-27T22:53:00Z,18.3,8.3,260,14,,,30.00,,METAR KLAX 272253Z 26014KT 10SM FEW030 FEW090 18/08 A3000 RMK AO2 SLP157 T01830083,2026-04-27T23:10:52Z
KCLT,2026-04-27T22:52:00Z,21.7,6.1,120,7,,,30.14,,METAR KCLT 272252Z 12007KT 10SM FEW250 22/06 A3014 RMK AO2 SLP216 T02170061,2026-04-27T23:10:52Z
KLAS,2026-04-27T22:56:00Z,22.2,-3.9,230,12,26,,29.84,,METAR KLAS 272256Z 23012G26KT 10SM FEW100 FEW150 22/M04 A2984 RMK AO2 PK WND 21026/2252 SLP090 T02221039,2026-04-27T23:10:52Z
KPHX,2026-04-27T22:53:00Z,27.8,-2.8,180,5,,,29.83,,SPECI KPHX 272253Z 18005KT 10SM FEW250 28/M03 A2983 RMK AO2 T02781028,2026-04-27T23:10:52Z
KMIA,2026-04-27T22:53:00Z,26.7,20.6,60,10,,,29.97,,METAR KMIA 272253Z 06010KT 10SM FEW028 SCT095 BKN120 BKN250 27/21 A2997 RMK AO2 SLP150 CB DSNT SW T02670206 $,2026-04-27T23:10:52Z
KSEA,2026-04-27T22:53:00Z,13.3,7.2,210,12,,,30.04,,METAR KSEA 272253Z 21012KT 10SM BKN031 BKN038 13/07 A3004 RMK AO2 SLP180 T01330072,2026-04-27T23:10:52Z
KIAH,2026-04-27T22:53:00Z,30.6,22.8,160,11,,,29.83,,METAR KIAH 272253Z 16011KT 10SM BKN040 31/23 A2983 RMK AO2 SLP099 T03060228,2026-04-27T23:10:52Z
KJFK,2026-04-27T22:51:00Z,12.8,3.3,140,7,,,30.25,,METAR KJFK 272251Z 14007KT 10SM FEW050 FEW250 13/03 A3025 RMK SLP242 T01280033,2026-04-27T23:10:52Z
KEWR,2026-04-27T22:51:00Z,15.6,2.2,160,6,,,30.22,,METAR KEWR 272251Z 16006KT 10SM FEW060 FEW250 16/02 A3022 RMK AO2 SLP233 T01560022 $,2026-04-27T23:10:52Z
KSFO,2026-04-27T22:56:00Z,16.1,7.8,280,18,24,,30.05,,METAR KSFO 272256Z 28018G24KT 10SM FEW028 16/08 A3005 RMK AO2 SLP176 T01610078,2026-04-27T23:10:52Z
KBOS,2026-04-27T22:54:00Z,11.7,3.3,120,5,,,30.27,,METAR KBOS 272254Z 12005KT 10SM CLR 12/03 A3027 RMK AO2 SLP248 T01170033 $,2026-04-27T23:10:52Z
KMCO,2026-04-27T22:53:00Z,25.0,17.2,50,12,,,30.04,,METAR KMCO 272253Z 05012KT 10SM SCT036 SCT060 25/17 A3004 RMK AO2 SLP172 T02500172,2026-04-27T23:10:52Z
KFLL,2026-04-27T22:53:00Z,26.7,20.6,60,12,,,29.97,,METAR KFLL 272253Z 06012KT 10SM FEW025 BKN100 BKN170 BKN250 27/21 A2997 RMK AO2 SLP146 T02670206 $,2026-04-27T23:10:52Z
KDTW,2026-04-27T22:53:00Z,18.9,6.7,150,6,,,29.94,,METAR KDTW 272253Z 15006KT 10SM SCT060 BKN090 OVC130 19/07 A2994 RMK AO2 SLP139 T01890067,2026-04-27T23:10:52Z
KMSP,2026-04-27T23:02:00Z,10.6,9.4,310,16,,9.0,29.49,IFR,SPECI KMSP 272302Z 31016KT 9SM -RA BKN007 OVC014 11/09 A2949 RMK AO2 P0001 T01060094,2026-04-27T23:10:52Z
KPHL,2026-04-27T22:54:00Z,20.0,7.2,170,7,,,30.20,,METAR KPHL 272254Z 17007KT 10SM FEW065 SCT300 20/07 A3020 RMK AO2 SLP227 T02000072 $,2026-04-27T23:10:52Z
