week,rate_30yr,rate_15yr,rate_5_1arm,rate_30yr_mom,captured_at
2026-04-23,6.23,5.58,0.00,-0.15,2026-04-27T23:01:51Z
2026-04-16,6.30,5.65,0.00,+0.08,2026-04-27T23:01:51Z
2026-04-09,6.37,5.74,0.00,+0.26,2026-04-27T23:01:51Z
2026-04-02,6.46,5.77,0.00,+0.46,2026-04-27T23:01:51Z
2026-03-26,6.38,5.75,0.00,+0.40,2026-04-27T23:01:51Z
2026-03-19,6.22,5.54,0.00,+0.21,2026-04-27T23:01:51Z
2026-03-12,6.11,5.50,0.00,+0.02,2026-04-27T23:01:51Z
2026-03-05,6.00,5.43,0.00,-0.11,2026-04-27T23:01:51Z
2026-02-26,5.98,5.44,0.00,-0.12,2026-04-27T23:01:51Z
2026-02-19,6.01,5.35,0.00,-0.08,2026-04-27T23:01:51Z
2026-02-12,6.09,5.44,0.00,+0.03,2026-04-27T23:01:51Z
2026-02-05,6.11,5.50,0.00,-0.05,2026-04-27T23:01:51Z
2026-01-29,6.10,5.49,0.00,-0.05,2026-04-27T23:01:51Z
2026-01-22,6.09,5.44,0.00,-0.09,2026-04-27T23:01:51Z
2026-01-15,6.06,5.38,0.00,-0.15,2026-04-27T23:01:51Z
2026-01-08,6.16,5.46,0.00,-0.06,2026-04-27T23:01:51Z
2025-12-31,6.15,5.44,0.00,-0.04,2026-04-27T23:01:51Z
2025-12-24,6.18,5.50,0.00,-0.05,2026-04-27T23:01:51Z
2025-12-18,6.21,5.47,0.00,-0.05,2026-04-27T23:01:51Z
2025-12-11,6.22,5.54,0.00,-0.02,2026-04-27T23:01:51Z
2025-12-04,6.19,5.44,0.00,-0.03,2026-04-27T23:01:51Z
2025-11-26,6.23,5.51,0.00,+0.06,2026-04-27T23:01:51Z
2025-11-20,6.26,5.54,0.00,+0.07,2026-04-27T23:01:51Z
2025-11-13,6.24,5.49,0.00,-0.03,2026-04-27T23:01:51Z
2025-11-06,6.22,5.50,0.00,-0.08,2026-04-27T23:01:51Z
2025-10-30,6.17,5.41,0.00,-0.17,2026-04-27T23:01:51Z
2025-10-23,6.19,5.44,0.00,-0.11,2026-04-27T23:01:51Z
2025-10-16,6.27,5.52,0.00,+0.01,2026-04-27T23:01:51Z
2025-10-09,6.30,5.53,0.00,-0.05,2026-04-27T23:01:51Z
2025-10-02,6.34,5.55,0.00,-0.16,2026-04-27T23:01:51Z
2025-09-25,6.30,5.49,0.00,-0.26,2026-04-27T23:01:51Z
2025-09-18,6.26,5.41,0.00,-0.32,2026-04-27T23:01:51Z
2025-09-11,6.35,5.50,0.00,-0.23,2026-04-27T23:01:51Z
2025-09-04,6.50,5.60,0.00,-0.13,2026-04-27T23:01:51Z
