date,subways,buses,lirr,mnr,access_a_ride,bridges_tunnels,staten_island,crz_entries,cbd_entries,total_riders,captured_at
2026-01-22,4121459,1396482,265608,228722,47855,914247,7295,503469,567215,6067421,2026-04-27T23:06:53Z
2026-01-23,3776980,1298807,248622,209654,45077,933065,6001,505217,566911,5585141,2026-04-27T23:06:53Z
2026-01-24,2221402,655805,114512,90911,23866,818220,2011,476905,531327,3108507,2026-04-27T23:06:53Z
2026-01-25,819623,196889,30577,27652,8401,168610,773,117548,130520,1083915,2026-04-27T23:06:53Z
2026-01-26,1755760,489976,53590,42911,15007,314954,2064,195624,218341,2359308,2026-04-27T23:06:53Z
2026-01-27,4059702,1068310,246235,209031,36154,739147,6955,379199,423228,5626387,2026-04-27T23:06:53Z
2026-01-28,4332658,1165329,268629,223385,43338,817588,7816,409984,456237,6041155,2026-04-27T23:06:53Z
2026-01-29,4395790,1161323,270439,225215,42979,857981,7886,429851,478975,6103632,2026-04-27T23:06:53Z
2026-01-30,3957935,1057360,245174,206477,43571,878482,6312,439608,487562,5516829,2026-04-27T23:06:53Z
2026-01-31,2581424,690215,116643,96472,25626,756025,2460,433913,475698,3512840,2026-04-27T23:06:53Z
2026-02-01,1981353,524589,80871,69254,23002,680960,1714,383455,432357,2680783,2026-04-27T23:06:53Z
2026-02-02,3985895,1173735,217203,182299,43047,834932,7471,417821,473082,5609650,2026-04-27T23:06:53Z
2026-02-03,4397644,1245949,263234,219849,48235,859259,8295,442166,498185,6183206,2026-04-27T23:06:53Z
2026-02-04,4439787,1302237,263388,225121,49579,871814,8564,456353,512286,6288676,2026-04-27T23:06:53Z
2026-02-05,4432406,1334014,265748,225067,47826,898988,8178,471518,529097,6313239,2026-04-27T23:06:53Z
2026-02-06,4020646,1261942,252754,210906,46859,911531,6749,472074,531210,5799856,2026-04-27T23:06:53Z
2026-02-07,2358946,650789,102769,89754,23563,758697,2120,444578,497694,3227941,2026-04-27T23:06:53Z
2026-02-08,1769698,481220,80029,70025,22967,685621,1562,393433,445061,2425501,2026-04-27T23:06:53Z
2026-02-09,3807229,1219415,243351,201329,42126,863170,7152,441513,500310,5520602,2026-04-27T23:06:53Z
2026-02-10,4283901,1337815,262988,225826,47006,867843,8435,459086,517401,6165971,2026-04-27T23:06:53Z
2026-02-11,4377163,1358378,268664,226961,50053,894697,8433,474161,533806,6289652,2026-04-27T23:06:53Z
2026-02-12,4266487,1326128,265892,226582,47865,922239,7654,493259,549799,6140608,2026-04-27T23:06:53Z
2026-02-13,4034457,1241227,256378,215551,47055,960871,6677,499558,556350,5801345,2026-04-27T23:06:53Z
2026-02-14,2839785,802553,125137,110510,29123,851409,2882,484983,539296,3909990,2026-04-27T23:06:53Z
2026-02-15,2247495,629233,112300,93826,28498,800112,2304,427501,481655,3113656,2026-04-27T23:06:53Z
2026-02-16,2560717,834155,101152,86277,24970,792379,3053,388725,447596,3610324,2026-04-27T23:06:53Z
2026-02-17,3797796,1170513,260663,223936,45265,885324,7110,456955,517470,5505283,2026-04-27T23:06:53Z
2026-02-18,3974070,1220537,269864,224093,47110,865910,7243,455907,515741,5742917,2026-04-27T23:06:53Z
2026-02-19,4052265,1259788,273447,228261,46003,908186,7484,480431,542602,5867248,2026-04-27T23:06:53Z
2026-02-20,3550862,1088131,251262,203096,43085,885347,5737,482316,541498,5142173,2026-04-27T23:06:53Z
2026-02-21,2710824,839959,142725,113589,29438,894417,2860,486573,546495,3839395,2026-04-27T23:06:53Z
2026-02-22,1439320,438165,65623,60366,21783,493463,1558,283668,320479,2026815,2026-04-27T23:06:53Z
2026-02-23,830660,202460,0,16152,14355,113642,316,64167,72207,1063943,2026-04-27T23:06:53Z
2026-02-24,3487403,963843,90520,108743,25054,622501,2363,357642,400780,4677926,2026-04-27T23:06:53Z
2026-02-25,4139212,1230769,250926,212973,42319,799927,7126,427038,476478,5883325,2026-04-27T23:06:53Z
2026-02-26,4373179,1330375,272009,231970,45069,904170,8132,472716,530665,6260734,2026-04-27T23:06:53Z
2026-02-27,4070331,1288410,257875,218043,47326,935612,7157,481460,538656,5889142,2026-04-27T23:06:53Z
2026-02-28,2839556,866582,150484,120082,30477,874002,3099,473195,530401,4010280,2026-04-27T23:06:53Z
2026-03-01,2092624,632277,102690,80318,27986,783123,2306,419642,477632,2938201,2026-04-27T23:06:53Z
2026-03-02,3977302,1302247,228349,189527,44302,872174,7606,454843,510725,5749333,2026-04-27T23:06:53Z
2026-03-03,4204675,1291843,255481,216028,47579,854906,8211,461875,521001,6023817,2026-04-27T23:06:53Z
2026-03-04,4389363,1391677,267999,230841,50528,912572,8652,486526,548143,6339060,2026-04-27T23:06:53Z
2026-03-05,4249962,1269711,263845,223892,47969,912659,7909,487750,546440,6063288,2026-04-27T23:06:53Z
2026-03-06,4001475,1302863,252224,213668,47619,959491,6895,496372,558549,5824744,2026-04-27T23:06:53Z
2026-03-07,2773292,858706,122719,112304,30093,888546,3041,489048,540532,3900155,2026-04-27T23:06:53Z
2026-03-08,2118735,665659,106218,90561,31053,826545,2307,432588,493181,3014533,2026-04-27T23:06:53Z
2026-03-09,4017877,1328707,256980,216978,45175,906718,8061,463493,523026,5873778,2026-04-27T23:06:53Z
2026-03-10,4429117,1412694,286451,242120,49773,926447,9144,478269,538385,6429299,2026-04-27T23:06:53Z
2026-03-11,4423114,1404358,276278,240805,50810,929885,8969,489644,550427,6404334,2026-04-27T23:06:53Z
2026-03-12,4360259,1317907,280281,236207,48958,937084,8261,493045,554140,6251873,2026-04-27T23:06:53Z
2026-03-13,4099078,1310749,276610,224651,47270,984218,6966,503778,568262,5965324,2026-04-27T23:06:53Z
2026-03-14,2883522,885009,152848,124704,30899,911435,3333,497407,558613,4080315,2026-04-27T23:06:53Z
2026-03-15,2284838,643762,117786,95218,29818,851494,2453,442651,494325,3173875,2026-04-27T23:06:53Z
2026-03-16,3857027,1238844,249381,208691,43491,858980,7268,453686,514654,5604702,2026-04-27T23:06:53Z
2026-03-17,4469055,1356227,279541,242645,48561,910899,8718,470632,531283,6404747,2026-04-27T23:06:53Z
2026-03-18,4510854,1402034,281676,244436,50031,948429,8489,500658,564300,6497520,2026-04-27T23:06:53Z
2026-03-19,4482768,1397394,281063,242630,48465,975040,8237,501828,566151,6460557,2026-04-27T23:06:53Z
2026-03-20,3784106,1209923,268288,228693,45320,967383,6313,487883,553829,5542643,2026-04-27T23:06:53Z
2026-03-21,2811993,890063,137175,123117,29424,916706,2809,483124,546176,3994581,2026-04-27T23:06:53Z
2026-03-22,2121729,687957,123518,102101,29741,878557,2056,448359,514083,3067102,2026-04-27T23:06:53Z
2026-03-23,3888821,1259485,255362,213572,43326,875747,7474,456471,517202,5668040,2026-04-27T23:06:53Z
2026-03-24,4385137,1400840,285995,239664,48170,915023,8554,477087,538610,6368360,2026-04-27T23:06:53Z
2026-03-25,4402186,1412694,279314,240153,49877,930286,8487,485671,548270,6392711,2026-04-27T23:06:53Z
2026-03-26,4431640,1358425,304253,241015,49422,969427,8566,502931,566844,6393321,2026-04-27T23:06:53Z
2026-03-27,4019397,1271472,264326,221909,46350,974683,6767,505979,570722,5830221,2026-04-27T23:06:53Z
2026-03-28,2929313,863605,150533,124691,29859,919497,2596,491801,554896,4100597,2026-04-27T23:06:53Z
2026-03-29,2203483,687814,121016,97853,31135,858515,2068,449050,511422,3143369,2026-04-27T23:06:53Z
2026-03-30,3998954,1306714,270783,222861,43437,900924,7836,462863,526999,5850585,2026-04-27T23:06:53Z
2026-03-31,4383952,1373765,283190,246489,47728,915291,8594,475173,540578,6343718,2026-04-27T23:06:53Z
2026-04-01,4232503,1317645,251388,215767,49070,943619,7908,481232,546323,6074281,2026-04-27T23:06:53Z
2026-04-02,3900255,1175688,254880,215928,45303,908227,6981,479358,540336,5599035,2026-04-27T23:06:53Z
2026-04-03,3586174,1108898,257779,224159,41964,892868,5621,467894,526721,5224595,2026-04-27T23:06:53Z
2026-04-04,2951308,869566,153371,145498,29151,894521,3374,476093,538295,4152268,2026-04-27T23:06:53Z
2026-04-05,1988198,572940,117368,106661,32321,847545,2079,433213,495587,2819567,2026-04-27T23:06:53Z
2026-04-06,3665272,1193708,248376,214677,40038,912482,6834,463593,529471,5368905,2026-04-27T23:06:53Z
2026-04-07,4088429,1260764,271051,239713,45336,880048,7633,478589,541750,5912926,2026-04-27T23:06:53Z
