neo_id,name,close_date,miss_km,velocity_kps,diameter_m,is_hazardous,orbit_body,captured_at
54609803,(2026 HJ3),2026-04-27,6214653,7.15,43.1,0,Earth,2026-04-27T21:42:14Z
54607775,(2026 HR),2026-04-27,6359601,7.56,36.6,0,Earth,2026-04-27T21:42:14Z
54607772,(2026 HO),2026-04-27,9080122,10.20,72.3,0,Earth,2026-04-27T21:42:14Z
54498799,(2024 UG21),2026-04-27,9186244,12.54,21.9,0,Earth,2026-04-27T21:42:14Z
54528919,(2025 JK),2026-04-27,15320504,5.13,28.4,0,Earth,2026-04-27T21:42:14Z
3638380,(2013 JL22),2026-04-27,49690335,10.26,348.4,1,Earth,2026-04-27T21:42:14Z
54395029,(2023 UH),2026-04-27,56794661,18.13,35.3,0,Earth,2026-04-27T21:42:14Z
3837721,(2019 AG7),2026-04-27,65356748,12.55,47.2,0,Earth,2026-04-27T21:42:14Z
3638505,(2013 JX28),2026-04-27,70215329,25.13,567.6,0,Earth,2026-04-27T21:42:14Z
54607813,(2026 HW),2026-04-28,3666964,11.78,58.7,0,Earth,2026-04-27T21:42:14Z
54607620,(2026 GU1),2026-04-28,4766985,6.36,127.2,0,Earth,2026-04-27T21:42:14Z
3843775,(2019 RW),2026-04-28,17255491,12.92,236.6,0,Earth,2026-04-27T21:42:14Z
54607416,(2026 FH12),2026-04-28,20815837,14.32,257.2,1,Earth,2026-04-27T21:42:14Z
54607814,(2026 HX),2026-04-28,24054626,14.85,141.3,0,Earth,2026-04-27T21:42:14Z
54528330,(2025 HV18),2026-04-28,26108578,7.47,119.1,0,Earth,2026-04-27T21:42:14Z
54553943,(2025 UE3),2026-04-28,29534650,15.83,48.1,0,Earth,2026-04-27T21:42:14Z
54281250,(2022 KP6),2026-04-28,31143860,12.78,7.8,0,Earth,2026-04-27T21:42:14Z
54265886,(2022 FT2),2026-04-28,40760729,13.03,25.2,0,Earth,2026-04-27T21:42:14Z
54354395,(2023 GA2),2026-04-28,41856704,14.98,124.7,0,Earth,2026-04-27T21:42:14Z
3767010,(2017 BO6),2026-04-28,43561559,9.06,35.8,0,Earth,2026-04-27T21:42:14Z
3843280,(2019 NF6),2026-04-28,47139152,30.05,527.3,0,Earth,2026-04-27T21:42:14Z
54336900,(2022 YC5),2026-04-28,50332312,15.09,143.9,0,Earth,2026-04-27T21:42:14Z
3835974,(2018 VK1),2026-04-28,64015939,6.85,21.6,0,Earth,2026-04-27T21:42:14Z
54144240,(2021 JZ2),2026-04-28,72665328,19.72,155.6,0,Earth,2026-04-27T21:42:14Z
54470724,(2024 RV12),2026-04-28,73101681,6.74,36.5,0,Earth,2026-04-27T21:42:14Z
54609805,(2026 HL3),2026-04-29,2570036,8.62,43.5,0,Earth,2026-04-27T21:42:14Z
54609809,(2026 HP3),2026-04-29,5928081,11.34,49.3,0,Earth,2026-04-27T21:42:14Z
54607881,(2026 HQ1),2026-04-29,11396276,4.45,73.9,0,Earth,2026-04-27T21:42:14Z
54613596,(2026 HT3),2026-04-29,12034848,7.89,78.6,0,Earth,2026-04-27T21:42:14Z
3258075,(2004 US1),2026-04-29,12091357,16.68,438.6,0,Earth,2026-04-27T21:42:14Z
3516633,(2010 HA),2026-04-29,15359842,3.99,98.6,0,Earth,2026-04-27T21:42:14Z
54524973,(2025 FS10),2026-04-29,15983322,6.49,63.1,0,Earth,2026-04-27T21:42:14Z
54554759,(2025 UM7),2026-04-29,23268327,15.13,22.5,0,Earth,2026-04-27T21:42:14Z
54312818,(2022 SL49),2026-04-29,34863737,13.12,159.2,0,Earth,2026-04-27T21:42:14Z
54276380,(2022 HL1),2026-04-29,40901151,16.48,49.9,0,Earth,2026-04-27T21:42:14Z
54248469,(2022 DP2),2026-04-29,49734856,14.36,84.7,0,Earth,2026-04-27T21:42:14Z
54206542,(2021 TN8),2026-04-29,60999982,15.72,27.0,0,Earth,2026-04-27T21:42:14Z
3455314,(2009 FP28),2026-04-30,14430234,11.13,359.8,0,Earth,2026-04-27T21:42:14Z
3841683,(2019 JG),2026-04-30,19519441,15.72,85.9,0,Earth,2026-04-27T21:42:14Z
54102019,(2020 YN3),2026-04-30,22733352,6.17,125.3,0,Earth,2026-04-27T21:42:14Z
54613595,(2026 HR3),2026-04-30,24334903,5.99,80.0,0,Earth,2026-04-27T21:42:14Z
3829424,(2018 RO5),2026-04-30,36060714,8.02,44.9,0,Earth,2026-04-27T21:42:14Z
54156746,(2021 LD2),2026-04-30,38665165,24.02,238.8,0,Earth,2026-04-27T21:42:14Z
3715499,(2015 FD341),2026-04-30,53103554,33.04,1714.1,0,Earth,2026-04-27T21:42:14Z
3879269,(2019 UT1),2026-04-30,60813407,20.71,17.1,0,Earth,2026-04-27T21:42:14Z
54087734,(2020 VR2),2026-04-30,65867019,20.02,21.6,0,Earth,2026-04-27T21:42:14Z
54613601,(2026 HZ3),2026-05-01,1514040,8.42,54.1,0,Earth,2026-04-27T21:42:14Z
54613600,(2026 HY3),2026-05-01,2748820,9.05,31.1,0,Earth,2026-04-27T21:42:14Z
54613599,(2026 HX3),2026-05-01,3106740,11.43,34.7,0,Earth,2026-04-27T21:42:14Z
3351834,(2006 UE17),2026-05-01,8675495,11.45,242.1,0,Earth,2026-04-27T21:42:14Z
54555307,(2025 UG11),2026-05-01,25407623,6.76,12.2,0,Earth,2026-04-27T21:42:14Z
3766164,(2016 YC8),2026-05-01,26548757,5.74,71.5,0,Earth,2026-04-27T21:42:14Z
3152318,(2003 GR22),2026-05-01,29560377,13.44,218.8,0,Earth,2026-04-27T21:42:14Z
3789401,(2017 VE14),2026-05-01,38287504,9.65,15.6,0,Earth,2026-04-27T21:42:14Z
3337999,(2006 PF1),2026-05-01,38489951,29.34,724.5,0,Earth,2026-04-27T21:42:14Z
3696402,(2014 WF6),2026-05-01,41653581,26.66,78.0,0,Earth,2026-04-27T21:42:14Z
54435949,(2024 HZ),2026-05-01,47115784,16.13,10.9,0,Earth,2026-04-27T21:42:14Z
3789382,(2017 VK13),2026-05-01,48353214,21.00,124.7,0,Earth,2026-04-27T21:42:14Z
54489678,(2024 TV8),2026-05-01,54366701,22.67,32.1,0,Earth,2026-04-27T21:42:14Z
54609730,(2026 HA3),2026-05-02,1935383,12.08,75.9,0,Earth,2026-04-27T21:42:14Z
54609799,(2026 HD3),2026-05-02,3202249,11.47,31.8,0,Earth,2026-04-27T21:42:14Z
54607954,(2026 GW3),2026-05-02,5314868,5.80,36.7,0,Earth,2026-04-27T21:42:14Z
54439998,(2024 JM2),2026-05-02,10380528,10.68,104.2,0,Earth,2026-04-27T21:42:14Z
54609725,(2026 HU2),2026-05-02,11388508,18.64,90.6,0,Earth,2026-04-27T21:42:14Z
3751826,(2016 GA221),2026-05-02,15573485,13.41,171.4,0,Earth,2026-04-27T21:42:14Z
54561364,(2025 VM1),2026-05-02,17972942,10.91,128.8,0,Earth,2026-04-27T21:42:14Z
54439423,(2024 JS),2026-05-02,18938458,12.01,19.8,0,Earth,2026-04-27T21:42:14Z
54606678,(2026 FZ3),2026-05-02,28061050,15.65,233.9,0,Earth,2026-04-27T21:42:14Z
54520804,(2025 DG7),2026-05-02,29615029,7.34,220.8,0,Earth,2026-04-27T21:42:14Z
54359402,(2023 KR1),2026-05-02,38950746,5.38,124.2,0,Earth,2026-04-27T21:42:14Z
3092253,(2000 EM26),2026-05-02,40026913,20.94,187.1,0,Earth,2026-04-27T21:42:14Z
54147412,(2021 KY1),2026-05-02,57619153,6.80,95.5,0,Earth,2026-04-27T21:42:14Z
54607532,(2026 GD1),2026-05-03,5597544,6.64,80.2,0,Earth,2026-04-27T21:42:14Z
54607953,(2026 HE2),2026-05-03,5950260,6.58,40.9,0,Earth,2026-04-27T21:42:14Z
54105102,(2021 AE4),2026-05-03,10315691,9.18,260.6,1,Earth,2026-04-27T21:42:14Z
3762171,(2016 UY56),2026-05-03,10912295,14.54,96.8,0,Earth,2026-04-27T21:42:14Z
3126183,(2002 JR100),2026-05-03,12493153,6.14,82.0,0,Earth,2026-04-27T21:42:14Z
54562178,(2025 WK),2026-05-03,13596165,5.45,23.1,0,Earth,2026-04-27T21:42:14Z
54604521,(2026 DT14),2026-05-03,19048825,10.20,227.0,0,Earth,2026-04-27T21:42:14Z
54178996,(2021 PA3),2026-05-03,22800929,9.81,20.1,0,Earth,2026-04-27T21:42:14Z
54017014,(2020 JT1),2026-05-03,39620068,25.61,85.9,0,Earth,2026-04-27T21:42:14Z
3819554,(2018 HL1),2026-05-03,42181306,21.37,98.6,0,Earth,2026-04-27T21:42:14Z
54276734,(2022 HE3),2026-05-03,47530431,20.17,51.3,0,Earth,2026-04-27T21:42:14Z
54247854,(2016 FL60),2026-05-03,50097494,14.30,97.7,0,Earth,2026-04-27T21:42:14Z
54607630,(2026 DF27),2026-05-04,8942690,4.52,110.8,0,Earth,2026-04-27T21:42:14Z
3879533,(2019 UN4),2026-05-04,10512799,11.20,163.7,0,Earth,2026-04-27T21:42:14Z
2454101,454101 (2013 BP73),2026-05-04,10898357,21.10,483.1,1,Earth,2026-04-27T21:42:14Z
3819563,(2018 HV1),2026-05-04,14574383,17.72,142.6,0,Earth,2026-04-27T21:42:14Z
3603631,(2012 JR4),2026-05-04,23171997,8.67,94.2,0,Earth,2026-04-27T21:42:14Z
54542543,(2025 QX9),2026-05-04,25366398,3.47,27.5,0,Earth,2026-04-27T21:42:14Z
54323530,(2022 UA34),2026-05-04,27311657,7.00,101.9,0,Earth,2026-04-27T21:42:14Z
3841615,(2019 HK3),2026-05-04,41896719,11.75,68.2,0,Earth,2026-04-27T21:42:14Z
3022970,(1999 SG10),2026-05-04,46498997,29.47,418.8,1,Earth,2026-04-27T21:42:14Z
54329631,(2022 WK6),2026-05-04,51226000,8.60,130.0,0,Earth,2026-04-27T21:42:14Z
54320193,(2022 UG9),2026-05-04,64223364,7.70,70.8,0,Earth,2026-04-27T21:42:14Z
3773989,(2017 HH),2026-05-04,65092396,26.97,724.5,0,Earth,2026-04-27T21:42:14Z
3763475,(2016 VL3),2026-05-04,66535129,6.50,77.6,0,Earth,2026-04-27T21:42:14Z
54412462,(2023 XK),2026-05-04,68928729,17.86,54.5,0,Earth,2026-04-27T21:42:14Z
54017113,(2020 KJ1),2026-05-04,69322297,18.06,31.2,0,Earth,2026-04-27T21:42:14Z
