hub_code,hub_name,sector,lat,lon,date,solar_kwh_m2,temp_c,wind_m_s,precip_mm,rh_pct,captured_at
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-12,5.42,23.57,3.51,1.39,76.36,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-13,6.23,24.31,3.14,0.34,73.72,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-14,6.66,24.23,3.41,0.09,69.82,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-15,6.71,24.39,3.36,0.67,68.89,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-16,6.87,25.08,2.95,0.23,70.28,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-17,6.65,24.79,3.66,0.50,71.91,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-18,4.37,24.21,2.71,16.92,80.16,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-19,5.15,17.69,4.34,3.13,59.03,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-20,5.34,19.07,2.33,0.00,54.96,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-21,1.07,20.22,2.17,0.23,71.03,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-22,2.70,22.77,2.87,4.81,75.44,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-23,,23.20,3.09,6.24,80.29,2026-04-27T23:11:30Z
cam_lng,Cameron_LNG_LA,lng,29.800,-93.320,2026-04-24,,24.46,2.84,1.72,81.67,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-12,2.90,24.49,6.73,5.16,85.85,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-13,6.23,25.80,6.49,1.21,78.89,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-14,6.30,25.29,6.60,0.99,77.57,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-15,6.24,25.36,6.28,1.79,77.43,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-16,6.38,25.58,5.94,0.22,78.07,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-17,6.04,25.85,7.31,0.95,78.14,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-18,3.73,24.94,5.78,2.23,73.24,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-19,0.95,18.41,6.25,10.86,71.43,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-20,1.06,20.32,5.76,19.02,89.88,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-21,4.49,23.13,4.95,3.31,83.08,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-22,5.88,24.56,4.58,3.53,84.38,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-23,,25.11,5.05,1.48,83.14,2026-04-27T23:11:30Z
cor_lng,CorpusChristi_LNG_TX,lng,27.800,-97.400,2026-04-24,,25.85,3.98,1.67,83.52,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-12,3.23,23.48,5.17,8.14,87.12,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-13,6.52,24.45,4.63,1.04,82.70,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-14,6.07,24.36,4.97,0.60,79.51,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-15,6.80,24.49,4.81,0.61,80.39,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-16,6.58,24.82,4.53,0.69,81.62,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-17,6.32,24.56,5.39,1.50,82.47,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-18,4.06,23.83,3.61,12.46,83.47,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-19,1.60,18.26,5.86,1.39,69.17,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-20,2.99,20.99,4.51,0.57,67.92,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-21,2.64,21.62,4.50,3.61,80.22,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-22,5.73,23.35,3.27,6.06,85.55,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-23,,24.58,4.31,1.53,81.90,2026-04-27T23:11:30Z
fre_lng,Freeport_LNG_TX,lng,28.950,-95.360,2026-04-24,,25.33,3.81,1.32,82.61,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-12,0.79,17.58,8.44,7.86,93.37,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-13,4.14,20.85,7.51,1.93,88.10,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-14,6.10,21.28,4.38,4.32,82.87,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-15,4.72,18.48,3.95,19.87,88.72,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-16,6.89,18.13,4.13,0.01,68.94,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-17,3.40,16.03,8.46,3.52,78.18,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-18,7.26,5.58,7.30,0.00,49.44,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-19,6.92,7.60,4.78,0.00,55.49,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-20,7.07,11.47,5.85,0.00,60.23,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-21,6.96,19.42,6.09,1.37,64.46,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-22,6.92,19.20,5.95,0.02,77.90,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-23,,18.93,8.05,28.50,85.50,2026-04-27T23:11:30Z
iac_wind,CentralIowa_wind,wind,41.590,-93.620,2026-04-24,,12.44,4.33,0.00,64.63,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-12,7.06,22.02,5.46,0.21,40.83,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-13,6.93,21.93,5.41,0.00,22.75,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-14,6.25,22.18,5.30,0.00,24.66,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-15,6.66,18.45,3.48,0.00,28.08,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-16,7.39,21.03,6.00,0.00,18.79,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-17,7.04,13.53,7.32,0.00,29.57,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-18,7.44,10.77,3.87,0.00,22.97,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-19,7.54,15.96,5.13,0.00,15.90,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-20,7.39,20.32,7.01,0.34,23.62,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-21,7.49,22.99,6.27,0.00,41.04,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-22,7.30,21.77,8.33,0.52,57.63,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-23,,20.52,5.26,0.00,26.01,2026-04-27T23:11:30Z
kss_wind,WesternKansas_wind,wind,38.380,-100.540,2026-04-24,,17.95,4.87,0.00,27.32,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-12,5.77,15.96,6.12,0.00,38.60,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-13,4.57,14.56,3.28,0.01,31.29,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-14,7.38,16.27,1.74,0.00,30.38,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-15,7.58,19.13,3.13,0.00,20.70,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-16,7.04,19.41,5.15,0.00,25.62,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-17,7.77,13.06,6.29,0.00,12.62,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-18,7.45,17.01,2.38,0.00,12.08,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-19,5.08,21.06,2.36,0.00,13.34,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-20,7.69,23.20,4.08,0.00,18.21,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-21,7.83,21.10,6.73,0.00,24.26,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-22,7.88,17.29,3.93,0.00,31.25,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-23,,17.81,2.16,0.00,18.56,2026-04-27T23:11:30Z
lvg_solar,LasVegas_solar_NV,solar,36.170,-115.140,2026-04-24,,19.20,3.24,0.00,15.40,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-12,6.31,11.75,5.93,1.84,60.31,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-13,4.10,10.73,4.56,0.25,59.39,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-14,7.55,13.90,2.89,0.00,49.64,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-15,7.58,16.40,3.53,0.00,44.62,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-16,7.11,15.90,5.27,0.00,47.40,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-17,7.78,13.16,4.41,0.00,19.79,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-18,7.73,16.37,2.80,0.00,12.17,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-19,7.42,19.41,2.28,0.00,21.99,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-20,7.85,18.08,3.76,0.00,36.68,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-21,6.98,13.65,6.27,0.20,53.52,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-22,7.77,13.04,4.66,0.00,50.62,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-23,,15.43,2.34,0.00,34.94,2026-04-27T23:11:30Z
moja_solar,Mojave_solar_CA,solar,35.010,-117.290,2026-04-24,,16.23,4.18,0.00,39.09,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-12,6.64,21.94,8.12,21.14,80.50,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-13,6.76,24.46,9.14,1.72,74.27,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-14,5.03,23.20,8.16,12.16,80.78,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-15,4.65,22.05,7.21,1.97,84.83,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-16,7.18,23.39,6.10,1.40,72.63,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-17,2.68,21.38,8.08,8.46,80.24,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-18,7.57,12.57,6.28,0.01,42.54,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-19,7.60,14.78,4.34,0.00,40.53,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-20,6.68,16.83,5.89,0.00,44.17,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-21,2.73,16.21,6.41,0.57,73.03,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-22,2.46,17.53,6.11,1.17,85.85,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-23,,22.01,9.68,1.76,82.09,2026-04-27T23:11:30Z
oks_wind,OklahomaCity_wind,wind,35.460,-97.520,2026-04-24,,20.69,4.03,4.87,87.37,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-12,7.14,21.12,6.70,0.00,41.73,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-13,7.24,22.09,7.44,0.00,23.89,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-14,4.23,21.70,7.69,0.00,28.60,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-15,7.53,19.66,4.74,0.00,20.17,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-16,7.55,21.22,6.76,0.00,15.24,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-17,6.44,21.72,8.33,0.01,34.41,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-18,7.74,11.27,4.68,0.00,23.74,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-19,7.75,14.43,5.86,0.00,18.31,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-20,7.21,16.14,6.71,0.65,46.55,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-21,7.48,19.85,5.36,0.88,55.17,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-22,6.39,22.92,6.22,0.02,43.69,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-23,,23.34,7.79,0.00,12.92,2026-04-27T23:11:30Z
pan_wind,Panhandle_wind_TX,wind,35.220,-101.830,2026-04-24,,20.26,2.85,0.00,20.55,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-12,7.30,21.52,3.86,0.10,52.23,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-13,6.74,23.19,5.23,0.34,41.36,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-14,4.11,22.67,4.99,0.94,57.83,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-15,6.96,22.76,3.52,0.07,35.91,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-16,6.68,23.54,4.13,1.09,42.47,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-17,6.51,25.46,5.62,0.11,39.07,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-18,7.25,16.42,7.17,0.11,22.34,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-19,5.51,14.81,5.25,0.14,27.53,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-20,4.13,15.18,5.48,1.09,61.00,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-21,7.53,19.63,4.06,0.57,62.55,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-22,7.06,23.93,4.72,0.26,50.23,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-23,,25.55,6.44,0.00,36.77,2026-04-27T23:11:30Z
perm_solar,Permian_solar_TX,solar,31.870,-102.340,2026-04-24,,25.33,4.15,0.00,13.33,2026-04-27T23:11:30Z
phx_solar,Phoenix_solar_AZ,solar,33.450,-112.070,2026-04-12,4.29,21.88,3.90,0.00,28.88,2026-04-27T23:11:30Z
phx_solar,Phoenix_solar_AZ,solar,33.450,-112.070,2026-04-13,5.63,20.10,3.72,0.02,36.55,2026-04-27T23:11:30Z
phx_solar,Phoenix_solar_AZ,solar,33.450,-112.070,2026-04-14,7.62,19.12,1.90,0.00,28.48,2026-04-27T23:11:30Z
phx_solar,Phoenix_solar_AZ,solar,33.450,-112.070,2026-04-15,7.73,21.96,1.63,0.00,18.70,2026-04-27T23:11:30Z
phx_solar,Phoenix_solar_AZ,solar,33.450,-112.070,2026-04-16,6.04,22.60,2.59,0.00,15.22,2026-04-27T23:11:30Z
