filed_utc,paper_id,kind,title,authors,link,summary
2026-04-27T22:57:46Z,w35123,finance,Understanding Firms' AI Efforts and Their Economic Impact,Tania Babina,https://www.nber.org/papers/w35123#fromrss,"This paper reviews firm-level data on artificial intelligence and the emerging evidence on AI's economic effects. It argues that measurement is central: different AI datasets capture different objects (including invention versus use, internal capability building versus outsourcing, and realized activity versus investor perceptions) and can therefore lead to different conclusions. The paper develop"
2026-04-27T22:57:46Z,w35122,finance,Risky Insurance: Life-Cycle Insurance Portfolio Choice with Incomplete Markets,"Joseph S. Briggs, Ciaran Rogers, Christopher Tonetti",https://www.nber.org/papers/w35122#fromrss,"We study consumer demand for savings, life insurance, annuities, and long-term care insurance using novel survey data and a structural life-cycle model. We document that individuals perceive substantial insurance nonpayment risk, and these beliefs predict ownership. Embedding elicited beliefs into an incomplete-markets model alongside additional real-world insurance features, we match empirical pa"
2026-04-27T22:57:46Z,w35121,fiscal,Comparative Advantage and Colonial Monopoly: The Political Economy of Exclusive Trading Companies,"Sebastian Galiani, Ivan Lopez Cruz, Alessandra A. Palazzo, Gustavo Torrens",https://www.nber.org/papers/w35121#fromrss,This paper analyzes a central colonial institution: the monopolization of foreign trade through exclusive trading companies. We interpret this arrangement as an economic institution that creates a wedge between domestic and international prices—effectively an export tax—allowing metropolitan intermediaries to extract rents from colonial trade. Our primary theoretical contribution demonstrates that
2026-04-27T22:57:46Z,w35120,demography,Hysteresis and Selection in the Rise of Fascism: The ‘Ordinary Men’ of the Nazi Party,"Luis Bosshart, Max Deter, Leander Heldring, Cathrin C. Mohr, Matthias Weigand",https://www.nber.org/papers/w35120#fromrss,"We digitize and analyze the near-universe of National Socialist German Workers’ Party (NSDAP) membership records and link them to population and industrial censuses. Four findings emerge. First, as the party expanded, its membership came to resemble the broader population more closely in occupational, demographic, and religious terms. Second, SS members’ characteristics remained different: younger"
2026-04-27T22:57:46Z,w35119,industrial_org,How Reform Happens,"Simeon Djankov, Edward L. Glaeser, Andrei Shleifer",https://www.nber.org/papers/w35119#fromrss,"What determines whether and how regulations are reformed? We use a newly constructed data set of 3,590 successful and failed regulatory reforms in 189 countries, between 2005 and 2022, to address this question. We document that regulations have become more business friendly in some regulatory domains but not others. We also show that regulations are more business friendly in richer than in poorer "
2026-04-27T22:57:46Z,w35118,labor,Gender-Specific Economic Shocks and Household Bargaining Power,"Rania Gihleb, Osea Giuntella, Dor Morag",https://www.nber.org/papers/w35118#fromrss,"Using machine learning and product-level data on single men’s and single women’s consumption patterns, we develop an index that quantifies the “gendered” nature of consumer goods. We use the index to investigate how gender-specific labor market shocks influence spending patterns within heterosexual households. Our findings reveal that industrial robot adoption, which worsened men’s relative econom"
2026-04-27T22:57:46Z,w35117,labor,Does Employment Slow Cognitive Decline? Evidence from Labor Market Shocks,"Noah Arman Kouchekinia, David Neumark, Tim A. Bruckner",https://www.nber.org/papers/w35117#fromrss,"With large gains in life expectancy, the population share of disability due to cognitive decline and dementia has substantially increased. Many older adults in the United States leave the workforce well before age 65. Correlational evidence suggests that leaving the workforce before retirement age could accelerate the pace of cognitive decline. We offer causal evidence, using HRS data for the Unit"
2026-04-27T22:57:46Z,w35116,environment,Hedging Ambiguity with Pro-Social Preferences: an Illustration from Green Finance,"Geoffrey Heal, Marcella Lucchetta",https://www.nber.org/papers/w35116#fromrss,"We explore how pro-social preferences interact with asymmetric ambiguity to influence investment decisions. We develop a model where financial returns are ambiguous (e.g., due to policy uncertainties), while social impact returns are risky or less ambiguous. Employing Gilboa-Schmeidler maxmin and Klibanoff-Marinacci-Mukerji smooth ambiguity frameworks, we demonstrate that pro-social motives act as"
2026-04-27T22:57:46Z,w35115,environment,On the Resilience of Payment Methods,"Fernando E. Alvarez, David Argente, Diana Van Patten",https://www.nber.org/papers/w35115#fromrss,"We study the resilience of payment systems to large disruptions in digital infrastructure caused by natural disasters and outages. While advanced economies have rapidly shifted toward electronic payments, these systems depend critically on electricity and information technology, raising concerns about their reliability during crises. We combine high-frequency county-level electricity outage data w"
2026-04-27T22:57:46Z,w35114,press,Intermediate Input Prices and the Labor Share,"Juanma Castro-Vincenzi, Benny Kleinman",https://www.nber.org/papers/w35114#fromrss,"We argue that the relative price of materials is an important determinant of the labor share of income. When materials and primary inputs are complements and the profit share is positive, a higher price of materials lowers the labor share and raises the profit share of value added, without requiring markups or returns to scale to change. We show that materials-price fluctuations align with U.S. la"
2026-04-27T22:57:46Z,w35113,housing,"A Blended Data Approach to Measuring Monthly Housing Starts: Satellite Imagery, Survey Data and More!","Nicole Czaplicki, Colin J. Shevlin, Hector R. Ferronato, Aidan D. Smith, Dwarakh V. Nayam, Lei Peng, Scott W. Springer, Doren Walker",https://www.nber.org/papers/w35113#fromrss,"As part of the comprehensive Construction Re-engineering Initiative at the U.S. Census Bureau, alternative data sources are being considered to supplement or replace current data collection methods. For the Survey of Construction (SOC), which measures new residential construction, this includes observing housing starts from satellite imagery in place of the current interviews for housing starts co"
2026-04-27T22:57:46Z,w35112,press,The Effect of Choice Screens on Mobile Browser Usage: Evidence from the EU Digital Markets Act,"Jesper Akesson, Kush Amlani, Raul Cepeda Suarez, Emily Chissell, Stefan Hunt, Michael Luca, Gemma Petrie",https://www.nber.org/papers/w35112#fromrss,"Can active choice mitigate the effects of preset defaults? We study this question using a difference-in-differences design around the rollout of the EU’s Digital Markets Act, which required iOS and Android to display browser choice screens under certain conditions. We find large effects, with notable differences across platforms: from 15 months after the mandate onward, Firefox usage was 113 perce"
2026-04-27T22:57:46Z,w35111,fiscal,The Welfare Effects of Protecting Older Workers,"Todd Morris, Stefan Staubli, Benoit Dostie",https://www.nber.org/papers/w35111#fromrss,"We evaluate the welfare effects of five provincial mandatory retirement bans in Canada from 2005 to 2009 using linked employer-employee tax data. The bans sharply reduce retirements at age 65, with sizable announcement effects and heterogeneity across industries. Post-65 employment and earnings rise at least 14%, with gains comparable to a two-year increase in pension-eligibility ages. Older worke"
