friday,nfci,anfci,risk,credit,leverage,nonfin_leverage,captured_at
2024-04-26,-0.418,-0.458,-0.422,-0.016,-0.201,-0.830,2026-04-27T23:06:53Z
2024-05-03,-0.418,-0.461,-0.416,-0.019,-0.204,-0.829,2026-04-27T23:06:53Z
2024-05-10,-0.419,-0.466,-0.412,-0.022,-0.200,-0.829,2026-04-27T23:06:53Z
2024-05-17,-0.419,-0.467,-0.409,-0.024,-0.191,-0.829,2026-04-27T23:06:53Z
2024-05-24,-0.418,-0.462,-0.407,-0.025,-0.176,-0.828,2026-04-27T23:06:53Z
2024-05-31,-0.415,-0.449,-0.404,-0.025,-0.156,-0.828,2026-04-27T23:06:53Z
2024-06-07,-0.409,-0.431,-0.400,-0.024,-0.133,-0.828,2026-04-27T23:06:53Z
2024-06-14,-0.402,-0.413,-0.394,-0.021,-0.111,-0.828,2026-04-27T23:06:53Z
2024-06-21,-0.394,-0.400,-0.388,-0.018,-0.090,-0.828,2026-04-27T23:06:53Z
2024-06-28,-0.387,-0.391,-0.381,-0.015,-0.077,-0.828,2026-04-27T23:06:53Z
2024-07-05,-0.382,-0.386,-0.374,-0.012,-0.070,-0.828,2026-04-27T23:06:53Z
2024-07-12,-0.377,-0.380,-0.367,-0.009,-0.071,-0.829,2026-04-27T23:06:53Z
2024-07-19,-0.372,-0.374,-0.360,-0.007,-0.082,-0.830,2026-04-27T23:06:53Z
2024-07-26,-0.368,-0.367,-0.355,-0.004,-0.099,-0.831,2026-04-27T23:06:53Z
2024-08-02,-0.366,-0.364,-0.353,-0.003,-0.123,-0.833,2026-04-27T23:06:53Z
2024-08-09,-0.368,-0.368,-0.354,-0.003,-0.153,-0.835,2026-04-27T23:06:53Z
2024-08-16,-0.376,-0.383,-0.362,-0.005,-0.186,-0.837,2026-04-27T23:06:53Z
2024-08-23,-0.386,-0.403,-0.371,-0.008,-0.220,-0.839,2026-04-27T23:06:53Z
2024-08-30,-0.398,-0.425,-0.382,-0.013,-0.253,-0.842,2026-04-27T23:06:53Z
2024-09-06,-0.409,-0.446,-0.392,-0.018,-0.283,-0.844,2026-04-27T23:06:53Z
2024-09-13,-0.419,-0.463,-0.401,-0.025,-0.308,-0.847,2026-04-27T23:06:53Z
2024-09-20,-0.427,-0.475,-0.406,-0.032,-0.327,-0.849,2026-04-27T23:06:53Z
2024-09-27,-0.433,-0.484,-0.410,-0.040,-0.338,-0.851,2026-04-27T23:06:53Z
2024-10-04,-0.437,-0.493,-0.412,-0.048,-0.342,-0.852,2026-04-27T23:06:53Z
2024-10-11,-0.441,-0.501,-0.413,-0.056,-0.339,-0.852,2026-04-27T23:06:53Z
2024-10-18,-0.445,-0.510,-0.416,-0.063,-0.328,-0.852,2026-04-27T23:06:53Z
2024-10-25,-0.450,-0.519,-0.421,-0.070,-0.312,-0.851,2026-04-27T23:06:53Z
2024-11-01,-0.456,-0.529,-0.428,-0.076,-0.292,-0.848,2026-04-27T23:06:53Z
2024-11-08,-0.464,-0.539,-0.438,-0.081,-0.270,-0.844,2026-04-27T23:06:53Z
2024-11-15,-0.471,-0.546,-0.449,-0.084,-0.249,-0.839,2026-04-27T23:06:53Z
2024-11-22,-0.476,-0.548,-0.458,-0.085,-0.233,-0.833,2026-04-27T23:06:53Z
2024-11-29,-0.479,-0.545,-0.467,-0.085,-0.222,-0.825,2026-04-27T23:06:53Z
2024-12-06,-0.481,-0.538,-0.474,-0.083,-0.219,-0.816,2026-04-27T23:06:53Z
2024-12-13,-0.483,-0.529,-0.481,-0.081,-0.225,-0.807,2026-04-27T23:06:53Z
2024-12-20,-0.484,-0.522,-0.486,-0.078,-0.241,-0.796,2026-04-27T23:06:53Z
2024-12-27,-0.488,-0.521,-0.492,-0.077,-0.265,-0.785,2026-04-27T23:06:53Z
2025-01-03,-0.493,-0.525,-0.498,-0.075,-0.295,-0.773,2026-04-27T23:06:53Z
2025-01-10,-0.499,-0.530,-0.504,-0.075,-0.329,-0.761,2026-04-27T23:06:53Z
2025-01-17,-0.504,-0.533,-0.507,-0.075,-0.365,-0.750,2026-04-27T23:06:53Z
2025-01-24,-0.509,-0.531,-0.511,-0.074,-0.399,-0.738,2026-04-27T23:06:53Z
2025-01-31,-0.512,-0.522,-0.512,-0.072,-0.429,-0.727,2026-04-27T23:06:53Z
2025-02-07,-0.511,-0.505,-0.510,-0.069,-0.452,-0.717,2026-04-27T23:06:53Z
2025-02-14,-0.507,-0.487,-0.506,-0.063,-0.468,-0.707,2026-04-27T23:06:53Z
2025-02-21,-0.497,-0.470,-0.497,-0.055,-0.476,-0.698,2026-04-27T23:06:53Z
2025-02-28,-0.484,-0.457,-0.485,-0.044,-0.477,-0.690,2026-04-27T23:06:53Z
2025-03-07,-0.467,-0.448,-0.470,-0.032,-0.472,-0.682,2026-04-27T23:06:53Z
2025-03-14,-0.449,-0.440,-0.453,-0.019,-0.462,-0.676,2026-04-27T23:06:53Z
2025-03-21,-0.431,-0.431,-0.436,-0.008,-0.451,-0.670,2026-04-27T23:06:53Z
2025-03-28,-0.414,-0.418,-0.419,+0.002,-0.439,-0.665,2026-04-27T23:06:53Z
2025-04-04,-0.400,-0.403,-0.405,+0.008,-0.428,-0.660,2026-04-27T23:06:53Z
2025-04-11,-0.389,-0.391,-0.394,+0.012,-0.421,-0.656,2026-04-27T23:06:53Z
2025-04-18,-0.389,-0.392,-0.394,+0.012,-0.419,-0.652,2026-04-27T23:06:53Z
2025-04-25,-0.396,-0.403,-0.399,+0.008,-0.421,-0.649,2026-04-27T23:06:53Z
2025-05-02,-0.409,-0.425,-0.411,+0.002,-0.429,-0.645,2026-04-27T23:06:53Z
2025-05-09,-0.426,-0.451,-0.426,-0.007,-0.442,-0.642,2026-04-27T23:06:53Z
2025-05-16,-0.444,-0.473,-0.443,-0.016,-0.458,-0.639,2026-04-27T23:06:53Z
2025-05-23,-0.458,-0.485,-0.459,-0.024,-0.476,-0.636,2026-04-27T23:06:53Z
2025-05-30,-0.470,-0.491,-0.473,-0.031,-0.494,-0.632,2026-04-27T23:06:53Z
2025-06-06,-0.479,-0.493,-0.485,-0.037,-0.512,-0.629,2026-04-27T23:06:53Z
2025-06-13,-0.487,-0.496,-0.496,-0.041,-0.529,-0.625,2026-04-27T23:06:53Z
2025-06-20,-0.493,-0.503,-0.505,-0.044,-0.543,-0.621,2026-04-27T23:06:53Z
2025-06-27,-0.500,-0.514,-0.514,-0.046,-0.553,-0.616,2026-04-27T23:06:53Z
2025-07-04,-0.507,-0.525,-0.522,-0.049,-0.558,-0.612,2026-04-27T23:06:53Z
2025-07-11,-0.513,-0.534,-0.530,-0.051,-0.559,-0.607,2026-04-27T23:06:53Z
2025-07-18,-0.518,-0.540,-0.537,-0.053,-0.553,-0.602,2026-04-27T23:06:53Z
2025-07-25,-0.522,-0.544,-0.544,-0.055,-0.543,-0.596,2026-04-27T23:06:53Z
2025-08-01,-0.525,-0.547,-0.550,-0.056,-0.529,-0.591,2026-04-27T23:06:53Z
2025-08-08,-0.527,-0.551,-0.554,-0.057,-0.512,-0.585,2026-04-27T23:06:53Z
2025-08-15,-0.529,-0.556,-0.559,-0.057,-0.492,-0.579,2026-04-27T23:06:53Z
2025-08-22,-0.530,-0.557,-0.563,-0.056,-0.470,-0.573,2026-04-27T23:06:53Z
2025-08-29,-0.531,-0.557,-0.567,-0.055,-0.447,-0.567,2026-04-27T23:06:53Z
2025-09-05,-0.531,-0.555,-0.570,-0.053,-0.422,-0.561,2026-04-27T23:06:53Z
2025-09-12,-0.531,-0.555,-0.573,-0.051,-0.395,-0.555,2026-04-27T23:06:53Z
2025-09-19,-0.530,-0.557,-0.574,-0.049,-0.366,-0.549,2026-04-27T23:06:53Z
2025-09-26,-0.529,-0.561,-0.576,-0.047,-0.334,-0.543,2026-04-27T23:06:53Z
2025-10-03,-0.527,-0.566,-0.577,-0.045,-0.300,-0.537,2026-04-27T23:06:53Z
2025-10-10,-0.525,-0.568,-0.578,-0.043,-0.266,-0.531,2026-04-27T23:06:53Z
2025-10-17,-0.522,-0.565,-0.577,-0.041,-0.232,-0.525,2026-04-27T23:06:53Z
2025-10-24,-0.519,-0.559,-0.578,-0.037,-0.200,-0.519,2026-04-27T23:06:53Z
2025-10-31,-0.515,-0.552,-0.578,-0.033,-0.170,-0.514,2026-04-27T23:06:53Z
2025-11-07,-0.512,-0.546,-0.579,-0.029,-0.144,-0.509,2026-04-27T23:06:53Z
2025-11-14,-0.510,-0.541,-0.582,-0.024,-0.124,-0.503,2026-04-27T23:06:53Z
2025-11-21,-0.509,-0.535,-0.586,-0.019,-0.109,-0.498,2026-04-27T23:06:53Z
2025-11-28,-0.510,-0.530,-0.592,-0.016,-0.099,-0.494,2026-04-27T23:06:53Z
2025-12-05,-0.513,-0.523,-0.600,-0.014,-0.093,-0.489,2026-04-27T23:06:53Z
2025-12-12,-0.518,-0.517,-0.608,-0.014,-0.090,-0.485,2026-04-27T23:06:53Z
2025-12-19,-0.526,-0.517,-0.619,-0.017,-0.087,-0.481,2026-04-27T23:06:53Z
2025-12-26,-0.537,-0.522,-0.631,-0.022,-0.085,-0.476,2026-04-27T23:06:53Z
2026-01-02,-0.548,-0.530,-0.641,-0.028,-0.081,-0.472,2026-04-27T23:06:53Z
2026-01-09,-0.558,-0.536,-0.650,-0.034,-0.074,-0.469,2026-04-27T23:06:53Z
2026-01-16,-0.565,-0.539,-0.654,-0.039,-0.066,-0.465,2026-04-27T23:06:53Z
2026-01-23,-0.566,-0.536,-0.654,-0.042,-0.055,-0.461,2026-04-27T23:06:53Z
2026-01-30,-0.561,-0.527,-0.647,-0.042,-0.043,-0.457,2026-04-27T23:06:53Z
2026-02-06,-0.553,-0.515,-0.637,-0.038,-0.030,-0.454,2026-04-27T23:06:53Z
2026-02-13,-0.540,-0.501,-0.622,-0.032,-0.017,-0.450,2026-04-27T23:06:53Z
2026-02-20,-0.523,-0.484,-0.603,-0.024,-0.003,-0.446,2026-04-27T23:06:53Z
2026-02-27,-0.505,-0.465,-0.583,-0.016,+0.010,-0.443,2026-04-27T23:06:53Z
2026-03-06,-0.486,-0.443,-0.562,-0.009,+0.023,-0.439,2026-04-27T23:06:53Z
2026-03-13,-0.470,-0.423,-0.543,-0.004,+0.035,-0.435,2026-04-27T23:06:53Z
2026-03-20,-0.461,-0.412,-0.531,-0.003,+0.046,-0.432,2026-04-27T23:06:53Z
2026-03-27,-0.459,-0.411,-0.525,-0.005,+0.057,-0.428,2026-04-27T23:06:53Z
2026-04-03,-0.466,-0.425,-0.527,-0.011,+0.067,-0.424,2026-04-27T23:06:53Z
2026-04-10,-0.479,-0.448,-0.536,-0.019,+0.076,-0.421,2026-04-27T23:06:53Z
2026-04-17,-0.497,-0.474,-0.549,-0.029,+0.084,-0.417,2026-04-27T23:06:53Z
