package,category,downloads_7d,downloads_30d,ratio_7d_to_baseline,captured_at
ai,ai_framework,11880060,45635454,1.116,2026-04-27T22:49:23Z
@langchain/core,ai_framework,3774644,15030901,1.076,2026-04-27T22:49:23Z
langchain,ai_framework,2075623,8847340,1.005,2026-04-27T22:49:23Z
llamaindex,ai_framework,137923,550196,1.074,2026-04-27T22:49:23Z
openai,ai_model,19316762,72662888,1.139,2026-04-27T22:49:23Z
@anthropic-ai/sdk,ai_model,15421245,58083867,1.138,2026-04-27T22:49:23Z
@google/generative-ai,ai_model,2757151,10876681,1.086,2026-04-27T22:49:23Z
esbuild,build_tool,211103999,762764895,1.186,2026-04-27T22:49:23Z
vite,build_tool,114264690,418828751,1.169,2026-04-27T22:49:23Z
rollup,build_tool,111065444,413938036,1.150,2026-04-27T22:49:23Z
webpack,build_tool,44493877,179022769,1.065,2026-04-27T22:49:23Z
viem,crypto_dev,3553128,13582733,1.121,2026-04-27T22:49:23Z
ethers,crypto_dev,3012360,12222810,1.056,2026-04-27T22:49:23Z
@solana/web3.js,crypto_dev,1553791,6187550,1.076,2026-04-27T22:49:23Z
web3,crypto_dev,762809,3126668,1.046,2026-04-27T22:49:23Z
@supabase/supabase-js,database,20159295,75666632,1.142,2026-04-27T22:49:23Z
prisma,database,10272536,40680704,1.082,2026-04-27T22:49:23Z
drizzle-orm,database,7772512,30216601,1.102,2026-04-27T22:49:23Z
mongoose,database,4903188,19642517,1.070,2026-04-27T22:49:23Z
react,frontend,130209121,508183650,1.098,2026-04-27T22:49:23Z
vue,frontend,11242148,45519712,1.058,2026-04-27T22:49:23Z
@angular/core,frontend,5162592,20533398,1.078,2026-04-27T22:49:23Z
svelte,frontend,3980383,17419783,0.979,2026-04-27T22:49:23Z
solid-js,frontend,1995572,7871964,1.086,2026-04-27T22:49:23Z
next,meta_framework,36660402,159407012,0.986,2026-04-27T22:49:23Z
astro,meta_framework,2311056,8627529,1.148,2026-04-27T22:49:23Z
nuxt,meta_framework,1367205,5610732,1.044,2026-04-27T22:49:23Z
gatsby,meta_framework,316379,1337638,1.014,2026-04-27T22:49:23Z
remix,meta_framework,12091,67460,0.768,2026-04-27T22:49:23Z
@sentry/node,observability,19534606,73412060,1.140,2026-04-27T22:49:23Z
dd-trace,observability,6798952,26118991,1.116,2026-04-27T22:49:23Z
pnpm,pkg_manager,73958161,282211714,1.123,2026-04-27T22:49:23Z
yarn,pkg_manager,8614319,36196796,1.020,2026-04-27T22:49:23Z
typescript,runtime,184725328,717516250,1.103,2026-04-27T22:49:23Z
tsx,runtime,46019701,164453115,1.199,2026-04-27T22:49:23Z
ts-node,runtime,42270413,171763430,1.055,2026-04-27T22:49:23Z
eslint,tooling,130531963,509600532,1.098,2026-04-27T22:49:23Z
vitest,tooling,53570411,196950077,1.166,2026-04-27T22:49:23Z
playwright,tooling,46943737,194765130,1.033,2026-04-27T22:49:23Z
