as_of_date,bills_usd,notesbonds_usd,tips_usd,tips_infl_comp_usd,frn_usd,mbs_usd,cmbs_usd,agencies_usd,total_usd,wow_change_usd,yoy_change_pct,captured_at
2026-04-22,425213926700,3602253322400,275768943500,100618056321,16412388300,1985616303800,7660059489,2347000000,6315271944189,+9443697684,0.24,2026-04-27T23:08:52Z
2026-04-15,412568926700,3602253322400,275768943500,100205190608,16412388300,1988805939370,7671726235,2347000000,6305828246505,+3417532739,0.08,2026-04-27T23:08:52Z
2026-04-08,412568926700,3583733004300,290669115800,103395460587,16412388300,1989008552431,7671726235,2347000000,6302410713766,+16142000000,0.03,2026-04-27T23:08:52Z
2026-04-01,396426926700,3583733004300,290669115800,102962868803,16412388300,1989008552431,7671726235,2347000000,6286268713766,+14797000000,,2026-04-27T23:08:52Z
2026-03-25,381629926700,3585696264400,288705855700,102619789740,16412388300,1989008552431,7671726235,2347000000,6271471713766,+2452392415,-0.99,2026-04-27T23:08:52Z
2026-03-18,365487926700,3585696264400,288705855700,102294226184,16412388300,2002687420992,7682465258,2347000000,6269019321350,+6678015498,-1.12,2026-04-27T23:08:52Z
2026-03-11,358761926700,3585696264400,288705855700,101968355865,16412388300,2002731040862,7686829890,2347000000,6262341305852,+14686000000,-1.22,2026-04-27T23:08:52Z
2026-03-04,344075926700,3585696264400,288705855700,101642647816,16412388300,2002731040862,7686829890,2347000000,6247655305852,+14760000000,,2026-04-27T23:08:52Z
2026-02-25,329315926700,3585696264400,288705855700,101465575185,16412388300,2002731040862,7686829890,2347000000,6232895305852,+2710938176,-2.07,2026-04-27T23:08:52Z
2026-02-18,313295926700,3585696264400,288705855700,101485662085,16412388300,2016025326940,7701605636,2347000000,6230184367676,+8027914314,-2.34,2026-04-27T23:08:52Z
2026-02-11,305284926700,3585696264400,288705855700,101506137425,16412388300,2016004496066,7705522196,2347000000,6222156453362,+16608000000,-2.46,2026-04-27T23:08:52Z
2026-02-04,288676926700,3585696264400,288705855700,101526669446,16412388300,2016004496066,7705522196,2347000000,6205548453362,+15225000001,,2026-04-27T23:08:52Z
2026-01-28,273451926700,3587810287700,288705855700,101710935611,14298365000,2016004496066,7705522195,2347000000,6190323453361,+3094101652,-3.28,2026-04-27T23:08:52Z
2026-01-21,258227926700,3587810287700,288705855700,102113865631,14298365000,2028094389619,7745526990,2347000000,6187229351709,+16192201992,-3.38,2026-04-27T23:08:52Z
2026-01-14,249921926700,3553172344200,312273954100,113586876244,14298365000,2031271929825,7751629892,2347000000,6171037149717,+8165000000,-3.70,2026-04-27T23:08:52Z
2026-01-07,241756926700,3553172344200,312273954100,114024929543,14298365000,2031271929825,7751629892,2347000000,6162872149717,+8165000000,,2026-04-27T23:08:52Z
2025-12-31,233591926700,3553172344200,312273954100,114463989084,14298365000,2031271929825,7751629892,2347000000,6154707149717,-11550985974,-3.96,2026-04-27T23:08:52Z
2025-12-24,233591926700,3555730144900,309716153400,114243935241,14298365000,2042736862234,7837683457,2347000000,6166258135691,+20229157421,-4.23,2026-04-27T23:08:52Z
2025-12-17,210460926700,3555730144900,309716153400,113973762966,14298365000,2045638704813,7837683457,2347000000,6146028978270,+14779085628,-4.70,2026-04-27T23:08:52Z
2025-12-10,195492926700,3555730144900,309716153400,113737279848,14298365000,2045824659652,7840642989,2347000000,6131249892641,+0,-4.93,2026-04-27T23:08:52Z
2025-12-03,195492926700,3555730144900,309716153400,113500974592,14298365000,2045824659652,7840642989,2347000000,6131249892641,-2694617800,,2026-04-27T23:08:52Z
2025-11-26,195492926700,3558424762700,309716153400,113292460106,14298365000,2045824659652,7840642989,2347000000,6133944510441,-16241440004,-5.19,2026-04-27T23:08:52Z
2025-11-19,195492926700,3558424762700,309716153400,113006371280,14298365000,2062040358225,7866384421,2347000000,6150185950446,-2361484914,-5.25,2026-04-27T23:08:52Z
2025-11-12,195492926700,3560730145000,309716153400,112755737592,14298365000,2062093057415,7869787845,2347000000,6152547435360,+0,-5.21,2026-04-27T23:08:52Z
2025-11-05,195492926700,3560730145000,309716153400,112505175323,14298365000,2062093057415,7869787845,2347000000,6152547435360,-4262795500,,2026-04-27T23:08:52Z
2025-10-29,195492926700,3568233575000,308198180300,112238701908,12575703600,2062093057415,7869787845,2347000000,6156810230860,-12642851235,-5.59,2026-04-27T23:08:52Z
2025-10-22,195492926700,3568233575000,308198180300,111966546576,12575703600,2074717007000,7888689495,2347000000,6169453082095,-3465274984,-5.45,2026-04-27T23:08:52Z
2025-10-15,195492926700,3568308575000,308198180300,111694543080,12575703600,2078105457242,7890514236,2347000000,6172918357079,-81354990,-5.49,2026-04-27T23:08:52Z
2025-10-08,195492926700,3566099541800,310501343000,111989058547,12575703600,2078092682732,7890514236,2347000000,6172999712068,+0,-5.49,2026-04-27T23:08:52Z
2025-10-01,195492926700,3566099541800,310501343000,111715428255,12575703600,2078092682732,7890514236,2347000000,6172999712068,-18231480207,,2026-04-27T23:08:52Z
2025-09-24,195492926700,3572148691000,309452193800,111542913513,12575703600,2091317008393,7897668782,2347000000,6191231192276,-3568402701,-5.75,2026-04-27T23:08:52Z
2025-09-17,195492926700,3572148691000,309452193800,111394691870,12575703600,2094885411094,7897668782,2347000000,6194799594976,-63197266,-5.77,2026-04-27T23:08:52Z
2025-09-10,195492926700,3572148691000,309452193800,111246569362,12575703600,2094945324575,7900952567,2347000000,6194862792242,-50000000,-5.77,2026-04-27T23:08:52Z
2025-09-03,195492926700,3572198691000,309452193800,111098305948,12575703600,2094945324575,7900952567,2347000000,6194912792242,-1782467900,,2026-04-27T23:08:52Z
2025-08-27,195492926700,3574006158900,309427193800,110849165849,12575703600,2094945324575,7900952567,2347000000,6196695260142,-13843204321,-6.09,2026-04-27T23:08:52Z
2025-08-20,195492926700,3573931158900,309427193800,110526469145,12575703600,2108857238065,7907243398,2347000000,6210538464464,-7033861793,-6.15,2026-04-27T23:08:52Z
2025-08-13,195492926700,3577123691100,309427193800,110203822662,12575703600,2112688966391,7916844665,2347000000,6217572326256,-66271994,-6.04,2026-04-27T23:08:52Z
2025-08-06,195492926700,3577123691100,309427193800,109881434226,12575703600,2112755238385,7916844665,2347000000,6217638598250,-2721618400,,2026-04-27T23:08:52Z
2025-07-30,195492926700,3583318204600,307997178200,109575068531,10532824100,2112755238385,7916844665,2347000000,6220360216650,-14111591997,-6.34,2026-04-27T23:08:52Z
2025-07-23,195492926700,3583318204600,307997178200,109378701927,10532824100,2126855880618,7927794430,2347000000,6234471808647,-3642700672,-6.18,2026-04-27T23:08:52Z
2025-07-16,195492926700,3583318204600,307997178200,109181976459,10532824100,2130498581290,7927794430,2347000000,6238114509320,+571674541,-6.30,2026-04-27T23:08:52Z
2025-07-09,195417926700,3574718389600,316031178200,111826106190,10532824100,2130562970558,7932545620,2347000000,6237542834779,+0,-6.31,2026-04-27T23:08:52Z
2025-07-02,195417926700,3574718389600,316031178200,111624468638,10532824100,2130562970558,7932545620,2347000000,6237542834779,-4577911800,,2026-04-27T23:08:52Z
2025-06-25,195417926700,3581560110800,313767368800,111338894551,10532824100,2130562970558,7932545620,2347000000,6242120746579,-17622163263,-6.72,2026-04-27T23:08:52Z
2025-06-18,195417926700,3581510110800,313767368800,111075019932,10532824100,2148201036260,7966643182,2347000000,6259742909842,-440855995,-6.46,2026-04-27T23:08:52Z
