filed_utc,kind,title,link,summary
2026-04-24T08:30:00Z,press,Human capital stocks estimates in the UK: 2004 to 2024,https://www.ons.gov.uk/releases/humancapitalstocksestimatesintheuk2004to2024,Human Capital Stocks Estimates for years between 2004 and 2024. Includes full and employed human capital for national estimates for each year.
2026-04-24T08:30:00Z,trade,UK trade in services by partner country: October to December 2025,https://www.ons.gov.uk/releases/uktradeinservicesbypartnercountryoctobertodecember2025,"Trade in services data, including a breakdown of exports and imports by country and geographical region, EU and non-EU. Official statistics in development."
2026-04-24T08:30:00Z,trade,"UK trade, quarterly goods and services: October to December 2025",https://www.ons.gov.uk/releases/uktradequarterlygoodsandservicesoctobertodecember2025,"Quarterly estimates of total trade, trade in goods, and trade in services by country."
2026-04-24T08:30:00Z,population,"Business demography, quarterly, UK: January to March 2026",https://www.ons.gov.uk/releases/businessdemographyquarterlyukjanuarytomarch2026,Official statistics in development on business births and deaths from the Inter-Departmental Business Register with high-level breakdowns by industry and region.
2026-04-24T06:00:00Z,retail_sales,"Retail Sales, Great Britain: March 2026 time series",https://www.ons.gov.uk/releases/retailsalesgreatbritainmarch2026timeseries,"A first estimate of retail sales in volume and value terms, seasonally and non-seasonally adjusted."
2026-04-24T06:00:00Z,retail_sales,"Retail Sales, Great Britain: March 2026",https://www.ons.gov.uk/releases/retailsalesgreatbritainmarch2026,"A first estimate of retail sales in volume and value terms, seasonally and non-seasonally adjusted."
2026-04-23T08:30:00Z,population,"International migration research, progress update: April 2026",https://www.ons.gov.uk/releases/internationalmigrationresearchprogressupdateapril2026,An update on international migration methods and research to further develop admin-based migration estimates (ABMEs).
2026-04-23T08:30:00Z,press,"Economic activity and social change in the UK, real-time indicators: 23 April 2026",https://www.ons.gov.uk/releases/economicactivityandsocialchangeintheukrealtimeindicators23april2026,"Early experimental data and analysis on economic activity and social change in the UK. These real-time indicators are created using rapid response surveys, novel data sources and experimental methods."
2026-04-23T08:30:00Z,trade,Business insights and impact on the UK economy: 23 April 2026,https://www.ons.gov.uk/releases/businessinsightsandimpactontheukeconomy23april2026,"The impact of challenges facing the economy and other events on UK businesses, including financial performance, workforce, trade, and business resilience."
2026-04-23T08:30:00Z,press,Experiences of NHS healthcare services in England: 23 April 2026,https://www.ons.gov.uk/releases/experiencesofnhshealthcareservicesinengland23rdapril2026,"Patient experiences of accessing healthcare from the ONS Health Insight Survey, funded by NHS England. These are official statistics in development."
