city,country,lat,lon,pm10,pm2_5,carbon_monoxide,ozone,us_aqi,european_aqi,observation_time,captured_at
Delhi,IN,28.6139,77.2090,609.10,136.00,355.00,29.00,554.00,303.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Mexico,MX,19.4326,-99.1332,14.70,14.50,357.00,191.00,179.00,71.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Shanghai,CN,31.2304,121.4737,39.80,31.40,733.00,63.00,144.00,82.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Dubai,AE,25.2048,55.2708,152.70,38.20,164.00,85.00,102.00,82.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Tokyo,JP,35.6762,139.6503,26.00,23.70,321.00,86.00,96.00,67.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Mumbai,IN,19.0760,72.8777,63.10,32.80,435.00,36.00,86.00,65.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Beijing,CN,39.9042,116.4074,83.60,64.50,540.00,21.00,84.00,62.00,2026-04-27T23:00,2026-04-27T23:11:21Z
DC,US,38.9072,-77.0369,11.40,10.50,231.00,110.00,78.00,54.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Phoenix,US,33.4484,-112.0740,79.20,12.30,137.00,141.00,75.00,71.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Seoul,KR,37.5665,126.9780,22.00,18.40,317.00,83.00,74.00,54.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Atlanta,US,33.7490,-84.3880,8.30,7.20,191.00,121.00,73.00,54.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Sydney,AU,-33.8688,151.2093,40.60,37.70,220.00,38.00,70.00,46.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Boston,US,42.3601,-71.0589,7.80,7.10,384.00,58.00,67.00,41.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Miami,US,25.7617,-80.1918,15.40,11.00,187.00,137.00,66.00,61.00,2026-04-27T23:00,2026-04-27T23:11:21Z
HK,HK,22.3193,114.1694,23.80,20.50,352.00,37.00,65.00,38.00,2026-04-27T23:00,2026-04-27T23:11:21Z
SanJose,US,37.3382,-121.8863,16.20,11.30,161.00,112.00,64.00,48.00,2026-04-27T23:00,2026-04-27T23:11:21Z
NYC,US,40.7128,-74.0060,11.20,11.10,282.00,57.00,60.00,34.00,2026-04-27T23:00,2026-04-27T23:11:21Z
SF,US,37.7749,-122.4194,20.20,14.30,148.00,103.00,58.00,42.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Austin,US,30.2672,-97.7431,19.90,17.50,214.00,106.00,56.00,44.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Dallas,US,32.7767,-96.7970,13.30,9.90,195.00,109.00,55.00,46.00,2026-04-27T23:00,2026-04-27T23:11:21Z
SaoPaulo,BR,-23.5505,-46.6333,12.60,12.60,553.00,30.00,55.00,29.00,2026-04-27T23:00,2026-04-27T23:11:21Z
LA,US,34.0522,-118.2437,8.80,6.30,158.00,117.00,52.00,51.00,2026-04-27T23:00,2026-04-27T23:11:21Z
London,GB,51.5074,-0.1278,17.50,13.50,168.00,70.00,50.00,28.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Portland,US,45.5152,-122.6784,12.00,7.00,162.00,76.00,48.00,30.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Paris,FR,48.8566,2.3522,21.10,15.20,214.00,72.00,48.00,29.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Houston,US,29.7604,-95.3698,12.70,9.20,200.00,80.00,47.00,32.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Chicago,US,41.8781,-87.6298,7.90,7.80,243.00,86.00,46.00,34.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Detroit,US,42.3314,-83.0458,16.00,15.80,219.00,104.00,45.00,43.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Singapore,SG,1.3521,103.8198,12.70,10.60,630.00,15.00,43.00,21.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Seattle,US,47.6062,-122.3321,5.00,3.40,164.00,76.00,41.00,30.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Frankfurt,DE,50.1109,8.6821,9.60,6.60,158.00,66.00,40.00,26.00,2026-04-27T23:00,2026-04-27T23:11:21Z
Denver,US,39.7392,-104.9903,2.80,2.00,197.00,91.00,35.00,36.00,2026-04-27T23:00,2026-04-27T23:11:21Z
