location,lat,lon,forecast_date,tmax_c,tmin_c,precip_mm,wind_max_ms,captured_at
argentina_soy,-32.9500,-60.6500,2026-04-27,14.5,5.8,0.00,5.6,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-04-28,18.6,7.9,0.00,3.4,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-04-29,21.1,12.4,0.00,4.6,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-04-30,21.8,9.9,0.00,3.0,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-05-01,24.5,15.5,0.30,3.4,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-05-02,19.0,11.5,0.00,5.5,2026-04-27T23:10:59Z
argentina_soy,-32.9500,-60.6500,2026-05-03,16.4,8.4,0.00,3.8,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-04-27,30.5,25.0,3.30,2.4,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-04-28,31.2,23.5,2.50,2.2,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-04-29,32.1,23.8,0.30,1.8,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-04-30,32.8,24.4,0.00,1.8,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-05-01,35.5,24.0,0.00,3.6,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-05-02,35.5,24.4,0.00,2.7,2026-04-27T23:10:59Z
brazil_soy,-15.6000,-56.1000,2026-05-03,35.3,23.7,0.00,2.7,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-04-27,20.7,10.7,0.00,4.8,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-04-28,24.6,9.1,0.00,3.9,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-04-29,26.0,11.9,0.00,4.5,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-04-30,27.5,14.9,0.00,5.3,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-05-01,30.9,18.1,0.00,4.2,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-05-02,31.0,19.1,0.00,4.3,2026-04-27T23:10:59Z
california_almond,36.7500,-119.7700,2026-05-03,30.9,13.7,0.00,6.8,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-04-27,29.9,18.5,0.00,6.5,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-04-28,30.5,15.5,0.00,5.1,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-04-29,33.8,14.9,0.00,7.1,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-04-30,34.2,21.5,0.00,6.6,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-05-01,34.6,21.8,0.20,4.6,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-05-02,36.8,21.8,0.00,9.3,2026-04-27T23:10:59Z
florida_citrus,28.5400,-81.3800,2026-05-03,29.7,20.5,3.00,7.1,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-04-27,26.7,24.3,0.00,6.5,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-04-28,26.7,23.1,0.00,7.8,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-04-29,28.5,22.7,0.00,7.3,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-04-30,28.6,21.9,2.00,4.8,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-05-01,27.8,23.4,0.60,9.4,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-05-02,25.5,15.0,3.20,7.9,2026-04-27T23:10:59Z
gulf_lng,29.7300,-93.8700,2026-05-03,23.7,12.5,0.00,7.7,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-04-27,23.4,15.2,29.20,13.1,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-04-28,18.0,10.3,149.00,10.3,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-04-29,16.7,9.2,3.20,6.8,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-04-30,18.0,7.5,0.10,4.0,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-05-01,12.8,9.9,9.10,5.6,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-05-02,12.5,2.6,0.00,6.2,2026-04-27T23:10:59Z
illinois_grain,39.8000,-89.6000,2026-05-03,18.3,5.2,0.00,7.1,2026-04-27T23:10:59Z
