ticker,current_price,call_oi,put_oi,pc_ratio,gamma_score,max_pain,atm_call_iv,unusual_call_vol,source,activity_ts
LC,17.18,4504,6137,1.363,4,22.0,0.8438,4,yfinance,2026-04-27T22:52:46.093819+00:00
SEI,70.63,5343,4575,0.856,3,80.0,1.1533,2,yfinance,2026-04-27T22:52:52.731234+00:00
CCK,101.61,1787,128,0.072,1,105.0,0.4724,1,yfinance,2026-04-27T22:52:48.215590+00:00
ARE,45.56,604,639,1.058,1,50.0,0.6289,0,yfinance,2026-04-27T22:52:30.292315+00:00
CDP,32.32,1,0,0.0,0,30.0,0.0,0,yfinance,2026-04-27T22:52:45.523133+00:00
ASTE,58.75,2,0,0.0,0,50.0,0.0,0,yfinance,2026-04-27T22:52:49.366563+00:00
WABC,54.89,3,0,0.0,0,55.0,0.0,0,yfinance,2026-04-27T22:52:39.021399+00:00
KINS,17.53,395,11,0.028,0,20.0,0.0,0,yfinance,2026-04-27T22:52:38.166127+00:00
LU,1.9,106,5,0.047,0,2.0,0.0,0,yfinance,2026-04-27T22:52:29.392394+00:00
BRO,66.12,2004,202,0.101,0,70.0,0.0,0,yfinance,2026-04-27T22:52:28.850854+00:00
CTOS,8.78,14,2,0.143,0,7.5,0.0,0,yfinance,2026-04-27T22:52:48.802505+00:00
SKY,80.9,232,43,0.185,0,90.0,0.0,0,yfinance,2026-04-27T22:52:54.719910+00:00
CBSH,51.02,37,7,0.189,0,30.0,0.0,0,yfinance,2026-04-27T22:52:32.037332+00:00
KRC,32.72,126,24,0.19,0,32.5,0.0,0,yfinance,2026-04-27T22:52:32.632383+00:00
RNGR,18.43,7,2,0.286,0,20.0,0.0,0,yfinance,2026-04-27T22:52:46.926637+00:00
USAU,16.17,53,16,0.302,0,22.5,0.0,0,yfinance,2026-04-27T22:52:53.311374+00:00
TV,2.92,2,1,0.5,0,5.0,0.0,0,yfinance,2026-04-27T22:52:28.173620+00:00
HLMN,8.78,6,3,0.5,0,7.5,0.0,0,yfinance,2026-04-27T22:52:54.102956+00:00
CI,282.58,250,139,0.556,0,280.0,0.0,0,yfinance,2026-04-27T22:52:44.419821+00:00
CBNK,31.82,0,1,1.0,0,25.0,0.0,0,yfinance,2026-04-27T22:52:33.215776+00:00
UHT,40.86,0,7,1.0,0,35.0,0.0,0,yfinance,2026-04-27T22:52:39.727591+00:00
GABC,43.93,4,9,2.25,0,45.0,0.0,0,yfinance,2026-04-27T22:52:33.747634+00:00
UTZ,7.8,26,67,2.577,0,5.0,0.0,0,yfinance,2026-04-27T22:52:51.621299+00:00
SRTA,4.95,10,80,8.0,0,2.5,0.0,0,yfinance,2026-04-27T22:52:47.469003+00:00
BAH,76.19,31,269,8.677,0,75.0,0.0,0,yfinance,2026-04-27T22:52:49.917441+00:00
