filed_utc,kind,title,link,summary
2026-04-27T17:54:35Z,vaccine_immunization,"Vaccination Week in the Americas launches in Canada, with a call for renewed action to protect all through immunization",https://www.paho.org/en/news/27-4-2026-vaccination-week-americas-launches-canada-call-renewed-action-protect-all-through,"Vaccination Week in the Americas launches in Canada, with a call for renewed action to protect all through immunization Cristina Mitchell 27 Apr 2026"
2026-04-23T15:34:01Z,vaccine_immunization,PAHO calls to strengthen vaccination amid rising measles cases in the Americas,https://www.paho.org/en/news/23-4-2026-paho-calls-strengthen-vaccination-amid-rising-measles-cases-americas,PAHO calls to strengthen vaccination amid rising measles cases in the Americas Oscar Reyes 23 Apr 2026
2026-04-22T17:10:01Z,hiv_aids_sti,WHO certifies the Bahamas for eliminating mother-to-child transmission of HIV,https://www.paho.org/en/news/22-4-2026-who-certifies-bahamas-eliminating-mother-child-transmission-hiv,WHO certifies the Bahamas for eliminating mother-to-child transmission of HIV Cristina Mitchell 22 Apr 2026
2026-04-15T17:48:51Z,paho_news,PAHO launches new policy guidance to strengthen long-term care in Latin America and the Caribbean,https://www.paho.org/en/news/15-4-2026-paho-launches-new-policy-guidance-strengthen-long-term-care-latin-america-and,PAHO launches new policy guidance to strengthen long-term care in Latin America and the Caribbean Oscar Reyes 15 Apr 2026
2026-04-14T14:03:06Z,vaccine_immunization,CEPI and PAHO expand partnership to strengthen regulatory systems and vaccine safety across the Americas,https://www.paho.org/en/news/14-4-2026-cepi-and-paho-expand-partnership-strengthen-regulatory-systems-and-vaccine-safety,CEPI and PAHO expand partnership to strengthen regulatory systems and vaccine safety across the Americas Cristina Mitchell 14 Apr 2026
2026-04-13T13:43:54Z,vector_borne_disease,Día Mundial de Chagas 2026: La OPS y la Coalición Global de Chagas destacan el papel central de las mujeres para eliminar la enfermedad,https://www.paho.org/es/noticias/13-4-2026-dia-mundial-chagas-2026-ops-coalicion-global-chagas-destacan-papel-central,World Chagas Disease Day 2026: PAHO and the Global Chagas Coalition highlight the central role of women in eliminating the disease Cristina Mitchell 13 Apr 2026
2026-04-13T11:29:14Z,paho_news,PAHO’s 2025 Country Reports highlight the Region’s progress in health,https://www.paho.org/en/news/13-4-2026-pahos-2025-country-reports-highlight-regions-progress-health,PAHO’s 2025 Country Reports highlight the Region’s progress in health Cristina Mitchell 13 Apr 2026
2026-04-09T18:42:21Z,paho_news,PAHO launches Clinical Trial Accelerator to strengthen research across the Americas,https://www.paho.org/en/news/9-4-2026-paho-launches-clinical-trial-accelerator-strengthen-research-across-americas,PAHO launches Clinical Trial Accelerator to strengthen research across the Americas Oscar Reyes 9 Apr 2026
2026-04-08T13:12:58Z,outbreak_epidemic,PAHO Director urges global action to combat rising dengue and other arboviral threats at One Health Forum in Lyon,https://www.paho.org/en/news/8-4-2026-paho-director-urges-global-action-combat-rising-dengue-and-other-arboviral-threats,PAHO Director urges global action to combat rising dengue and other arboviral threats at One Health Forum in Lyon Cristina Mitchell 8 Apr 2026
2026-04-06T19:04:52Z,paho_news,World Health Day 2026: PAHO/WHO calls for renewed commitment to science to drive better health for all,https://www.paho.org/en/news/6-4-2026-world-health-day-2026-pahowho-calls-renewed-commitment-science-drive-better-health,World Health Day 2026: PAHO/WHO calls for renewed commitment to science to drive better health for all Cristina Mitchell 6 Apr 2026
