month,pce_index,core_pce_index,pce_yoy_pct,core_pce_yoy_pct,captured_at
2026-02-01,129.449,128.859,2.80,2.97,2026-04-27T23:01:45Z
2026-01-01,128.965,128.388,2.83,3.05,2026-04-27T23:01:45Z
2025-12-01,128.576,127.886,2.88,2.97,2026-04-27T23:01:45Z
2025-11-01,128.152,127.469,2.82,2.83,2026-04-27T23:01:45Z
2025-10-01,127.871,127.243,2.71,2.75,2026-04-27T23:01:45Z
2025-09-01,127.625,126.954,2.79,2.83,2026-04-27T23:01:45Z
2025-08-01,127.293,126.714,2.75,2.91,2026-04-27T23:01:45Z
2025-07-01,126.960,126.430,2.61,2.86,2026-04-27T23:01:45Z
2025-06-01,126.743,126.121,2.59,2.81,2026-04-27T23:01:45Z
2025-05-01,126.380,125.790,2.46,2.78,2026-04-27T23:01:45Z
2025-04-01,126.150,125.502,2.28,2.61,2026-04-27T23:01:45Z
2025-03-01,125.941,125.267,2.36,2.67,2026-04-27T23:01:45Z
2025-02-01,125.921,125.145,2.71,2.97,2026-04-27T23:01:45Z
2025-01-01,125.417,124.587,2.61,2.78,2026-04-27T23:01:45Z
2024-12-01,124.979,124.196,2.73,2.99,2026-04-27T23:01:45Z
2024-11-01,124.637,123.962,2.59,2.98,2026-04-27T23:01:45Z
2024-10-01,124.494,123.832,2.48,2.99,2026-04-27T23:01:45Z
2024-09-01,124.164,123.466,2.26,2.84,2026-04-27T23:01:45Z
2024-08-01,123.889,123.128,2.41,2.87,2026-04-27T23:01:45Z
2024-07-01,123.736,122.911,2.59,2.81,2026-04-27T23:01:45Z
2024-06-01,123.539,122.677,2.55,2.75,2026-04-27T23:01:45Z
2024-05-01,123.348,122.383,2.66,2.77,2026-04-27T23:01:45Z
2024-04-01,123.341,122.304,2.83,3.01,2026-04-27T23:01:45Z
2024-03-01,123.038,122.009,2.93,3.12,2026-04-27T23:01:45Z
2024-02-01,122.598,121.537,2.71,3.06,2026-04-27T23:01:45Z
2024-01-01,122.230,121.217,2.70,3.16,2026-04-27T23:01:45Z
2023-12-01,121.660,120.592,2.77,3.11,2026-04-27T23:01:45Z
2023-11-01,121.493,120.374,2.77,3.29,2026-04-27T23:01:45Z
2023-10-01,121.484,120.241,3.02,3.47,2026-04-27T23:01:45Z
2023-09-01,121.419,120.058,3.45,3.69,2026-04-27T23:01:45Z
2023-08-01,120.970,119.689,3.43,3.83,2026-04-27T23:01:45Z
2023-07-01,120.607,119.556,3.41,4.30,2026-04-27T23:01:45Z
2023-06-01,120.469,119.390,3.28,4.38,2026-04-27T23:01:45Z
2023-05-01,120.150,119.083,4.00,4.73,2026-04-27T23:01:45Z
2023-04-01,119.951,118.734,4.48,4.79,2026-04-27T23:01:45Z
2023-03-01,119.538,118.315,4.43,4.78,2026-04-27T23:01:45Z
