month,philly,empire,chicago_pmi,captured_at
2026-04-01,+26.7,+11.0,0.0,2026-04-27T23:02:02Z
2026-03-01,+18.1,-0.2,0.0,2026-04-27T23:02:02Z
2026-02-01,+16.3,+7.1,0.0,2026-04-27T23:02:02Z
2026-01-01,+12.6,+7.7,0.0,2026-04-27T23:02:02Z
2025-12-01,-8.8,-3.7,0.0,2026-04-27T23:02:02Z
2025-11-01,+0.6,+13.5,0.0,2026-04-27T23:02:02Z
2025-10-01,-10.1,+7.8,0.0,2026-04-27T23:02:02Z
2025-09-01,+19.5,-7.0,0.0,2026-04-27T23:02:02Z
2025-08-01,+0.7,+9.1,0.0,2026-04-27T23:02:02Z
2025-07-01,+11.4,+3.1,0.0,2026-04-27T23:02:02Z
2025-06-01,-1.4,-14.9,0.0,2026-04-27T23:02:02Z
2025-05-01,-0.7,-6.9,0.0,2026-04-27T23:02:02Z
2025-04-01,-12.9,-8.6,0.0,2026-04-27T23:02:02Z
2025-03-01,+10.2,-15.7,0.0,2026-04-27T23:02:02Z
2025-02-01,+13.4,+4.3,0.0,2026-04-27T23:02:02Z
2025-01-01,+32.9,-7.4,0.0,2026-04-27T23:02:02Z
2024-12-01,-9.6,+2.2,0.0,2026-04-27T23:02:02Z
2024-11-01,-1.5,+16.8,0.0,2026-04-27T23:02:02Z
2024-10-01,+7.6,-14.0,0.0,2026-04-27T23:02:02Z
2024-09-01,-1.6,+3.8,0.0,2026-04-27T23:02:02Z
2024-08-01,-3.0,+0.1,0.0,2026-04-27T23:02:02Z
2024-07-01,+9.9,-16.7,0.0,2026-04-27T23:02:02Z
2024-06-01,+2.9,-6.5,0.0,2026-04-27T23:02:02Z
2024-05-01,+7.5,-7.0,0.0,2026-04-27T23:02:02Z
2024-04-01,+17.6,-19.7,0.0,2026-04-27T23:02:02Z
2024-03-01,+1.8,-4.7,0.0,2026-04-27T23:02:02Z
2024-02-01,-1.0,-7.2,0.0,2026-04-27T23:02:02Z
2024-01-01,-14.7,-29.7,0.0,2026-04-27T23:02:02Z
2023-12-01,-7.2,-13.6,0.0,2026-04-27T23:02:02Z
2023-11-01,-3.9,-6.5,0.0,2026-04-27T23:02:02Z
2023-10-01,-14.6,-6.5,0.0,2026-04-27T23:02:02Z
2023-09-01,-15.2,-5.3,0.0,2026-04-27T23:02:02Z
2023-08-01,+10.5,-15.4,0.0,2026-04-27T23:02:02Z
2023-07-01,-16.1,-8.6,0.0,2026-04-27T23:02:02Z
2023-06-01,-12.1,+6.1,0.0,2026-04-27T23:02:02Z
2023-05-01,-8.1,-24.6,0.0,2026-04-27T23:02:02Z
