month,ppi_all,ppi_final_svc,ppi_industrial,ppi_crude,ppi_all_yoy,captured_at
2026-03-01,274.10,154.01,0.00,0.00,6.03,2026-04-27T23:12:04Z
2026-02-01,269.30,153.22,0.00,0.00,3.78,2026-04-27T23:12:04Z
2026-01-01,263.49,152.46,0.00,0.00,2.38,2026-04-27T23:12:04Z
2025-12-01,261.35,151.63,0.00,0.00,3.13,2026-04-27T23:12:04Z
2025-11-01,261.91,151.05,0.00,0.00,3.44,2026-04-27T23:12:04Z
2025-10-01,260.59,150.44,0.00,0.00,2.97,2026-04-27T23:12:04Z
2025-09-01,262.05,150.25,0.00,0.00,3.71,2026-04-27T23:12:04Z
2025-08-01,262.11,149.33,0.00,0.00,2.60,2026-04-27T23:12:04Z
2025-07-01,262.36,149.60,0.00,0.00,1.96,2026-04-27T23:12:04Z
2025-06-01,260.49,148.39,0.00,0.00,1.79,2026-04-27T23:12:04Z
2025-05-01,258.68,148.15,0.00,0.00,1.32,2026-04-27T23:12:04Z
2025-04-01,258.39,147.66,0.00,0.00,0.55,2026-04-27T23:12:04Z
2025-03-01,258.52,148.06,0.00,0.00,1.34,2026-04-27T23:12:04Z
2025-02-01,259.50,148.23,0.00,0.00,1.79,2026-04-27T23:12:04Z
2025-01-01,257.36,147.97,0.00,0.00,2.41,2026-04-27T23:12:04Z
2024-12-01,253.42,147.05,0.00,0.00,1.42,2026-04-27T23:12:04Z
2024-11-01,253.21,146.45,0.00,0.00,0.14,2026-04-27T23:12:04Z
2024-10-01,253.08,146.29,0.00,0.00,-0.83,2026-04-27T23:12:04Z
2024-09-01,252.68,145.80,0.00,0.00,-2.41,2026-04-27T23:12:04Z
2024-08-01,255.46,145.41,0.00,0.00,-0.86,2026-04-27T23:12:04Z
2024-07-01,257.32,144.92,0.00,0.00,1.37,2026-04-27T23:12:04Z
2024-06-01,255.91,144.87,0.00,0.00,0.81,2026-04-27T23:12:04Z
2024-05-01,255.31,144.22,0.00,0.00,0.65,2026-04-27T23:12:04Z
2024-04-01,256.98,144.20,0.00,0.00,0.03,2026-04-27T23:12:04Z
2024-03-01,255.09,143.52,0.00,0.00,-0.77,2026-04-27T23:12:04Z
2024-02-01,254.93,143.36,0.00,0.00,-1.45,2026-04-27T23:12:04Z
2024-01-01,251.31,142.58,0.00,0.00,-3.43,2026-04-27T23:12:04Z
2023-12-01,249.87,142.16,0.00,0.00,-3.11,2026-04-27T23:12:04Z
2023-11-01,252.86,142.33,0.00,0.00,-3.91,2026-04-27T23:12:04Z
2023-10-01,255.19,142.25,0.00,0.00,-3.72,2026-04-27T23:12:04Z
2023-09-01,258.93,142.74,0.00,0.00,-3.35,2026-04-27T23:12:04Z
2023-08-01,257.68,142.41,0.00,0.00,-4.40,2026-04-27T23:12:04Z
2023-07-01,253.84,141.49,0.00,0.00,-6.77,2026-04-27T23:12:04Z
2023-06-01,253.86,140.70,0.00,0.00,-9.42,2026-04-27T23:12:04Z
2023-05-01,253.67,140.61,0.00,0.00,-7.17,2026-04-27T23:12:04Z
2023-04-01,256.91,140.93,0.00,0.00,-3.17,2026-04-27T23:12:04Z
