market_id,market,contract,last,yes,no,prev_close,delta,date_end,status,captured_at
8459,Who will win the Republican nomination in the TX-32 House primary?,Aimee Carrasco,0.01,0.63,,0.65,-0.64,NA,Open,2026-04-27T22:54:56Z
8753,"How many ""truths"" will Trump post from April 23 through April 29?",221 or more,0.02,0.39,0.99,0.65,-0.63,2026-04-30,Open,2026-04-27T22:54:56Z
8737,What will the RCP Iran Action approval rating be on Apr. 28?,40.3% to 40.5%,0.25,0.98,0.75,0.67,-0.42,04/28/2026,Open,2026-04-27T22:54:56Z
8204,Who will win the 2026 Michigan Republican nomination for governor?,John James,0.38,0.38,0.9,0.1,0.28,NA,Open,2026-04-27T22:54:56Z
8609,Who will be Prime Minister of the United Kingdom after Kier Starmer?,Ed Miliband,0.25,0.47,0.85,0.47,-0.22,NA,Open,2026-04-27T22:54:56Z
8761,"Trump's DDHQ job approval rating on May 1? (New URL, see Rules)",41.5% or higher,0.25,0.29,0.95,0.06,0.19,05/01/2026,Open,2026-04-27T22:54:56Z
8760,Will Virginia use its newly redistricted map in 2026?,Will Virginia use its newly redistricted map in 2026?,0.55,0.81,0.43,0.7,-0.15,NA,Open,2026-04-27T22:54:56Z
8204,Who will win the 2026 Michigan Republican nomination for governor?,Perry Johnson,0.5,0.57,0.52,0.65,-0.15,NA,Open,2026-04-27T22:54:56Z
8737,What will the RCP Iran Action approval rating be on Apr. 28?,40.2% or lower,0.16,0.97,0.84,0.3,-0.14,04/28/2026,Open,2026-04-27T22:54:56Z
8416,Which party will win the 2026 election for governor of Georgia?,Democratic,0.68,0.69,0.41,0.56,0.12,NA,Open,2026-04-27T22:54:56Z
8743,What will President Trump's RCP job approval rating be on April 29?,39.5% to 39.7%,0.02,0.05,0.98,0.14,-0.12,04/29/2026,Open,2026-04-27T22:54:56Z
8737,What will the RCP Iran Action approval rating be on Apr. 28?,40.6% to 40.8%,0.06,0.75,0.9,0.15,-0.09,04/28/2026,Open,2026-04-27T22:54:56Z
8416,Which party will win the 2026 election for governor of Georgia?,Republican,0.39,0.53,0.61,0.47,-0.08,NA,Open,2026-04-27T22:54:56Z
8457,Will Trump leave office early?,Will Trump leave office early?,0.61,0.61,0.49,0.54,0.07,NA,Open,2026-04-27T22:54:56Z
8743,What will President Trump's RCP job approval rating be on April 29?,39.4% or lower,0.01,0.01,,0.08,-0.07,04/29/2026,Open,2026-04-27T22:54:56Z
8214,Which party will win the 2026 election for governor of Kansas?,Republican,0.73,0.77,0.28,0.79,-0.06,NA,Open,2026-04-27T22:54:56Z
8230,Who will win the 2026 Kentucky Republican Senate nomination?,Nate Morris,0.12,0.12,0.92,0.07,0.05,NA,Open,2026-04-27T22:54:56Z
8644,Who will win the South Carolina primary for Lindsey Graham's Senate seat?,Lindsey Graham,0.91,0.93,0.2,0.87,0.04,NA,Open,2026-04-27T22:54:56Z
