drug_class,tickers,hits_last14d,hits_prev14d,velocity_x,delta_pct,latest_pmids,captured_at
KRAS inhibitor,"AMGN,MRTX,RVMD,BBIO",37,56,0.66,-33.9,"42041157,42039489,42038352,42035378,42034571",2026-04-27T23:00:50Z
BTK inhibitor,"JNJ,ABBV,NUVL,BGNE",19,29,0.66,-34.5,"42043389,42033155,42027122,42018659,42016388",2026-04-27T23:00:50Z
FGFR inhibitor,"PFE,INCY",7,11,0.64,-36.4,"42044259,42041178,42012806,42010121,42008300",2026-04-27T23:00:50Z
hemophilia gene therapy,"SRPT,RGNX,BMRN",7,12,0.58,-41.7,"42033288,41999756,41988942,41988930,41988906",2026-04-27T23:00:50Z
bispecific antibody,"REGN,JNJ,AMGN,IMVT",64,115,0.56,-44.3,"42043585,42041396,42035746,42035344,42035265",2026-04-27T23:00:50Z
mRNA vaccine,"MRNA,BNTX,PFE,CVAC",70,140,0.50,-50.0,"42043950,42043256,42042840,42042832,42042826",2026-04-27T23:00:50Z
antibody drug conjugate,"PFE,GILD,IMGN,IGMS,ADCT",54,110,0.49,-50.9,"42041393,42039381,42033924,42030933,42026339",2026-04-27T23:00:50Z
amyloid beta,"LLY,BIIB",181,378,0.48,-52.1,"42044561,42043712,42043710,42043700,42043433",2026-04-27T23:00:50Z
GLP-1 receptor agonist,"LLY,NVO,VKTX,ALT,RVMD",117,255,0.46,-54.1,"42043978,42038657,42037238,42037117,42036870",2026-04-27T23:00:50Z
psilocybin,"COMP,ATAI,MNMD,CYBN",17,37,0.46,-54.1,"42044375,42042077,42039555,42039092,42037650",2026-04-27T23:00:50Z
sickle cell disease,"CRSP,BLUE,PFE,VRTX,AGIO",56,125,0.45,-55.2,"42044072,42040366,42039864,42039476,42039437",2026-04-27T23:00:50Z
long COVID,"PFE,MRK,GILD",124,281,0.44,-55.9,"42044494,42044369,42044338,42043742,42043629",2026-04-27T23:00:50Z
CRISPR gene editing,"CRSP,EDIT,BEAM,NTLA,VERV",75,173,0.43,-56.6,"42044139,42043584,42042075,42041587,42039612",2026-04-27T23:00:50Z
Alzheimer tau,"LLY,BIIB,ANAB",120,288,0.42,-58.3,"42043710,42043700,42043433,42039545,42039455",2026-04-27T23:00:50Z
IL-23 inhibitor,"JNJ,ABBV,NVS,MRK",10,28,0.36,-64.3,"42041098,42036026,42027204,42023421,42012779",2026-04-27T23:00:50Z
gene therapy,"CRSP,EDIT,BEAM,VERV,NTLA,RGNX,BLUE,SRPT",762,2153,0.35,-64.6,"42044361,42044322,42044156,42043964,42043850",2026-04-27T23:00:50Z
CAR-T therapy,"GILD,LEGN,JNJ,BLUE",54,176,0.31,-69.3,"42039431,42036409,42035954,42035063,42034501",2026-04-27T23:00:50Z
nonalcoholic steatohepatitis,"MDGL,AKRO,VKTX,TERN",50,159,0.31,-68.6,"42043879,42043682,42043466,42042930,42042929",2026-04-27T23:00:50Z
obesity pharmacotherapy,"LLY,NVO,VKTX,AMGN,ALT,RVMD",60,227,0.26,-73.6,"42044368,42043978,42042214,42036071,42036010",2026-04-27T23:00:50Z
PCSK9 inhibitor,"AMGN,REGN,NVS",11,52,0.21,-78.8,"42034309,42019820,42017316,42001473,42000553",2026-04-27T23:00:50Z
