package,category,downloads_1d,downloads_7d,downloads_30d,ratio_7d_to_baseline,captured_at
huggingface-hub,ai_compute,7265650,59612191,222583046,1.148,2026-04-27T22:49:15Z
transformers,ai_compute,4403318,34074596,126609631,1.153,2026-04-27T22:49:15Z
torch,ai_compute,2600300,20338558,80508097,1.083,2026-04-27T22:49:15Z
accelerate,ai_compute,606223,5904247,23883825,1.059,2026-04-27T22:49:15Z
tensorflow,ai_compute,847136,5705863,21402056,1.143,2026-04-27T22:49:15Z
diffusers,ai_compute,211388,1997244,7744638,1.105,2026-04-27T22:49:15Z
vllm,ai_compute,117140,1336823,10485743,0.546,2026-04-27T22:49:15Z
langchain,ai_framework,6861416,55425674,231633166,1.025,2026-04-27T22:49:15Z
langgraph,ai_framework,989693,11346849,43875076,1.108,2026-04-27T22:49:15Z
llama-index,ai_framework,205327,2540242,9788228,1.112,2026-04-27T22:49:15Z
autogen-agentchat,ai_framework,25079,353009,1346843,1.123,2026-04-27T22:49:15Z
openai,ai_model,7796616,67072252,253837877,1.132,2026-04-27T22:49:15Z
anthropic,ai_model,3432803,28145573,101260341,1.191,2026-04-27T22:49:15Z
cohere,ai_model,1180474,9298105,35117228,1.135,2026-04-27T22:49:15Z
mistralai,ai_model,653509,7466885,25176641,1.271,2026-04-27T22:49:15Z
google-generativeai,ai_model,583859,3835286,15774750,1.042,2026-04-27T22:49:15Z
weaviate-client,ai_vector,3554491,26981056,100424094,1.151,2026-04-27T22:49:15Z
qdrant-client,ai_vector,395070,4435028,19581673,0.971,2026-04-27T22:49:15Z
chromadb,ai_vector,326114,3177389,13471180,1.011,2026-04-27T22:49:15Z
pinecone-client,ai_vector,35265,361612,1515388,1.023,2026-04-27T22:49:15Z
biopython,bio,174062,1740022,9534312,0.782,2026-04-27T22:49:15Z
scanpy,bio,13992,197423,733058,1.154,2026-04-27T22:49:15Z
web3,crypto_dev,136963,1251726,4797951,1.118,2026-04-27T22:49:15Z
ccxt,crypto_dev,100792,896825,3412388,1.126,2026-04-27T22:49:15Z
solana,crypto_dev,17955,153689,641833,1.026,2026-04-27T22:49:15Z
numpy,data_baseline,25453057,221634068,873818073,1.087,2026-04-27T22:49:15Z
pandas,data_baseline,19534218,165352584,643087029,1.102,2026-04-27T22:49:15Z
scikit-learn,data_baseline,5787229,49934568,198570908,1.078,2026-04-27T22:49:15Z
polars,data_baseline,1102253,12635030,49117038,1.102,2026-04-27T22:49:15Z
pydantic,infra,25339028,247793205,887882064,1.196,2026-04-27T22:49:15Z
uvicorn,infra,12155341,119241163,444418173,1.150,2026-04-27T22:49:15Z
fastapi,infra,11485432,107182616,402552892,1.141,2026-04-27T22:49:15Z
