region,period,median_listing_price,median_listing_yoy_pct,active_listings,active_listings_yoy_pct,median_days_on_market,new_listing_count,pending_listing_count,price_reduced_share,captured_at
United States,2026-03,415450,-2.22,964477,+8.06,57,439000,432560,0.1624,2026-04-27T22:47:43Z
United States,2026-02,403450,-2.08,914860,+7.91,70,362180,382889,0.1548,2026-04-27T22:47:43Z
United States,2026-01,399900,-0.15,912696,+10.05,78,329228,312588,0.1432,2026-04-27T22:47:43Z
United States,2025-12,399950,-0.63,976833,+12.08,73,233430,344912,0.1289,2026-04-27T22:47:43Z
United States,2025-11,415000,-0.39,1072266,+12.58,64,330908,411071,0.1809,2026-04-27T22:47:43Z
United States,2025-10,424200,+0.40,1099856,+15.26,63,385448,424554,0.2032,2026-04-27T22:47:43Z
United States,2025-09,425000,+0.00,1100407,+17.41,62,394878,438714,0.1989,2026-04-27T22:47:43Z
United States,2025-08,429990,+0.00,1098681,+20.87,60,402268,452766,0.2035,2026-04-27T22:47:43Z
United States,2025-07,439450,+0.50,1102787,+24.76,58,434816,460760,0.2058,2026-04-27T22:47:43Z
United States,2025-06,440950,+0.24,1082520,+28.88,53,452414,482481,0.2074,2026-04-27T22:47:43Z
United States,2025-05,440000,+0.11,1036101,+31.53,51,465096,485300,0.1906,2026-04-27T22:47:43Z
United States,2025-04,431250,+0.30,959251,+30.63,50,471788,467514,0.1797,2026-04-27T22:47:43Z
United States,2025-03,424900,+0.00,892561,+28.45,53,435960,416076,0.1745,2026-04-27T22:47:43Z
United States,2025-02,412000,-0.84,847825,+27.54,66,353658,371715,0.1683,2026-04-27T22:47:43Z
United States,2025-01,400500,-2.20,829376,+24.61,73,327016,314545,0.1558,2026-04-27T22:47:43Z
United States,2024-12,402501,-1.83,871518,+22.02,70,237758,346105,0.1285,2026-04-27T22:47:43Z
United States,2024-11,416633,-0.80,952414,+26.06,61,323376,405344,0.1669,2026-04-27T22:47:43Z
United States,2024-10,422500,-0.59,954201,+29.27,58,365692,417920,0.1862,2026-04-27T22:47:43Z
United States,2024-09,425000,-1.05,937267,+33.42,56,389878,420663,0.1854,2026-04-27T22:47:43Z
United States,2024-08,429990,-1.26,908944,+35.71,53,383552,432319,0.1922,2026-04-27T22:47:43Z
United States,2024-07,437250,-0.62,883905,+36.59,51,405404,447741,0.1952,2026-04-27T22:47:43Z
United States,2024-06,439900,-1.15,839960,+36.73,48,426092,465012,0.1843,2026-04-27T22:47:43Z
United States,2024-05,439500,-0.34,787726,+35.24,45,433906,472397,0.1671,2026-04-27T22:47:43Z
United States,2024-04,429950,-0.01,734324,+30.44,47,432032,457363,0.1548,2026-04-27T22:47:43Z
"Boston-Cambridge-Newton, MA-NH",2026-03,828750,-4.63,5102,+15.34,30,5172,1413,0.0950,2026-04-27T22:47:43Z
"Dallas-Fort Worth-Arlington, TX",2026-03,420000,-0.83,24968,+5.46,48,11644,10963,0.2078,2026-04-27T22:47:43Z
"Phoenix-Mesa-Chandler, AZ",2026-03,496900,-4.44,19889,+6.35,54,8630,8492,0.2967,2026-04-27T22:47:43Z
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2026-03,572500,-5.36,11743,+15.52,30,8504,7163,0.1203,2026-04-27T22:47:43Z
"Los Angeles-Long Beach-Anaheim, CA",2026-03,1096500,-7.00,16191,+9.58,45,9012,7216,0.1293,2026-04-27T22:47:43Z
"Seattle-Tacoma-Bellevue, WA",2026-03,769485,+2.60,7473,+42.51,34,5170,4173,0.1541,2026-04-27T22:47:43Z
"Tampa-St. Petersburg-Clearwater, FL",2026-03,400000,+0.02,18093,+0.50,66,5936,6450,0.2591,2026-04-27T22:47:43Z
