ticker,exchange,security_name,trade_date,market_category
ADTX,NASDAQ,ADITXT INC COM PAR $0.001 NEW,2026-04-24,S
AIXI,NASDAQ,XIAO-I CORP ADS NEW (CYM),2026-04-24,G
ALBT,NASDAQ,AVALON GLOBOCARE CORP COM PAR,2026-04-24,S
AMDD,NASDAQ,DIREXION SHS ETF TR DAILY AMD,2026-04-24,G
AMDL,NASDAQ,GRANITESHARES ETF TR GRANITE 2,2026-04-24,G
AMZD,NASDAQ,DIREXION SHS ETF TR DAILY AMZN,2026-04-24,G
ARTL,NASDAQ,ARTELO BIOSCIENCES INC COM NEW,2026-04-24,S
ASBP,NASDAQ,ASPIRE BIOPHARMA HLDGS INC COM,2026-04-24,S
BAIG,NASDAQ,THEMES ETF TR LEVERAGE SHS 2X,2026-04-24,G
BEAT,NASDAQ,HEARTBEAM INC COM,2026-04-24,S
BMNG,NASDAQ,THEMES ETF TR LEVERAGE SHS 2X,2026-04-24,G
BTOG,NASDAQ,BIT ORIGIN LTD SHS NEW US$0.00,2026-04-24,S
COSM,NASDAQ,COSMOS HEALTH INC. COM,2026-04-24,S
CREG,NASDAQ,SMART PWR CORP  COM PAR $0.001,2026-04-24,S
CRWG,NASDAQ,THEMES ETF TR LEVERAGE SHARES,2026-04-24,G
ELAB,NASDAQ,PMGC HLDGS INC COM PAR $0.0001,2026-04-24,S
ENVB,NASDAQ,ENVERIC BIOSCIENCES INC COM OC,2026-04-24,S
ETHB,NASDAQ,ISHARES STAKED ETHEREUM TR ETF,2026-04-24,G
FCHL,NASDAQ,FITNESS CHAMPS HLDGS LTD CL A,2026-04-24,S
FIGG,NASDAQ,THEMES ETF TR LEVERAGE SHS 2X,2026-04-24,G
GCTK,NASDAQ,GLUCO TRACK INC  COM NEW 2025,2026-04-24,S
GGLS,NASDAQ,DIREXION SHS ETF TR DAILY GOOG,2026-04-24,G
HIMZ,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
HUBC,NASDAQ,HUB CYBER SEC LTD SHS NEW (ISR,2026-04-24,S
HUTG,NASDAQ,THEMES ETF TR LEVERAGE SHS 2X,2026-04-24,G
IMMP,NASDAQ,IMMUTEP LTD SPONSORED ADR (AUS,2026-04-24,G
IONZ,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
ISPC,NASDAQ,ISPECIMEN INC COM NEW (DE),2026-04-24,S
KC,NASDAQ,KINGSOFT CLOUD HLDGS LTD ADR (,2026-04-24,Q
KIDZ,NASDAQ,CLASSOVER HLDGS INC COM CL B N,2026-04-24,S
LRHC,NASDAQ,LA ROSA HLDGS CORP COM PAR $0.,2026-04-24,S
MNTS,NASDAQ,MOMENTUS INC CL A PAR $0.00001,2026-04-24,S
MSTX,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
NICM,NASDAQ,NICOLA MNG INC ADR (CAN),2026-04-24,S
NOWL,NASDAQ,GRANITESHARES ETF TR 2X LONG N,2026-04-24,G
OKLL,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
ONFO,NASDAQ,ONFOLIO HLDGS INC COM NEW (DE),2026-04-24,S
ORCX,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
PDC,NASDAQ,PERPETUALS.COM LTD ADR(JPN),2026-04-24,S
PLTZ,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
PTIR,NASDAQ,GRANITESHARES ETF TR 2X LONG P,2026-04-24,G
RETO,NASDAQ,RETO ECO-SOLUTIONS INC SHS NEW,2026-04-24,S
RGTX,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
RGTZ,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
RKLZ,NASDAQ,TIDAL TR II DEFIANCE DILY TARG,2026-04-24,G
RMSG,NASDAQ,REAL MESSENGER CORP SHS CL A (,2026-04-24,S
SKYQ,NASDAQ,SKY QUARRY INC COM NEW $0.0001,2026-04-24,S
SMCX,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
SMST,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
SMX,NASDAQ,SMX SEC MATTERS PLC ORD SHS NE,2026-04-24,S
SOUX,NASDAQ,TIDAL TR II DEFIANCE DAILY TAR,2026-04-24,G
TRNR,NASDAQ,INTERACTIVE STRENGTH INC COM P,2026-04-24,S
TSDD,NASDAQ,GRANITESHARES ETF TR 2X SHORT,2026-04-24,G
TSLQ,NASDAQ,INVT MNRG SR TR II TRDR 2X SHO,2026-04-24,G
UCAR,NASDAQ,U PWR LTD ORD SHS CL A USD $0.,2026-04-24,S
YYGH,NASDAQ,YY GROUP HOLDING LIMITED CLASS,2026-04-24,S
ZBAO,NASDAQ,ZHIBAO TECHNOLOGY INC. CLASS A,2026-04-24,S
ZEO,NASDAQ,ZEO ENERGY CORP CL A,2026-04-24,S
20260424230005,NASDAQ,,2026-04-24,
