filed_utc,kind,title,link,summary
2026-04-27T06:24:47Z,humanitarian,Mozambique: Boletim Diário da Cólera Data: 26/04/2026,https://reliefweb.int/report/mozambique/boletim-diario-da-colera-data-26042026,Country: Mozambique Source: Government of Mozambique Please refer to the attached file.
2026-04-27T06:13:45Z,situation_report,Myanmar Humanitarian Access Snapshot - March 2026,https://reliefweb.int/report/myanmar/myanmar-humanitarian-access-snapshot-march-2026,Country: Myanmar Source: UN Office for the Coordination of Humanitarian Affairs Please refer to the attached Infographic.
2026-04-27T05:23:22Z,flash_update,Pakistan APHF Funding Snapshot (Allocations as of 16 March 2026),https://reliefweb.int/report/pakistan/pakistan-aphf-funding-snapshot-allocations-16-march-2026,Country: Pakistan Source: UN Office for the Coordination of Humanitarian Affairs Please refer to the attached Infographic.
2026-04-27T05:21:45Z,flash_update,Pakistan: CERF & APHF Funding Snapshot - Allocations as of 16 March 2026,https://reliefweb.int/report/pakistan/pakistan-cerf-aphf-funding-snapshot-allocations-16-march-2026,Country: Pakistan Source: UN Office for the Coordination of Humanitarian Affairs Please refer to the attached Infographic.
2026-04-27T02:32:38Z,situation_report,Afghanistan: Weekly Market Report: Issue 292: Week 3 - April 2026,https://reliefweb.int/report/afghanistan/afghanistan-weekly-market-report-issue-292-week-3-april-2026,"Country: Afghanistan Source: World Food Programme Please refer to the attached file. Highlights Trade Flows and Market Conditions: During the third week of April, the Afghani exchange rate stood at AFN 64.8/USD, broadly stable compared with last week and stronger than at the same time last year. Afghanistan's trade flows continue to adjust amid persistent disruptions to regional connectivity, part"
2026-04-27T02:30:57Z,cluster_health,Sudan launches a 5-year plan to end cholera as a public health threat,https://reliefweb.int/report/sudan/sudan-launches-5-year-plan-end-cholera-public-health-threat,"Country: Sudan Source: World Health Organization 22 April 2026, Port Sudan, Sudan – On 16 April 2026, Sudan’s Federal Ministry of Health, with the Federal Ministries of Agriculture and Irrigation, Finance and Economic Planning, the World Health Organization (WHO) and other partners, launched the Sudan National Cholera Strategic Plan 2026–2030. The Plan brings together actors from multiple sectors "
2026-04-27T02:08:55Z,situation_report,DR Congo: Bulletin trimestriel du programme des urgences sanitaires - Bureau pays de l’OMS en RDC (Janvier – Mars 2026),https://reliefweb.int/report/democratic-republic-congo/bulletin-trimestriel-du-programme-des-urgences-sanitaires-bureau-pays-de-loms-en-rdc-janvier-mars-2026,"Country: Democratic Republic of the Congo Source: World Health Organization Please refer to the attached file. 1. Résumé Les trois premiers mois de 2026 ont été marqués par l’intensification des actions de réponse à la crise humanitaire à l’Est du pays, aux épidémies de choléra, mpox, rougeole et la mise en oeuvre d'activités post-Ebola. En effet, le choléra demeure l’urgence principale, avec 83 2"
2026-04-27T02:04:59Z,assessment_survey,DR Congo: République démocratique du Congo - Initiative conjointe de suivi des marchés (ICSM) - Mars 2026,https://reliefweb.int/report/democratic-republic-congo/republique-democratique-du-congo-initiative-conjointe-de-suivi-des-marches-icsm-mars-2026,"Country: Democratic Republic of the Congo Source: REACH Initiative Please refer to the attached file. MESSAGES CLÉS • Le coût médian du MEB, calculé sur l’ensemble des marchés évalués, a augmenté de 5% entre février et mars. Il s’élevait à 399'830 francs congolais (FC) et variait de 263'059 FC au marché central de Kikwit dans la province de Kwilu à 808'329 FC au marché Maroc de Yumbi dans la provi"
2026-04-27T01:40:06Z,humanitarian,World: Gérer durablement les déchets d'emballage – leçons des organisations humanitaires,https://reliefweb.int/report/world/gerer-durablement-les-dechets-demballage-lecons-des-organisations-humanitaires,"Country: World Source: Palladium International Please refer to the attached file. INTRODUCTION L'équipe chargée des opérations humanitaires et de stabilisation (HSOT), financée par l'aide du RoyaumeUni, fournit au gouvernement britannique les capacités et l'expertise spécialisée pour apporter des réponses efficaces aux catastrophes à déclenchement rapide, aux crises et aux situations d'urgence com"
2026-04-27T01:29:16Z,situation_report,Nigeria: Conflict - ETS Situation Report #111 - Reporting period: March 2026,https://reliefweb.int/report/nigeria/nigeria-conflict-ets-situation-report-111-reporting-period-march-2026,"Country: Nigeria Sources: Emergency Telecommunications Cluster, World Food Programme Please refer to the attached file. Led by the World Food Programme (WFP), the ETS was activated in North-East Nigeria in November 2016 in response to the protection crisis. ETS Nigeria Situation Reports are issued monthly. Summary Points • Escalating attacks across Damboa, Banki, Damasak, Monguno, and Ngoshe have "
2026-04-27T01:26:56Z,conflict_escalation,Deaths and Displacement in Lebanon - Update on the Human Rights Situation in Lebanon ( 2 - 22 March 2026),https://reliefweb.int/report/lebanon/deaths-and-displacement-lebanon-update-human-rights-situation-lebanon-2-22-march-2026,Country: Lebanon Source: UN Office of the High Commissioner for Human Rights Please refer to the attached file. SITUATION OVERVIEW Intermittent hostilities between the armed group Hezbollah and Israel persisted despite a ceasefire agreed on 27 November 2024 to bring an end to an intensive phase of conflict that had begun in October 2023. Israeli military operations continued almost daily thereafte
2026-04-27T01:20:29Z,sudan_crisis,"Sudan, conflict Global LTC Teleconference (Telecoms Area) #31 (Date: 16/04/2026 Time: 11:02 UTC)",https://reliefweb.int/report/sudan/sudan-conflict-global-ltc-teleconference-telecoms-area-31-date-16042026-time-1102-utc,"Country: Sudan Sources: Emergency Telecommunications Cluster, World Food Programme Please refer to the attached file."
2026-04-27T00:51:14Z,situation_report,Situation Report (Dry Weather Condition) - Sri Lanka 26th April 2026 at 1000hrs,https://reliefweb.int/report/sri-lanka/situation-report-dry-weather-condition-sri-lanka-26th-april-2026-1000hrs,Country: Sri Lanka Source: Disaster Management Centre of Sri Lanka Please refer to the attached file.
2026-04-27T00:46:38Z,asia_other,Philippines: Mayon Volcano Summary of 24Hr Observation 27 April 2026 12:00 AM [EN/TL],https://reliefweb.int/report/philippines/mayon-volcano-summary-24hr-observation-27-april-2026-1200-am-entl,Country: Philippines Source: Philippine Institute of Volcanology and Seismology Please refer to the attached Infographic.
2026-04-27T00:46:26Z,displacement_idp,Sudan: UNHCR condemns attack on aid truck in North Darfur [EN/AR],https://reliefweb.int/report/sudan/unhcr-condemns-attack-aid-truck-north-darfur-enar,"Country: Sudan Source: UN High Commissioner for Refugees Please refer to the attached file. Khartoum, 26 April 2026 - A truck carrying relief items from UNHCR, the UN Refugee Agency, came under drone attack in North Darfur on Friday, 24 April. The truck carried emergency shelter kits and was on its way to Tawila, where more than 700,000 displaced people have found safety after fleeing fighting in "
2026-04-27T00:44:29Z,situation_report,"DR Congo: Rapport de la situation epidemiologique du cholera en RD Congo (Interne OMS), semaine 15, 2026",https://reliefweb.int/report/democratic-republic-congo/rapport-de-la-situation-epidemiologique-du-cholera-en-rd-congo-interne-oms-semaine-15-2026,"Country: Democratic Republic of the Congo Source: World Health Organization Please refer to the attached file. I. POINTS SAILLANTS • A la semaine 15, la RDC a rapporté 1 117 cas suspects de Cholera et 28 décès soit une létalité de 2.5% répartis dans 16 provinces (sur 26) et 106 zones de santé (sur 519). • Une nouvelle zone de santé a été affectée par l’épidémie de choléra long du corridor fluvial "
