month,total_m,ex_food_m,control_m,mom_pct,yoy_pct,captured_at
2026-03-01,752063,651843,27837,1.66,3.97,2026-04-27T23:12:09Z
2026-02-01,739772,639691,27829,0.72,3.96,2026-04-27T23:12:09Z
2026-01-01,734503,634949,27080,-0.03,3.27,2026-04-27T23:12:09Z
2025-12-01,734717,634830,27176,-0.00,2.43,2026-04-27T23:12:09Z
2025-11-01,734718,634477,27393,0.50,3.21,2026-04-27T23:12:09Z
2025-10-01,731051,631346,27298,-0.16,3.21,2026-04-27T23:12:09Z
2025-09-01,732192,632395,26921,0.07,4.14,2026-04-27T23:12:09Z
2025-08-01,731700,632149,27140,0.55,4.97,2026-04-27T23:12:09Z
2025-07-01,727727,628747,26978,0.65,4.13,2026-04-27T23:12:09Z
2025-06-01,723033,624146,26529,0.97,4.42,2026-04-27T23:12:09Z
2025-05-01,716101,618037,26156,-0.79,3.37,2026-04-27T23:12:09Z
2025-04-01,721789,623521,26020,-0.22,4.97,2026-04-27T23:12:09Z
2025-03-01,723350,625525,25958,1.65,5.19,2026-04-27T23:12:09Z
2025-02-01,711575,616636,25599,0.04,3.84,2026-04-27T23:12:09Z
2025-01-01,711260,615145,25942,-0.84,4.53,2026-04-27T23:12:09Z
2024-12-01,717265,621713,25890,0.76,4.52,2026-04-27T23:12:09Z
2024-11-01,711853,616344,25483,0.50,3.87,2026-04-27T23:12:09Z
2024-10-01,708290,612772,25520,0.74,3.23,2026-04-27T23:12:09Z
2024-09-01,703055,608774,25330,0.86,1.98,2026-04-27T23:12:09Z
2024-08-01,697039,603601,24957,-0.26,1.79,2026-04-27T23:12:09Z
2024-07-01,698835,605814,25279,0.92,3.01,2026-04-27T23:12:09Z
2024-06-01,692449,599979,25247,-0.05,2.26,2026-04-27T23:12:09Z
2024-05-01,692774,600372,25212,0.75,2.80,2026-04-27T23:12:09Z
2024-04-01,687602,595676,24923,-0.01,2.55,2026-04-27T23:12:09Z
2024-03-01,687641,595969,24241,0.34,3.39,2026-04-27T23:12:09Z
2024-02-01,685280,593206,25122,0.71,1.95,2026-04-27T23:12:09Z
2024-01-01,680456,588944,24838,-0.85,0.03,2026-04-27T23:12:09Z
2023-12-01,686277,594256,25141,0.14,5.30,2026-04-27T23:12:09Z
2023-11-01,685328,593567,24838,-0.12,3.92,2026-04-27T23:12:09Z
2023-10-01,686148,595517,24683,-0.47,2.61,2026-04-27T23:12:09Z
2023-09-01,689403,598956,24811,0.68,4.16,2026-04-27T23:12:09Z
2023-08-01,684755,595191,25104,0.93,3.19,2026-04-27T23:12:09Z
2023-07-01,678424,589257,24718,0.19,2.86,2026-04-27T23:12:09Z
2023-06-01,677117,588670,24402,0.48,1.65,2026-04-27T23:12:09Z
2023-05-01,673902,586286,24290,0.51,2.13,2026-04-27T23:12:09Z
2023-04-01,670494,583874,24368,0.82,1.56,2026-04-27T23:12:09Z
