filed_at,form,filer,target_cik,target_name,ticker,url,captured_at
2026-04-24,SC 13D,Mikitani Hiroshi,0001780312,"AST SpaceMobile, Inc.",ASTS,https://www.sec.gov/Archives/edgar/data/1780312/000095010326006184/0000950103-26-006184-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Durgun Cankut,0001852767,"Marti Technologies, Inc.",MRT,https://www.sec.gov/Archives/edgar/data/1852767/000121390026047522/0001213900-26-047522-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Oktem Alper,0001852767,"Marti Technologies, Inc.",MRT,https://www.sec.gov/Archives/edgar/data/1852767/000121390026047524/0001213900-26-047524-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Bradley & Daytona Railway & Land Co. LLC,0001532619,Power REIT,PW,https://www.sec.gov/Archives/edgar/data/1532619/000101905626000081/0001019056-26-000081-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Bradley & Daytona Railway & Land Co. LLC,0001532619,Power REIT,PW,https://www.sec.gov/Archives/edgar/data/1532619/000200513826000004/0002005138-26-000004-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Pani Corp.,0001941131,TORO CORP.,TORO,https://www.sec.gov/Archives/edgar/data/1941131/000095015726000548/0000950157-26-000548-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Slosman Marvin,0001433607,"InspireMD, Inc.",NSPR,https://www.sec.gov/Archives/edgar/data/1433607/000149315226018952/0001493152-26-018952-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,"TPG GP A, LLC",0000949858,"ACHIEVE LIFE SCIENCES, INC.",ACHV,https://www.sec.gov/Archives/edgar/data/949858/000199937126009036/0001999371-26-009036-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,PERCEPTIVE ADVISORS LLC,0001735438,MeiraGTx Holdings plc,MGTX,https://www.sec.gov/Archives/edgar/data/1735438/000119312526177535/0001193125-26-177535-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,TOTH ROBERT,0001056358,MANNATECH INC,MTEX,https://www.sec.gov/Archives/edgar/data/1056358/000121183126000001/0001211831-26-000001-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,SPC Field Partners LLC,0001825384,Stone Point Credit Corp,,https://www.sec.gov/Archives/edgar/data/1825384/000110465926048748/0001104659-26-048748-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,"Perfect Mind Co., Ltd",0001954488,Jyong Biotech Ltd.,MENS,https://www.sec.gov/Archives/edgar/data/1954488/000121390026047468/0001213900-26-047468-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Taylor Paul Richard,0001082733,"VISIUM TECHNOLOGIES, INC.",VISM,https://www.sec.gov/Archives/edgar/data/1082733/000165495426003904/0001654954-26-003904-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Alon Haggai,0001940674,SMX (Security Matters) Public Ltd Co,SMX,https://www.sec.gov/Archives/edgar/data/1940674/000149315226018974/0001493152-26-018974-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,"AE RED HOLDINGS, LLC",0001819810,Redwire Corp,RDW,https://www.sec.gov/Archives/edgar/data/1819810/000110465926048565/0001104659-26-048565-index.htm,2026-04-27T06:34:23Z
2026-04-24,SC 13D,Pinetree Capital Ltd.,0001169445,"TruBridge, Inc.",TBRG,https://www.sec.gov/Archives/edgar/data/1169445/000092189526001076/0000921895-26-001076-index.htm,2026-04-27T06:34:23Z
