kind,ticker,name,form,filed,accession,captured_at
valuation_allowance,RMBS,RAMBUS INC  (RMBS)  (CIK 0000917273),8-K,2026-04-27,0001193125-26-182076:rmbs-ex99_1.htm,2026-04-27T22:53:26Z
restatement,RIOT,"Riot Platforms, Inc.  (RIOT)  (CIK 0001167419)",8-K,2026-04-27,0001104659-26-049432:riot-20260421xex10.htm,2026-04-27T22:53:26Z
restatement,MSDL,Morgan Stanley Direct Lending Fund  (MSDL)  (CIK 0001782524),8-K,2026-04-27,0001193125-26-182043:d100787dex101.htm,2026-04-27T22:53:26Z
restatement,,Blackstone Private Credit Fund  (CIK 0001803498),8-K,2026-04-27,0001193125-26-182132:d151396dex52.htm,2026-04-27T22:53:26Z
restatement,SWK,"STANLEY BLACK & DECKER, INC.  (SWK)  (CIK 0000093556)",8-K,2026-04-27,0001193125-26-182041:d930480dex101.htm,2026-04-27T22:53:26Z
non_reliance,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:53:26Z
non_reliance,,Golub Capital Private Credit Fund  (CIK 0001930087),8-K,2026-04-27,0001104659-26-049293:tm2612711d1_ex10-1.htm,2026-04-27T22:53:26Z
restatement,,Apollo Asset Backed Credit Co LLC  (CIK 0002000597),8-K,2026-04-24,0001193125-26-177675:ck0002000597-20260424.htm,2026-04-27T22:53:26Z
non_reliance,LRHC,La Rosa Holdings Corp.  (LRHC)  (CIK 0001879403),8-K,2026-04-24,0001213900-26-047626:ea0287727-8k_larosa.htm,2026-04-27T22:53:26Z
non_reliance,,"Alpine Income Property Trust, Inc.  (PINE, PINE-PA)  (CIK 0001786117)",8-K,2026-04-24,0001104659-26-048605:tm2612622d3_ex1-5.htm,2026-04-27T22:53:26Z
audit_opinion,,Redwood Mortgage Investors IX  (CIK 0001448038),8-K,2026-04-24,0001193125-26-177632:d138456d8k.htm,2026-04-27T22:53:26Z
adverse_opinion,,Redwood Mortgage Investors IX  (CIK 0001448038),8-K,2026-04-24,0001193125-26-177632:d138456d8k.htm,2026-04-27T22:53:26Z
valuation_allowance,,"NEWMONT Corp /DE/  (NEM, NEMCL)  (CIK 0001164727)",8-K,2026-04-23,0001164727-26-000017:newmontq12026earningsrelea.htm,2026-04-27T22:53:26Z
substantial_doubt,DRCT,"Direct Digital Holdings, Inc.  (DRCT)  (CIK 0001880613)",8-K,2026-04-23,0001880613-26-000044:a991pressrelease-reversest.htm,2026-04-27T22:53:26Z
restatement,TDY,TELEDYNE TECHNOLOGIES INC  (TDY)  (CIK 0001094285),8-K,2026-04-23,0001193125-26-171087:d116221d8k.htm,2026-04-27T22:53:26Z
restatement,,"M&T BANK CORP  (MTB, MTB-PH, MTB-PJ, MTB-PK)  (CIK 0000036270)",8-K,2026-04-23,0000036270-26-000027:mbt-20260421.htm,2026-04-27T22:53:26Z
restatement,KEYS,"Keysight Technologies, Inc.  (KEYS)  (CIK 0001601046)",8-K,2026-04-23,0001601046-26-000017:keysight_arcreditagreeme.htm,2026-04-27T22:53:26Z
