kind,ticker,cik,company,file_date,accession_id,captured_at
phase_3_data,NTLA,0001652130,"Intellia Therapeutics, Inc.",2026-04-27,0001193125-26-179401,2026-04-27T22:50:42Z
phase_3_data,MANE,0001827635,"Veradermics, Inc",2026-04-27,0001628280-26-027354,2026-04-27T22:50:42Z
phase_3_data,LGND,0000886163,LIGAND PHARMACEUTICALS INC,2026-04-27,0001193125-26-179529,2026-04-27T22:50:42Z
clinical_trial,XOMA,0000791908,XOMA Royalty Corp,2026-04-27,0001193125-26-181885,2026-04-27T22:50:42Z
clinical_trial,TERN,0001831363,"Terns Pharmaceuticals, Inc.",2026-04-27,0001193125-26-179062,2026-04-27T22:50:42Z
clinical_trial,SGMT,0001400118,Sagimet Biosciences Inc.,2026-04-27,0001104659-26-049015,2026-04-27T22:50:42Z
clinical_trial,NTLA,0001652130,"Intellia Therapeutics, Inc.",2026-04-27,0001193125-26-179401,2026-04-27T22:50:42Z
regulatory_approval,MGTX,0001735438,MeiraGTx Holdings plc,2026-04-24,0001104659-26-048196,2026-04-27T22:50:42Z
regulatory_approval,FOLD,0001178879,"AMICUS THERAPEUTICS, INC.",2026-04-23,0001140361-26-016371,2026-04-27T22:50:42Z
regulatory_approval,CNTB,0001835268,Connect Biopharma Holdings Ltd,2026-04-23,0001835268-26-000016,2026-04-27T22:50:42Z
clinical_trial,IMUX,0001280776,"IMMUNIC, INC.",2026-04-23,0001193805-26-000495,2026-04-27T22:50:42Z
clinical_trial,EW,0001099800,Edwards Lifesciences Corp,2026-04-23,0001099800-26-000021,2026-04-27T22:50:42Z
regulatory_approval,SR,0001126956,SPIRE INC,2026-04-22,0001193125-26-168301,2026-04-27T22:50:42Z
regulatory_approval,SIGI,0000230557,SELECTIVE INSURANCE GROUP INC,2026-04-22,0000230557-26-000008,2026-04-27T22:50:42Z
regulatory_approval,HURA,0001498382,"TuHURA Biosciences, Inc./NV",2026-04-22,0001193125-26-168395,2026-04-27T22:50:42Z
regulatory_approval,AMRX,0001723128,"Amneal Pharmaceuticals, Inc.",2026-04-22,0001193125-26-168231,2026-04-27T22:50:42Z
phase_3_data,DFTX,0001813814,"Definium Therapeutics, Inc.",2026-04-22,0001193125-26-170509,2026-04-27T22:50:42Z
clinical_trial,SABS,0001833214,"SAB Biotherapeutics, Inc.",2026-04-22,0001193125-26-168569,2026-04-27T22:50:42Z
clinical_trial,BSX,0000885725,BOSTON SCIENTIFIC CORP,2026-04-22,0000885725-26-000031,2026-04-27T22:50:42Z
regulatory_approval,BHB,0000743367,BAR HARBOR BANKSHARES,2026-04-21,0001104659-26-046024,2026-04-27T22:50:42Z
regulatory_approval,ALGS,0001799448,"Aligos Therapeutics, Inc.",2026-04-21,0001193125-26-166987,2026-04-27T22:50:42Z
regulatory_approval,TRAX,0002091349,"First Tracks Biotherapeutics, Inc.",2026-04-20,0001193125-26-164328,2026-04-27T22:50:42Z
regulatory_approval,NKTR,0000906709,NEKTAR THERAPEUTICS,2026-04-20,0001193125-26-162763,2026-04-27T22:50:42Z
regulatory_approval,BCDA,0000925741,"BioCardia, Inc.",2026-04-20,0001437749-26-012764,2026-04-27T22:50:42Z
phase_3_data,MNPR,0001645469,Monopar Therapeutics,2026-04-20,0001437749-26-012751,2026-04-27T22:50:42Z
clinical_trial,PRLD,0001678660,Prelude Therapeutics Inc,2026-04-20,0001193125-26-162620,2026-04-27T22:50:42Z
clinical_trial,BCYC,0001761612,BICYCLE THERAPEUTICS PLC,2026-04-20,0001104659-26-045198,2026-04-27T22:50:42Z
regulatory_approval,TRVI,0001563880,"Trevi Therapeutics, Inc.",2026-04-17,0001193125-26-160355,2026-04-27T22:50:42Z
regulatory_approval,MGTX,0001735438,MeiraGTx Holdings plc,2026-04-16,0001104659-26-044028,2026-04-27T22:50:42Z
phase_3_data,MGTX,0001735438,MeiraGTx Holdings plc,2026-04-16,0001104659-26-044028,2026-04-27T22:50:42Z
clinical_trial,AKTS,0002035832,"Aktis Oncology, Inc.",2026-04-16,0001193125-26-158944,2026-04-27T22:50:42Z
regulatory_approval,YHC,0001843165,LQR House Inc.,2026-04-15,0001213900-26-044043,2026-04-27T22:50:42Z
regulatory_approval,TNGX,0001819133,"Tango Therapeutics, Inc.",2026-04-15,0001193125-26-156127,2026-04-27T22:50:42Z
regulatory_approval,RVPH,0001742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.",2026-04-15,0001437749-26-012303,2026-04-27T22:50:42Z
regulatory_approval,GOVX,0000832489,"GeoVax Labs, Inc.",2026-04-15,0001437749-26-012435,2026-04-27T22:50:42Z
clinical_trial,TNGX,0001819133,"Tango Therapeutics, Inc.",2026-04-15,0001193125-26-156127,2026-04-27T22:50:42Z
clinical_trial,PRLD,0001678660,Prelude Therapeutics Inc,2026-04-15,0001193125-26-155978,2026-04-27T22:50:42Z
clinical_trial,ETON,0001710340,"Eton Pharmaceuticals, Inc.",2026-04-15,0001437749-26-012381,2026-04-27T22:50:42Z
regulatory_approval,EYPT,0001314102,"EyePoint, Inc.",2026-04-13,0001193125-26-152852,2026-04-27T22:50:42Z
clinical_trial,SEPN,0001984086,"Septerna, Inc.",2026-04-13,0001193125-26-152045,2026-04-27T22:50:42Z
clinical_trial,REPL,0001737953,"Replimune Group, Inc.",2026-04-13,0001104659-26-042141,2026-04-27T22:50:42Z
clinical_trial,EYPT,0001314102,"EyePoint, Inc.",2026-04-13,0001193125-26-152852,2026-04-27T22:50:42Z
clinical_trial,ANVS,0001477845,"Annovis Bio, Inc.",2026-04-10,0001104659-26-041584,2026-04-27T22:50:42Z
clinical_trial,IDYA,0001676725,"IDEAYA Biosciences, Inc.",2026-04-09,0001193125-26-148777,2026-04-27T22:50:42Z
clinical_trial,ASRT,0001808665,"Assertio Holdings, Inc.",2026-04-09,0001104659-26-041236,2026-04-27T22:50:42Z
regulatory_approval,ENSC,0001716947,"Ensysce Biosciences, Inc.",2026-04-08,0001493152-26-015602,2026-04-27T22:50:42Z
phase_3_data,MAIA,0001878313,"MAIA Biotechnology, Inc.",2026-04-08,0001493152-26-015662,2026-04-27T22:50:42Z
regulatory_approval,TLSI,0001826667,"TriSalus Life Sciences, Inc.",2026-04-07,0001628280-26-023991,2026-04-27T22:50:42Z
regulatory_approval,SUPN,0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2026-04-07,0001104659-26-040497,2026-04-27T22:50:42Z
regulatory_approval,NWBO,0001072379,NORTHWEST BIOTHERAPEUTICS INC,2026-04-07,0001104659-26-040260,2026-04-27T22:50:42Z
phase_3_data,PVLA,0001583648,"PALVELLA THERAPEUTICS, INC.",2026-04-07,0001193125-26-144540,2026-04-27T22:50:42Z
clinical_trial,TRAX,0002091349,"First Tracks Biotherapeutics, Inc.",2026-04-03,0001193125-26-140835,2026-04-27T22:50:42Z
regulatory_approval,CNTX,0001842952,Context Therapeutics Inc.,2026-04-02,0001628280-26-022931,2026-04-27T22:50:42Z
phase_3_data,ROIV,0001635088,Roivant Sciences Ltd.,2026-04-02,0001140361-26-012885,2026-04-27T22:50:42Z
clinical_trial,IMUX,0001280776,"IMMUNIC, INC.",2026-04-01,0001193805-26-000382,2026-04-27T22:50:42Z
regulatory_approval,ZBIO,0001953926,"Zenas BioPharma, Inc.",2026-03-31,0001104659-26-037821,2026-04-27T22:50:42Z
