kind,ticker,cik,company,file_date,accession_id,captured_at
government_contract,ELSE,0000351789,ELECTRO SENSORS INC,2026-04-27,0000897101-26-000148,2026-04-27T22:50:50Z
contract_award,NE,0001895262,Noble Corp plc,2026-04-27,0001895262-26-000108,2026-04-27T22:50:50Z
government_contract,HLX,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,2026-04-24,0001140361-26-016767,2026-04-27T22:50:50Z
government_contract,ELMT,0002101698,Elmet Group Co.,2026-04-24,0001213900-26-047521,2026-04-27T22:50:50Z
government_contract,ATEK,0001882198,Athena Technology Acquisition Corp. II,2026-04-23,0001213900-26-047101,2026-04-27T22:50:50Z
government_contract,RS,0000861884,"RELIANCE, INC.",2026-04-22,0001171843-26-002647,2026-04-27T22:50:50Z
government_contract,CACI,0000016058,CACI INTERNATIONAL INC /DE/,2026-04-22,0001628280-26-026589,2026-04-27T22:50:50Z
defense_contract,CACI,0000016058,CACI INTERNATIONAL INC /DE/,2026-04-22,0001628280-26-026589,2026-04-27T22:50:50Z
government_contract,MMM,0000066740,3M CO,2026-04-21,0000066740-26-000171,2026-04-27T22:50:50Z
government_contract,BRC,0000746598,BRADY CORP,2026-04-21,0000746598-26-000014,2026-04-27T22:50:50Z
government_contract,AVEX,0002096300,AEVEX Corp.,2026-04-20,0001193125-26-164202,2026-04-27T22:50:50Z
government_contract,EBS,0001367644,Emergent BioSolutions Inc.,2026-04-17,0001367644-26-000038,2026-04-27T22:50:50Z
government_contract,ICFI,0001362004,"ICF International, Inc.",2026-04-16,0001437749-26-012565,2026-04-27T22:50:50Z
government_contract,CDNA,0001217234,"CareDx, Inc.",2026-04-16,0001104659-26-043970,2026-04-27T22:50:50Z
defense_contract,ICFI,0001362004,"ICF International, Inc.",2026-04-16,0001437749-26-012565,2026-04-27T22:50:50Z
government_contract,SR,0001126956,SPIRE INC,2026-04-15,0001193125-26-155936,2026-04-27T22:50:50Z
government_contract,LDOS,0001336920,"Leidos Holdings, Inc.",2026-04-15,0001193125-26-155884,2026-04-27T22:50:50Z
government_contract,GOVX,0000832489,"GeoVax Labs, Inc.",2026-04-15,0001437749-26-012435,2026-04-27T22:50:50Z
defense_contract,XTIA,0001529113,"XTI Aerospace, Inc.",2026-04-15,0001213900-26-043794,2026-04-27T22:50:50Z
government_contract,GSAT,0001366868,"Globalstar, Inc.",2026-04-14,0001140361-26-014528,2026-04-27T22:50:50Z
contract_award,AGSS,0001514443,"AMERIGUARD SECURITY SERVICES, INC.",2026-04-13,0001213900-26-042631,2026-04-27T22:50:50Z
government_contract,CSTAF,0001834032,Constellation Acquisition Corp I,2026-04-09,0001213900-26-042083,2026-04-27T22:50:50Z
government_contract,CNTM,0001895249,"ConnectM Technology Solutions, Inc.",2026-04-07,0001104659-26-040183,2026-04-27T22:50:50Z
government_contract,CYCU,0001868419,"Cycurion, Inc.",2026-04-06,0001868419-26-000014,2026-04-27T22:50:50Z
patent_litigation,TRAX,0002091349,"First Tracks Biotherapeutics, Inc.",2026-04-03,0001193125-26-140835,2026-04-27T22:50:50Z
government_contract,LNN,0000836157,LINDSAY CORP,2026-04-02,0001193125-26-138910,2026-04-27T22:50:50Z
government_contract,AGIG,0001156041,"ABUNDIA GLOBAL IMPACT GROUP, INC.",2026-04-02,0001493152-26-014820,2026-04-27T22:50:50Z
patent_granted,CODX,0001692415,"Co-Diagnostics, Inc.",2026-03-31,0001493152-26-014129,2026-04-27T22:50:50Z
government_contract,RCAT,0000748268,"Red Cat Holdings, Inc.",2026-03-31,0001628280-26-022154,2026-04-27T22:50:50Z
government_contract,LNZA,0001843724,"LanzaTech Global, Inc.",2026-03-31,0001628280-26-022503,2026-04-27T22:50:50Z
contract_award,TE,0001992243,T1 Energy Inc.,2026-03-31,0001213900-26-036817,2026-04-27T22:50:50Z
patent_litigation,TBPH,0001583107,"Theravance Biopharma, Inc.",2026-03-30,0001104659-26-036870,2026-04-27T22:50:50Z
patent_granted,APRE,0001781983,"Aprea Therapeutics, Inc.",2026-03-30,0001104659-26-036821,2026-04-27T22:50:50Z
government_contract,LDOS,0001336920,"Leidos Holdings, Inc.",2026-03-30,0001193125-26-130304,2026-04-27T22:50:50Z
government_contract,BMNR,0001829311,"BITMINE IMMERSION TECHNOLOGIES, INC.",2026-03-30,0001493152-26-013609,2026-04-27T22:50:50Z
contract_award,SYPR,0000864240,SYPRIS SOLUTIONS INC,2026-03-26,0001437749-26-009845,2026-04-27T22:50:50Z
contract_award,LUCD,0001799011,Lucid Diagnostics Inc.,2026-03-26,0001493152-26-012807,2026-04-27T22:50:50Z
patent_litigation,TERN,0001831363,"Terns Pharmaceuticals, Inc.",2026-03-25,0001193125-26-122785,2026-04-27T22:50:50Z
government_contract,TERN,0001831363,"Terns Pharmaceuticals, Inc.",2026-03-25,0001193125-26-122785,2026-04-27T22:50:50Z
government_contract,MNSB,0001693577,"MainStreet Bancshares, Inc.",2026-03-25,0001437749-26-009702,2026-04-27T22:50:50Z
government_contract,INTZ,0000736012,INTRUSION INC,2026-03-24,0001683168-26-002167,2026-04-27T22:50:50Z
government_contract,INOD,0000903651,INNODATA INC,2026-03-24,0001104659-26-033893,2026-04-27T22:50:50Z
defense_contract,INOD,0000903651,INNODATA INC,2026-03-24,0001104659-26-033893,2026-04-27T22:50:50Z
contract_award,INTZ,0000736012,INTRUSION INC,2026-03-24,0001683168-26-002167,2026-04-27T22:50:50Z
patent_litigation,ROIV,0001635088,Roivant Sciences Ltd.,2026-03-23,0001140361-26-010656,2026-04-27T22:50:50Z
patent_litigation,ABUS,0001447028,Arbutus Biopharma Corp,2026-03-23,0001171843-26-001838,2026-04-27T22:50:50Z
patent_granted,HLIT,0000851310,HARMONIC INC.,2026-03-23,0001193125-26-119977,2026-04-27T22:50:50Z
government_contract,ONDS,0001646188,Ondas Inc.,2026-03-23,0001213900-26-032684,2026-04-27T22:50:50Z
government_contract,BACQ,0002028707,"Merlin, Inc.",2026-03-20,0001213900-26-032329,2026-04-27T22:50:50Z
patent_litigation,CRIS,0001108205,CURIS INC,2026-03-19,0001108205-26-000030,2026-04-27T22:50:50Z
government_contract,UAMY,0000101538,UNITED STATES ANTIMONY CORP,2026-03-19,0001104659-26-032050,2026-04-27T22:50:50Z
contract_award,FLY,0001860160,Firefly Aerospace Inc.,2026-03-19,0001193125-26-115970,2026-04-27T22:50:50Z
patent_granted,CING,0001862150,Cingulate Inc.,2026-03-18,0001493152-26-010881,2026-04-27T22:50:50Z
defense_contract,SEGG,0001673481,Sports Entertainment Gaming Global Corp,2026-03-18,0001493152-26-011299,2026-04-27T22:50:50Z
patent_litigation,NTIP,0001065078,"NETWORK-1 TECHNOLOGIES, INC.",2026-03-17,0001072613-26-000279,2026-04-27T22:50:50Z
government_contract,RKLB,0001819994,Rocket Lab Corp,2026-03-17,0001628280-26-018789,2026-04-27T22:50:50Z
government_contract,ONDS,0001646188,Ondas Inc.,2026-03-17,0001213900-26-028724,2026-04-27T22:50:50Z
patent_litigation,FENC,0001211583,FENNEC PHARMACEUTICALS INC.,2026-03-16,0001104659-26-028595,2026-04-27T22:50:50Z
patent_granted,APRE,0001781983,"Aprea Therapeutics, Inc.",2026-03-16,0001104659-26-028046,2026-04-27T22:50:50Z
contract_award,AWR,0001056903,AMERICAN STATES WATER CO,2026-03-13,0001628280-26-017733,2026-04-27T22:50:50Z
government_contract,PLMK,0002030482,"Plum Acquisition Corp, IV",2026-03-12,0001213900-26-026265,2026-04-27T22:50:50Z
contract_award,TH,0001712189,Target Hospitality Corp.,2026-03-11,0001104659-26-026114,2026-04-27T22:50:50Z
contract_award,FTK,0000928054,FLOTEK INDUSTRIES INC/CN/,2026-03-11,0000928054-26-000018,2026-04-27T22:50:50Z
patent_litigation,ESPR,0001434868,"Esperion Therapeutics, Inc.",2026-03-10,0001628280-26-016230,2026-04-27T22:50:50Z
contract_award,AVAV,0001368622,AeroVironment Inc,2026-03-10,0001104659-26-025841,2026-04-27T22:50:50Z
government_contract,TPICQ,0001455684,"TPI COMPOSITES, INC",2026-03-09,0001193125-26-097651,2026-04-27T22:50:50Z
government_contract,ONDS,0001646188,Ondas Inc.,2026-03-09,0001213900-26-024965,2026-04-27T22:50:50Z
defense_contract,SLDP,0001844862,"Solid Power, Inc.",2026-03-06,0001104659-26-024728,2026-04-27T22:50:50Z
contract_award,SLDP,0001844862,"Solid Power, Inc.",2026-03-06,0001104659-26-024728,2026-04-27T22:50:50Z
patent_litigation,PACK,0001712463,Ranpak Holdings Corp.,2026-03-05,0001628280-26-014998,2026-04-27T22:50:50Z
patent_litigation,LQDA,0001819576,Liquidia Corp,2026-03-05,0001104659-26-023794,2026-04-27T22:50:50Z
government_contract,INVH,0001687229,Invitation Homes Inc.,2026-03-05,0001687229-26-000024,2026-04-27T22:50:50Z
government_contract,ZD,0001084048,"ZIFF DAVIS, INC.",2026-03-04,0001193125-26-089778,2026-04-27T22:50:50Z
patent_litigation,ABUS,0001447028,Arbutus Biopharma Corp,2026-03-03,0001171843-26-001299,2026-04-27T22:50:50Z
patent_granted,ESPR,0001434868,"Esperion Therapeutics, Inc.",2026-03-03,0001628280-26-013552,2026-04-27T22:50:50Z
government_contract,RIGL,0001034842,RIGEL PHARMACEUTICALS INC,2026-03-03,0001034842-26-000016,2026-04-27T22:50:50Z
government_contract,MOG-A,0000067887,MOOG INC.,2026-03-03,0001628280-26-013594,2026-04-27T22:50:50Z
government_contract,MBUU,0001590976,"MALIBU BOATS, INC.",2026-03-02,0001590976-26-000010,2026-04-27T22:50:50Z
government_contract,DHX,0001393883,"DHI GROUP, INC.",2026-03-02,0001393883-26-000053,2026-04-27T22:50:50Z
government_contract,CERS,0001020214,CERUS CORP,2026-03-02,0001193125-26-085350,2026-04-27T22:50:50Z
government_contract,ASTS,0001780312,"AST SpaceMobile, Inc.",2026-03-02,0001780312-26-000005,2026-04-27T22:50:50Z
contract_award,UNIT,0002020795,Uniti Group Inc.,2026-03-02,0001628280-26-013006,2026-04-27T22:50:50Z
contract_award,OMQS,0000278165,OMNIQ Corp.,2026-03-02,0001171843-26-001226,2026-04-27T22:50:50Z
contract_award,DHX,0001393883,"DHI GROUP, INC.",2026-03-02,0001393883-26-000053,2026-04-27T22:50:50Z
contract_award,ASTS,0001780312,"AST SpaceMobile, Inc.",2026-03-02,0001780312-26-000005,2026-04-27T22:50:50Z
patent_litigation,VIA,0001603015,"Via Transportation, Inc.",2026-02-27,0001603015-26-000002,2026-04-27T22:50:50Z
government_contract,DRDB,0002032528,Roman DBDR Acquisition Corp. II,2026-02-27,0001104659-26-020981,2026-04-27T22:50:50Z
government_contract,DNA,0001830214,"Ginkgo Bioworks Holdings, Inc.",2026-02-27,0001628280-26-012552,2026-04-27T22:50:50Z
patent_litigation,LNTH,0001521036,"Lantheus Holdings, Inc.",2026-02-26,0001193125-26-073439,2026-04-27T22:50:50Z
patent_litigation,CTKB,0001831915,"Cytek Biosciences, Inc.",2026-02-26,0001193125-26-076768,2026-04-27T22:50:50Z
patent_litigation,,,"Atrium Therapeutics, Inc.  (CIK 0002093101)",2026-02-26,0001193125-26-077105,2026-04-27T22:50:50Z
government_contract,ICFI,0001362004,"ICF International, Inc.",2026-02-26,0001193125-26-076573,2026-04-27T22:50:50Z
contract_award,UUUU,0001385849,ENERGY FUELS INC,2026-02-26,0001062993-26-001182,2026-04-27T22:50:50Z
contract_award,EBS,0001367644,Emergent BioSolutions Inc.,2026-02-26,0001367644-26-000012,2026-04-27T22:50:50Z
