kind,ticker,cik,company,file_date,accession_id,captured_at
warrant_exercise,GRCE,0001444192,"Grace Therapeutics, Inc.",2026-04-27,0001140361-26-016834,2026-04-27T22:50:37Z
spinoff,NVRI,0000045876,ENVIRI Corp,2026-04-27,0000045876-26-000075,2026-04-27T22:50:37Z
special_dividend,BSRR,0001130144,SIERRA BANCORP,2026-04-27,0001104659-26-049086,2026-04-27T22:50:37Z
special_dividend,BMRC,0001403475,Bank of Marin Bancorp,2026-04-27,0001403475-26-000025,2026-04-27T22:50:37Z
warrant_exercise,NTHI,0001979414,"NEONC TECHNOLOGIES HOLDINGS, INC.",2026-04-24,0001829126-26-003882,2026-04-27T22:50:37Z
warrant_exercise,HLX,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,2026-04-24,0001140361-26-016767,2026-04-27T22:50:37Z
warrant_exercise,FLG,0000910073,"FLAGSTAR BANK, NATIONAL ASSOCIATION",2026-04-24,0000910073-26-000035,2026-04-27T22:50:37Z
warrant_exercise,CTXR,0001506251,"Citius Pharmaceuticals, Inc.",2026-04-24,0001213900-26-047599,2026-04-27T22:50:37Z
warrant_exercise,AIHS,0001711012,Senmiao Technology Ltd,2026-04-24,0001213900-26-047580,2026-04-27T22:50:37Z
spinoff,BIO,0000012208,"BIO-RAD LABORATORIES, INC.",2026-04-24,0000012208-26-000024,2026-04-27T22:50:37Z
spinoff,ANAB,0001370053,"ANAPTYSBIO, INC",2026-04-24,0001193125-26-177317,2026-04-27T22:50:37Z
special_dividend,CCFN,0000731122,MUNCY COLUMBIA FINANCIAL Corp,2026-04-24,0001174947-26-000509,2026-04-27T22:50:37Z
special_dividend,ADC,0000917251,AGREE REALTY CORP,2026-04-24,0001628280-26-027250,2026-04-27T22:50:37Z
special_dividend,,,Federal Home Loan Bank of San Francisco  (CIK 0001,2026-04-24,0001316944-26-000080,2026-04-27T22:50:37Z
spinoff,VTAK,0001716621,"Catheter Precision, Inc.",2026-04-23,0001437749-26-013183,2026-04-27T22:50:37Z
spinoff,THRM,0000903129,Gentherm Inc,2026-04-23,0001193125-26-173969,2026-04-27T22:50:37Z
spinoff,TDY,0001094285,TELEDYNE TECHNOLOGIES INC,2026-04-23,0001193125-26-171087,2026-04-27T22:50:37Z
spinoff,HON,0000773840,HONEYWELL INTERNATIONAL INC,2026-04-23,0000773840-26-000055,2026-04-27T22:50:37Z
spinoff,CASS,0000708781,CASS INFORMATION SYSTEMS INC,2026-04-23,0000708781-26-000020,2026-04-27T22:50:37Z
special_dividend,THRM,0000903129,Gentherm Inc,2026-04-23,0001193125-26-173969,2026-04-27T22:50:37Z
special_dividend,RBCAA,0000921557,REPUBLIC BANCORP INC /KY/,2026-04-23,0001104659-26-047386,2026-04-27T22:50:37Z
special_dividend,PCB,0001423869,PCB BANCORP,2026-04-23,0001423869-26-000015,2026-04-27T22:50:37Z
special_dividend,OVLY,0001431567,Oak Valley Bancorp,2026-04-23,0001437749-26-013128,2026-04-27T22:50:37Z
special_dividend,ORI,0000074260,OLD REPUBLIC INTERNATIONAL CORP,2026-04-23,0000074260-26-000066,2026-04-27T22:50:37Z
special_dividend,OPBK,0001722010,OP Bancorp,2026-04-23,0001722010-26-000009,2026-04-27T22:50:37Z
special_dividend,BRBS,0000842717,"BLUE RIDGE BANKSHARES, INC.",2026-04-23,0001193125-26-173957,2026-04-27T22:50:37Z
special_dividend,BCML,0001730984,BayCom Corp,2026-04-23,0001730984-26-000032,2026-04-27T22:50:37Z
warrant_exercise,VVOS,0001716166,"Vivos Therapeutics, Inc.",2026-04-22,0001493152-26-018562,2026-04-27T22:50:37Z
warrant_exercise,NHIV,0002099767,NewHold Investment Corp IV,2026-04-22,0001213900-26-046704,2026-04-27T22:50:37Z
special_dividend,BANC,0001169770,"BANC OF CALIFORNIA, INC.",2026-04-22,0001628280-26-026554,2026-04-27T22:50:37Z
spinoff,PRLD,0001678660,Prelude Therapeutics Inc,2026-04-21,0001193125-26-164510,2026-04-27T22:50:37Z
spinoff,MMM,0000066740,3M CO,2026-04-21,0000066740-26-000171,2026-04-27T22:50:37Z
spinoff,LBSR,0001172178,LIBERTY STAR URANIUM & METALS CORP.,2026-04-21,0001493152-26-018380,2026-04-27T22:50:37Z
spinoff,HPQ,0000047217,HP INC,2026-04-21,0000047217-26-000019,2026-04-27T22:50:37Z
spinoff,CRWD,0001535527,"CrowdStrike Holdings, Inc.",2026-04-21,0001535527-26-000018,2026-04-27T22:50:37Z
special_dividend,HAFC,0001109242,HANMI FINANCIAL CORP,2026-04-21,0001171843-26-002616,2026-04-27T22:50:37Z
special_dividend,AMRZ,0002035989,Amrize Ltd,2026-04-21,0002035989-26-000043,2026-04-27T22:50:37Z
warrant_exercise,SIDU,0001879726,Sidus Space Inc.,2026-04-20,0001493152-26-018126,2026-04-27T22:50:37Z
