kind,ticker,name,form,filed,accession,captured_at
ransomware,OCFC,OCEANFIRST FINANCIAL CORP  (OCFC)  (CIK 0001004702),8-K,2026-04-27,0001004702-26-000041:ex991-mergerfedapprovalxap.htm,2026-04-27T22:52:16Z
ransomware,FFIC,FLUSHING FINANCIAL CORP  (FFIC)  (CIK 0000923139),8-K,2026-04-27,0001104659-26-049027:ffic-20260427x8k.htm,2026-04-27T22:52:16Z
ransomware,FFIC,FLUSHING FINANCIAL CORP  (FFIC)  (CIK 0000923139),8-K,2026-04-27,0001104659-26-049027:ffic-20260427xex99d1.htm,2026-04-27T22:52:16Z
ransomware,OCFC,OCEANFIRST FINANCIAL CORP  (OCFC)  (CIK 0001004702),8-K,2026-04-27,0001004702-26-000041:ocfc-20260427.htm,2026-04-27T22:52:16Z
ransomware,,"Public Storage  (PSA, PSA-PF, PSA-PG, PSA-PH, PSA-PI, PSA-PJ, PSA-PK, PSA-PL, PS",8-K,2026-04-27,0001628280-26-027484:psa-042726xex99_1.htm,2026-04-27T22:52:16Z
ransomware,ARLP,ALLIANCE RESOURCE PARTNERS LP  (ARLP)  (CIK 0001086600),8-K,2026-04-27,0001104659-26-049042:arlp-20260427xex99d1.htm,2026-04-27T22:52:16Z
ransomware,,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)  (CIK 0000886163)",8-K,2026-04-27,0001193125-26-179529:d143046dex21.htm,2026-04-27T22:52:16Z
ransomware,,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",8-K,2026-04-27,0001193125-26-179085:d139894dex21.htm,2026-04-27T22:52:16Z
ransomware,ELSE,ELECTRO SENSORS INC  (ELSE)  (CIK 0000351789),8-K/A,2026-04-27,0000897101-26-000148:a04242026_ex2-1.htm,2026-04-27T22:52:16Z
force_majeure,USEG,US ENERGY CORP  (USEG)  (CIK 0000101594),8-K,2026-04-27,0001437749-26-013368:useg20260424_8k.htm,2026-04-27T22:52:16Z
supply_chain,PG,PROCTER & GAMBLE Co  (PG)  (CIK 0000080424),8-K,2026-04-24,0000080424-26-000057:q3fy2026slides.htm,2026-04-27T22:52:16Z
ransomware,HLX,HELIX ENERGY SOLUTIONS GROUP INC  (HLX)  (CIK 0000866829),8-K,2026-04-24,0001140361-26-016767:ef20071301_ex2-1.htm,2026-04-27T22:52:16Z
force_majeure,MGTX,MeiraGTx Holdings plc  (MGTX)  (CIK 0001735438),8-K,2026-04-24,0001104659-26-048196:mgtx-20260420xex10d3.htm,2026-04-27T22:52:16Z
force_majeure,GNTX,GENTEX CORP  (GNTX)  (CIK 0000355811),8-K,2026-04-24,0000355811-26-000021:exhibit99103312026.htm,2026-04-27T22:52:16Z
force_majeure,SLB,SLB LIMITED/NV  (SLB)  (CIK 0000087347),8-K,2026-04-24,0001193125-26-174940:d111579dex99.htm,2026-04-27T22:52:16Z
cyberattack,HLX,HELIX ENERGY SOLUTIONS GROUP INC  (HLX)  (CIK 0000866829),8-K,2026-04-24,0001140361-26-016767:ef20071301_ex2-1.htm,2026-04-27T22:52:16Z
ransomware,VC,VISTEON CORP  (VC)  (CIK 0001111335),8-K,2026-04-23,0001111335-26-000015:visteonq12026pr.htm,2026-04-27T22:52:16Z
ransomware,ABCB,Ameris Bancorp  (ABCB)  (CIK 0000351569),8-K,2026-04-23,0000351569-26-000079:a1q26earningspresentatio.htm,2026-04-27T22:52:16Z
ransomware,SMBC,"SOUTHERN MISSOURI BANCORP, INC.  (SMBC)  (CIK 0000916907)",8-K,2026-04-23,0001104659-26-046973:smbc-20260421xex99d1.htm,2026-04-27T22:52:16Z
ransomware,TCBK,TRICO BANCSHARES /  (TCBK)  (CIK 0000356171),8-K,2026-04-23,0000356171-26-000040:a2026q1tcbkinvestorprese.htm,2026-04-27T22:52:16Z
ransomware,ABCB,Ameris Bancorp  (ABCB)  (CIK 0000351569),8-K,2026-04-23,0000351569-26-000079:exhibit991pressreleasedate.htm,2026-04-27T22:52:16Z
ransomware,,"VALLEY NATIONAL BANCORP  (VLY, VLYPN, VLYPO, VLYPP)  (CIK 0000714310)",8-K,2026-04-23,0000714310-26-000020:a1q26earningspresentatio.htm,2026-04-27T22:52:16Z
ransomware,TCBK,TRICO BANCSHARES /  (TCBK)  (CIK 0000356171),8-K,2026-04-23,0000356171-26-000040:tcbk-20263318xkearningsrel.htm,2026-04-27T22:52:16Z
ransomware,,"VALLEY NATIONAL BANCORP  (VLY, VLYPN, VLYPO, VLYPP)  (CIK 0000714310)",8-K,2026-04-23,0000714310-26-000020:exhibit991earningsrelease0.htm,2026-04-27T22:52:16Z
ransomware,CPIX,CUMBERLAND PHARMACEUTICALS INC  (CPIX)  (CIK 0001087294),8-K,2026-04-23,0001104659-26-047335:tm2611622d1_ex2-1.htm,2026-04-27T22:52:16Z
ransomware,HON,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840),8-K,2026-04-23,0000773840-26-000058:hon-20260423.htm,2026-04-27T22:52:16Z
force_majeure,FIX,COMFORT SYSTEMS USA INC  (FIX)  (CIK 0001035983),8-K,2026-04-23,0001104659-26-047679:fix-20260423xex99d1.htm,2026-04-27T22:52:16Z
force_majeure,COPR,Idaho Copper Corp  (COPR)  (CIK 0001263364),8-K,2026-04-23,0001493152-26-018605:ex10-2.htm,2026-04-27T22:52:16Z
force_majeure,FCX,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),8-K,2026-04-23,0000831259-26-000021:fcx1q26cc_final.htm,2026-04-27T22:52:16Z
force_majeure,FCX,FREEPORT-MCMORAN INC  (FCX)  (CIK 0000831259),8-K,2026-04-23,0000831259-26-000021:a1q2026exhibit991.htm,2026-04-27T22:52:16Z
cyberattack,,"FIRST CITIZENS BANCSHARES INC /DE/  (FCNCA, FCNCB, FCNCN, FCNCO, FCNCP)  (CIK 00",8-K,2026-04-23,0000798941-26-000018:fcnca-20260423.htm,2026-04-27T22:52:16Z
cyberattack,CARE,"Carter Bankshares, Inc.  (CARE)  (CIK 0001829576)",8-K,2026-04-23,0001829576-26-000036:care-20260423.htm,2026-04-27T22:52:16Z
cyberattack,CARE,"Carter Bankshares, Inc.  (CARE)  (CIK 0001829576)",8-K,2026-04-23,0001829576-26-000037:care-20260422.htm,2026-04-27T22:52:16Z
cyberattack,,"FIRST CITIZENS BANCSHARES INC /DE/  (FCNCA, FCNCB, FCNCN, FCNCO, FCNCP)  (CIK 00",8-K,2026-04-23,0000798941-26-000018:ex_991earningsrelease-1q20.htm,2026-04-27T22:52:16Z
cyberattack,CARE,"Carter Bankshares, Inc.  (CARE)  (CIK 0001829576)",8-K,2026-04-23,0001829576-26-000036:care-1q26_ex991xer.htm,2026-04-27T22:52:16Z
cyberattack,,"FIRST CITIZENS BANCSHARES INC /DE/  (FCNCA, FCNCB, FCNCN, FCNCO, FCNCP)  (CIK 00",8-K,2026-04-23,0000798941-26-000018:a1q26investorpresentatio.htm,2026-04-27T22:52:16Z
supply_chain,,"SELECTIVE INSURANCE GROUP INC  (SIGI, SIGIP)  (CIK 0000230557)",8-K,2026-04-22,0000230557-26-000008:q12026pressreleaseexh991.htm,2026-04-27T22:52:16Z
supply_chain,,"SELECTIVE INSURANCE GROUP INC  (SIGI, SIGIP)  (CIK 0000230557)",8-K,2026-04-22,0000230557-26-000008:q12026pressreleasesuppleme.htm,2026-04-27T22:52:16Z
ransomware,,"Cycurion, Inc.  (CYCU, CYCUW)  (CIK 0001868419)",8-K/A,2026-04-22,0001868419-26-000024:exhibit992apr1620268-ka.htm,2026-04-27T22:52:16Z
ransomware,FBP,FIRST BANCORP /PR/  (FBP)  (CIK 0001057706),8-K,2026-04-22,0001057706-26-000010:exhibit991.htm,2026-04-27T22:52:16Z
ransomware,,"SPIRE INC  (SR, SRJN)  (CIK 0001126956)",8-K,2026-04-22,0001193125-26-168301:sr-ex10_1.htm,2026-04-27T22:52:16Z
ransomware,,BMW AUTO LEASING LLC  (CIK 0001126530),8-K,2026-04-22,0000929638-26-001549:exhibit4-1.htm,2026-04-27T22:52:16Z
force_majeure,PPTA,PERPETUA RESOURCES CORP.  (PPTA)  (CIK 0001526243),8-K,2026-04-22,0001104659-26-046859:tm2612437d1_ex10-1.htm,2026-04-27T22:52:16Z
force_majeure,OFAL,OFA Group  (OFAL)  (CIK 0002036307),8-K/A,2026-04-22,0001493152-26-018584:ex10-1.htm,2026-04-27T22:52:16Z
force_majeure,PPTA,PERPETUA RESOURCES CORP.  (PPTA)  (CIK 0001526243),8-K,2026-04-22,0001104659-26-046859:tm2612437d1_8k.htm,2026-04-27T22:52:16Z
force_majeure,OII,OCEANEERING INTERNATIONAL INC  (OII)  (CIK 0000073756),8-K,2026-04-22,0000073756-26-000080:exhibit_991x8kx1qx2026.htm,2026-04-27T22:52:16Z
cyberattack,AMGN,AMGEN INC  (AMGN)  (CIK 0000318154),8-K,2026-04-22,0000318154-26-000048:amgn-ex99_1.htm,2026-04-27T22:52:16Z
supply_chain,SOWG,Sow Good Inc.  (SOWG)  (CIK 0001490161),8-K,2026-04-21,0001829126-26-003683:sowgood_ex99-1.htm,2026-04-27T22:52:16Z
ransomware,,"Cycurion, Inc.  (CYCU, CYCUW)  (CIK 0001868419)",8-K,2026-04-21,0001868419-26-000020:exhibit992apr162026.htm,2026-04-27T22:52:16Z
ransomware,CBSH,COMMERCE BANCSHARES INC /MO/  (CBSH)  (CIK 0000022356),8-K,2026-04-21,0000022356-26-000123:a2026q1earningshighlight.htm,2026-04-27T22:52:16Z
ransomware,BRC,BRADY CORP  (BRC)  (CIK 0000746598),8-K,2026-04-21,0000746598-26-000014:exhibit21equitypurchaseagr.htm,2026-04-27T22:52:16Z
force_majeure,MLSS,MILESTONE SCIENTIFIC INC.  (MLSS)  (CIK 0000855683),8-K,2026-04-21,0001493152-26-018231:ex10-2.htm,2026-04-27T22:52:16Z
force_majeure,ALGS,"Aligos Therapeutics, Inc.  (ALGS)  (CIK 0001799448)",8-K,2026-04-21,0001193125-26-166987:d50981d8k.htm,2026-04-27T22:52:16Z
force_majeure,,TOYOTA AUTO FINANCE RECEIVABLES LLC  (CIK 0001131131),8-K,2026-04-21,0000929638-26-001540:exhibit4-2.htm,2026-04-27T22:52:16Z
cyberattack,UNH,UNITEDHEALTH GROUP INC  (UNH)  (CIK 0000731766),8-K,2026-04-21,0000731766-26-000121:uhgearningsreleaseq12026.htm,2026-04-27T22:52:16Z
cyberattack,UNH,UNITEDHEALTH GROUP INC  (UNH)  (CIK 0000731766),8-K,2026-04-21,0000731766-26-000121:earningsrelease1q26press.htm,2026-04-27T22:52:16Z
cyberattack,,"Atlantic Union Bankshares Corp  (AUB, AUB-PA)  (CIK 0000883948)",8-K,2026-04-21,0000883948-26-000030:aub-20260421xex99d1.htm,2026-04-27T22:52:16Z
cyberattack,,"Atlantic Union Bankshares Corp  (AUB, AUB-PA)  (CIK 0000883948)",8-K,2026-04-21,0000883948-26-000030:aub-20260421xex99d2.htm,2026-04-27T22:52:16Z
cyberattack,BRC,BRADY CORP  (BRC)  (CIK 0000746598),8-K,2026-04-21,0000746598-26-000014:exhibit21equitypurchaseagr.htm,2026-04-27T22:52:16Z
supply_chain,INR,"INFINITY NATURAL RESOURCES, INC.  (INR)  (CIK 0002029118)",8-K,2026-04-20,0002029118-26-000036:inr1q26impactofderivativec.htm,2026-04-27T22:52:16Z
ransomware,INR,"INFINITY NATURAL RESOURCES, INC.  (INR)  (CIK 0002029118)",8-K,2026-04-20,0002029118-26-000036:inr1q26impactofderivativec.htm,2026-04-27T22:52:16Z
ransomware,,"WINTRUST FINANCIAL CORP  (WTFC, WTFCN)  (CIK 0001015328)",8-K,2026-04-20,0001015328-26-000011:earningsrelease2026-q1pr.htm,2026-04-27T22:52:16Z
ransomware,,"WINTRUST FINANCIAL CORP  (WTFC, WTFCN)  (CIK 0001015328)",8-K,2026-04-20,0001015328-26-000011:exhibit9912026-q1.htm,2026-04-27T22:52:16Z
ransomware,SILA,"Sila Realty Trust, Inc.  (SILA)  (CIK 0001567925)",8-K,2026-04-20,0001140361-26-015496:ef20070982_ex2-1.htm,2026-04-27T22:52:16Z
ransomware,,"Piermont Valley Acquisition Corp  (CMCAF, CMCUF, CMCWF)  (CIK 0001865248)",8-K,2026-04-20,0001477932-26-002395:cmca_ex21.htm,2026-04-27T22:52:16Z
ransomware,,Bridgecrest Auto Funding LLC  (CIK 0001974820),8-K,2026-04-20,0001104659-26-045464:tm2611397d10_ex10-2.htm,2026-04-27T22:52:16Z
ransomware,,FORTRESS CREDIT REALTY INCOME TRUST  (CIK 0002026738),8-K,2026-04-20,0001193125-26-163289:ck0002026738-ex10_1.htm,2026-04-27T22:52:16Z
force_majeure,,"ANAPTYSBIO, INC  (ANAB, ANABV)  (CIK 0001370053)",8-K,2026-04-20,0001193125-26-164330:d120122dex101.htm,2026-04-27T22:52:16Z
