kind,ticker,name,form,filed,accession,captured_at
milestone_payment,,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",8-K/A,2026-04-27,0001193125-26-181885:d229976d8ka.htm,2026-04-27T22:52:41Z
milestone_payment,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:52:41Z
milestone_payment,BMRN,BIOMARIN PHARMACEUTICAL INC  (BMRN)  (CIK 0001048477),8-K,2026-04-27,0001193125-26-179243:d113922dex101.htm,2026-04-27T22:52:41Z
earnout,,"Wheels Up Experience Inc.  (UP, WSUPW)  (CIK 0001819516)",8-K,2026-04-27,0001628280-26-027641:ex-101xamendmentno4toseven.htm,2026-04-27T22:52:41Z
earnout,,"Miluna Acquisition Corp  (MMTX, MMTXU, MMTXW)  (CIK 0002077033)",8-K,2026-04-27,0001493152-26-019055:ex99-1.htm,2026-04-27T22:52:41Z
earnout,,"Miluna Acquisition Corp  (MMTX, MMTXU, MMTXW)  (CIK 0002077033)",8-K,2026-04-27,0001493152-26-019055:form8-k.htm,2026-04-27T22:52:41Z
earnout,,"Willow Lane Acquisition Corp.  (WLAC, WLACU, WLACW)  (CIK 0002032379)",8-K,2026-04-24,0001493152-26-018986:form8-k.htm,2026-04-27T22:52:41Z
royalty_agreement,BZYR,BURZYNSKI RESEARCH INSTITUTE INC  (BZYR)  (CIK 0000724445),8-K,2026-04-23,0001104659-26-047711:tm2612461d1_8k.htm,2026-04-27T22:52:41Z
milestone_payment,CPIX,CUMBERLAND PHARMACEUTICALS INC  (CPIX)  (CIK 0001087294),8-K,2026-04-23,0001104659-26-047335:tm2611622d1_8k.htm,2026-04-27T22:52:41Z
milestone_payment,CPIX,CUMBERLAND PHARMACEUTICALS INC  (CPIX)  (CIK 0001087294),8-K,2026-04-23,0001104659-26-047335:tm2611622d1_ex2-1.htm,2026-04-27T22:52:41Z
licensing_agreement,ELAB,PMGC Holdings Inc.  (ELAB)  (CIK 0001840563),8-K,2026-04-23,0001213900-26-046876:ea028734901ex99-1.htm,2026-04-27T22:52:41Z
licensing_agreement,,"COMCAST CORP  (CCZ, CMCSA)  (CIK 0001166691)",8-K,2026-04-23,0001628280-26-026685:ex991-3312026.htm,2026-04-27T22:52:41Z
licensing_agreement,HON,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840),8-K,2026-04-23,0000773840-26-000058:hon-20260423.htm,2026-04-27T22:52:41Z
earnout,,"GCI Liberty, Inc.  (GLIBA, GLIBB, GLIBK)  (CIK 0002057463)",8-K,2026-04-23,0001104659-26-047805:tm2612513d1_8k.htm,2026-04-27T22:52:41Z
earnout,,"GCI Liberty, Inc.  (GLIBA, GLIBB, GLIBK)  (CIK 0002057463)",8-K,2026-04-23,0001104659-26-047805:tm2612513d1_ex99-1.htm,2026-04-27T22:52:41Z
royalty_agreement,HURA,"TuHURA Biosciences, Inc./NV  (HURA)  (CIK 0001498382)",8-K,2026-04-22,0001193125-26-168395:d139552d8k.htm,2026-04-27T22:52:41Z
royalty_agreement,HURA,"TuHURA Biosciences, Inc./NV  (HURA)  (CIK 0001498382)",8-K,2026-04-22,0001193125-26-168395:d139552dex991.htm,2026-04-27T22:52:41Z
royalty_agreement,HURA,"TuHURA Biosciences, Inc./NV  (HURA)  (CIK 0001498382)",8-K,2026-04-22,0001193125-26-168395:d139552dex101.htm,2026-04-27T22:52:41Z
royalty_agreement,HURA,"TuHURA Biosciences, Inc./NV  (HURA)  (CIK 0001498382)",8-K,2026-04-22,0001193125-26-168395:d139552dex41.htm,2026-04-27T22:52:41Z
milestone_payment,AMRX,"Amneal Pharmaceuticals, Inc.  (AMRX)  (CIK 0001723128)",8-K,2026-04-22,0001193125-26-168231:d126526dex21.htm,2026-04-27T22:52:41Z
licensing_agreement,RFL,"Rafael Holdings, Inc.  (RFL)  (CIK 0001713863)",8-K,2026-04-22,0001213900-26-046380:ea028725801ex99-1.htm,2026-04-27T22:52:41Z
licensing_agreement,RFL,"Rafael Holdings, Inc.  (RFL)  (CIK 0001713863)",8-K,2026-04-22,0001213900-26-046380:ea0287258-8k_rafael.htm,2026-04-27T22:52:41Z
licensing_agreement,FENC,FENNEC PHARMACEUTICALS INC.  (FENC)  (CIK 0001211583),8-K,2026-04-22,0001104659-26-046804:fencf-20260422xex99d1.htm,2026-04-27T22:52:41Z
earnout,,"Iron Horse Acquisition II Corp.  (IRHO, IRHOR, IRHOU)  (CIK 0002051985)",8-K,2026-04-22,0001213900-26-046611:ea0287185-8k425_ironhorse2.htm,2026-04-27T22:52:41Z
earnout,,"Iron Horse Acquisition II Corp.  (IRHO, IRHOR, IRHOU)  (CIK 0002051985)",8-K,2026-04-22,0001213900-26-046611:ea028718501ex2-1.htm,2026-04-27T22:52:41Z
earnout,SODI,SOLITRON DEVICES INC  (SODI)  (CIK 0000091668),8-K,2026-04-22,0001437749-26-013034:ex_949108.htm,2026-04-27T22:52:41Z
earnout,,"Iron Horse Acquisition II Corp.  (IRHO, IRHOR, IRHOU)  (CIK 0002051985)",8-K,2026-04-22,0001213900-26-046611:ea028718501ex10-4.htm,2026-04-27T22:52:41Z
earnout,,"Archimedes Tech SPAC Partners II Co.  (ATII, ATIIU, ATIIW)  (CIK 0002028516)",8-K,2026-04-22,0001437749-26-012949:ex_948858.htm,2026-04-27T22:52:41Z
milestone_payment,,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",8-K,2026-04-21,0001493152-26-018220:ex10-1.htm,2026-04-27T22:52:41Z
milestone_payment,,"NEXGEL, INC.  (NXGL, NXGLW)  (CIK 0001468929)",8-K,2026-04-21,0001493152-26-018302:ex10-1.htm,2026-04-27T22:52:41Z
milestone_payment,,"NEXGEL, INC.  (NXGL, NXGLW)  (CIK 0001468929)",8-K,2026-04-21,0001493152-26-018302:form8-k.htm,2026-04-27T22:52:41Z
milestone_payment,,"Celularity Inc  (CELU, CELUW)  (CIK 0001752828)",8-K,2026-04-21,0001493152-26-018220:form8-k.htm,2026-04-27T22:52:41Z
licensing_agreement,,"Core Scientific, Inc./tx  (CORZ, CORZR, CORZW, CORZZ)  (CIK 0001839341)",8-K,2026-04-21,0001193125-26-165121:d149019dex992.htm,2026-04-27T22:52:41Z
earnout,LSF,"Laird Superfood, Inc.  (LSF)  (CIK 0001650696)",8-K,2026-04-21,0001437749-26-012942:ex_948325.htm,2026-04-27T22:52:41Z
earnout,LSF,"Laird Superfood, Inc.  (LSF)  (CIK 0001650696)",8-K,2026-04-21,0001437749-26-012942:lsf20260421_8k.htm,2026-04-27T22:52:41Z
royalty_agreement,USAR,"USA Rare Earth, Inc.  (USAR)  (CIK 0001970622)",8-K,2026-04-20,0001213900-26-045706:ea028694001ex2-1.htm,2026-04-27T22:52:41Z
earnout,,"Brookfield Oaktree Holdings, LLC  (OAK-PA, OAK-PB)  (CIK 0001403528)",8-K,2026-04-20,0001403528-26-000015:exhibit.htm,2026-04-27T22:52:41Z
earnout,,"Piermont Valley Acquisition Corp  (CMCAF, CMCUF, CMCWF)  (CIK 0001865248)",8-K,2026-04-20,0001477932-26-002395:cmca_8k.htm,2026-04-27T22:52:41Z
milestone_payment,EBS,Emergent BioSolutions Inc.  (EBS)  (CIK 0001367644),8-K,2026-04-17,0001367644-26-000038:exhibit101termloancredit.htm,2026-04-27T22:52:41Z
earnout,,"Viking Acquisition Corp I  (VACI, VACI-UN, VACI-WT)  (CIK 0002080023)",8-K,2026-04-17,0001213900-26-044909:ea028675101ex10-1.htm,2026-04-27T22:52:41Z
earnout,,"Viking Acquisition Corp I  (VACI, VACI-UN, VACI-WT)  (CIK 0002080023)",8-K,2026-04-17,0001213900-26-044909:ea028675101ex2-1.htm,2026-04-27T22:52:41Z
earnout,,"Viking Acquisition Corp I  (VACI, VACI-UN, VACI-WT)  (CIK 0002080023)",8-K,2026-04-17,0001213900-26-044909:ea0286751-8k425_viking1.htm,2026-04-27T22:52:41Z
earnout,,"Viking Acquisition Corp I  (VACI, VACI-UN, VACI-WT)  (CIK 0002080023)",8-K,2026-04-17,0001213900-26-044909:ea028675101ex99-2.htm,2026-04-27T22:52:41Z
milestone_payment,MGTX,MeiraGTx Holdings plc  (MGTX)  (CIK 0001735438),8-K,2026-04-16,0001104659-26-044028:mgtx-20260415xex10d1.htm,2026-04-27T22:52:41Z
mfg_agreement,COSM,Cosmos Health Inc.  (COSM)  (CIK 0001474167),8-K,2026-04-16,0001477932-26-002316:cosm_ex991.htm,2026-04-27T22:52:41Z
mfg_agreement,CDNA,"CareDx, Inc.  (CDNA)  (CIK 0001217234)",8-K,2026-04-16,0001104659-26-043970:tm2611749d1_ex2-1.htm,2026-04-27T22:52:41Z
licensing_agreement,MGTX,MeiraGTx Holdings plc  (MGTX)  (CIK 0001735438),8-K,2026-04-16,0001104659-26-044028:mgtx-20260415xex99d1.htm,2026-04-27T22:52:41Z
licensing_agreement,ICFI,"ICF International, Inc.  (ICFI)  (CIK 0001362004)",8-K,2026-04-16,0001437749-26-012565:ex_945516.htm,2026-04-27T22:52:41Z
earnout,LAKE,LAKELAND INDUSTRIES INC  (LAKE)  (CIK 0000798081),8-K,2026-04-16,0001193125-26-159019:lake-ex99_1.htm,2026-04-27T22:52:41Z
earnout,OESX,"ORION ENERGY SYSTEMS, INC.  (OESX)  (CIK 0001409375)",8-K,2026-04-16,0001193125-26-159103:oesx-ex99_1.htm,2026-04-27T22:52:41Z
milestone_payment,SNSE,"Sensei Biotherapeutics, Inc.  (SNSE)  (CIK 0001829802)",8-K/A,2026-04-15,0001193125-26-157038:d40329dex993.htm,2026-04-27T22:52:41Z
milestone_payment,LSTA,"LISATA THERAPEUTICS, INC.  (LSTA)  (CIK 0000320017)",8-K,2026-04-15,0001140361-26-014775:ef20070652_form8k.htm,2026-04-27T22:52:41Z
earnout,STXS,"Stereotaxis, Inc.  (STXS)  (CIK 0001289340)",8-K,2026-04-15,0001493152-26-016685:form8-k.htm,2026-04-27T22:52:41Z
earnout,AIB,"BlockchAIn Digital Infrastructure, Inc.  (AIB)  (CIK 0002070542)",8-K,2026-04-15,0001213900-26-043816:ea028637901ex99-1.htm,2026-04-27T22:52:41Z
royalty_agreement,MSB,MESABI TRUST  (MSB)  (CIK 0000065172),8-K,2026-04-14,0001104659-26-043216:msb-20260414xex99d1.htm,2026-04-27T22:52:41Z
royalty_agreement,CRWV,"CoreWeave, Inc.  (CRWV)  (CIK 0001769628)",8-K,2026-04-14,0001769628-26-000164:ex41.htm,2026-04-27T22:52:41Z
mfg_agreement,VREOF,Vireo Growth Inc.  (VREOF)  (CIK 0001771706),8-K,2026-04-14,0001104659-26-043175:tm2611658d1_ex2-1.htm,2026-04-27T22:52:41Z
licensing_agreement,PPIH,"Perma-Pipe International Holdings, Inc.  (PPIH)  (CIK 0000914122)",8-K,2026-04-14,0001437749-26-012209:ex_944641.htm,2026-04-27T22:52:41Z
earnout,WERN,WERNER ENTERPRISES INC  (WERN)  (CIK 0000793074),8-K/A,2026-04-14,0000793074-26-000090:wern-20260127ex101.htm,2026-04-27T22:52:41Z
earnout,SERV,Serve Robotics Inc. /DE/  (SERV)  (CIK 0001832483),8-K/A,2026-04-14,0001213900-26-043149:ea028305301ex99-2.htm,2026-04-27T22:52:41Z
earnout,RKLB,Rocket Lab Corp  (RKLB)  (CIK 0001819994),8-K,2026-04-14,0001753926-26-000654:g085683_8k.htm,2026-04-27T22:52:41Z
earnout,WERN,WERNER ENTERPRISES INC  (WERN)  (CIK 0000793074),8-K/A,2026-04-14,0000793074-26-000090:wern-20260127ex993.htm,2026-04-27T22:52:41Z
earnout,SERV,Serve Robotics Inc. /DE/  (SERV)  (CIK 0001832483),8-K/A,2026-04-14,0001213900-26-043149:ea028305301ex99-1.htm,2026-04-27T22:52:41Z
licensing_agreement,HCSG,HEALTHCARE SERVICES GROUP INC  (HCSG)  (CIK 0000731012),8-K,2026-04-13,0000731012-26-000015:a300000000secondamendment-.htm,2026-04-27T22:52:41Z
licensing_agreement,AHCO,AdaptHealth Corp.  (AHCO)  (CIK 0001725255),8-K,2026-04-13,0001628280-26-024835:conformedsignaturescredita.htm,2026-04-27T22:52:41Z
