filed,kind,ticker,issuer,ciks,accession,captured_at
2026-04-27,indenture_supplement,BMRN,BIOMARIN PHARMACEUTICAL INC,0001048477,0001193125-26-179243,2026-04-27T22:55:49Z
2026-04-27,indenture_supplement,,Blackstone Private Credit Fund,0001803498,0001193125-26-182132,2026-04-27T22:55:49Z
2026-04-27,indenture_supplement,,"Prologis, L.P.",0001045610|0001045609,0001104659-26-049048,2026-04-27T22:55:49Z
2026-04-27,credit_agreement,WKHS,Workhorse Group Inc.,0001425287,0001628280-26-027522,2026-04-27T22:55:49Z
2026-04-27,credit_agreement,RIOT,"Riot Platforms, Inc.",0001167419,0001104659-26-049432,2026-04-27T22:55:49Z
2026-04-27,debt_refi,CDP,COPT DEFENSE PROPERTIES,0000860546,0000860546-26-000024,2026-04-27T22:55:49Z
2026-04-27,debt_refi,DRVN,Driven Brands Holdings Inc.,0001804745,0001804745-26-000036,2026-04-27T22:55:49Z
2026-04-24,indenture_supplement,UHS,UNIVERSAL HEALTH SERVICES INC,0000352915,0001193125-26-175197,2026-04-27T22:55:49Z
2026-04-24,indenture_supplement,SPCE,"Virgin Galactic Holdings, Inc",0001706946,0001706946-26-000052,2026-04-27T22:55:49Z
2026-04-24,indenture_supplement,,STATE STREET CORP,0000093751,0001193125-26-177253,2026-04-27T22:55:49Z
2026-04-24,credit_agreement,BMBL,Bumble Inc.,0001830043,0001193125-26-177142,2026-04-27T22:55:49Z
2026-04-24,credit_agreement,UCTT,"Ultra Clean Holdings, Inc.",0001275014,0000950103-26-006157,2026-04-27T22:55:49Z
2026-04-24,credit_agreement,ACN,Accenture plc,0001467373,0001467373-26-000019,2026-04-27T22:55:49Z
2026-04-24,credit_agreement,TT,Trane Technologies plc,0001466258,0001628280-26-026988,2026-04-27T22:55:49Z
2026-04-24,credit_agreement,AVEX,AEVEX Corp.,0002096300,0001193125-26-177298,2026-04-27T22:55:49Z
2026-04-24,note_purchase,IRD,"Opus Genetics, Inc.",0001228627,0001140361-26-016764,2026-04-27T22:55:49Z
2026-04-24,note_purchase,,AGREE REALTY CORP,0000917251,0001628280-26-027250,2026-04-27T22:55:49Z
2026-04-23,credit_agreement,JCAP,"Jefferson Capital, Inc. / DE",0002046042,0001104659-26-047776,2026-04-27T22:55:49Z
2026-04-23,credit_agreement,PAYC,"Paycom Software, Inc.",0001590955,0001193125-26-173704,2026-04-27T22:55:49Z
2026-04-22,indenture_supplement,,SunPower Inc.,0001838987,0001213900-26-046407,2026-04-27T22:55:49Z
2026-04-22,note_purchase,HIVE,HIVE Digital Technologies Ltd.,0001720424,0001062993-26-002077,2026-04-27T22:55:49Z
2026-04-22,debt_refi,AMRX,"Amneal Pharmaceuticals, Inc.",0001723128,0001193125-26-168231,2026-04-27T22:55:49Z
2026-04-21,indenture_supplement,CRWV,"CoreWeave, Inc.",0001769628,0001769628-26-000183,2026-04-27T22:55:49Z
2026-04-21,indenture_supplement,,"Tri-State Generation & Transmission Association, Inc.",0001637880,0001637880-26-000019,2026-04-27T22:55:49Z
2026-04-21,indenture_supplement,,Goldman Sachs Private Credit Corp.,0001920145,0001193125-26-166760,2026-04-27T22:55:49Z
2026-04-21,credit_agreement,NMRK,"NEWMARK GROUP, INC.",0001690680,0001213900-26-045911,2026-04-27T22:55:49Z
2026-04-21,note_purchase,TRN,TRINITY INDUSTRIES INC,0000099780,0000099780-26-000030,2026-04-27T22:55:49Z
2026-04-21,note_purchase,LPSN,LIVEPERSON INC,0001102993,0001193125-26-167270,2026-04-27T22:55:49Z
2026-04-21,note_purchase,,"SOUNDHOUND AI, INC.",0001840856,0001213900-26-045987,2026-04-27T22:55:49Z
2026-04-21,debt_refi,PCOK,"Pacific Oak Strategic Opportunity REIT, Inc.",0001452936,0001452936-26-000021,2026-04-27T22:55:49Z
2026-04-20,credit_agreement,,ExchangeRight Income Fund,0001771514,0001193125-26-163165,2026-04-27T22:55:49Z
