form,category,company,cik,role,filed_date,updated_at,link,captured_at
25-NSE,exchange_notice,Nasdaq Stock Market LLC,0001354457,Filed by,,2026-04-27T16:33:54-04:00,https://www.sec.gov/Archives/edgar/data/1354457/000135445726000377/0001354457-26-000377-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,PEPSICO INC,0000077476,Subject,,2026-04-27T16:33:54-04:00,https://www.sec.gov/Archives/edgar/data/77476/000135445726000377/0001354457-26-000377-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,Tidal Trust I,0001742912,Subject,,2026-04-27T14:36:45-04:00,https://www.sec.gov/Archives/edgar/data/1742912/000141783526000101/0001417835-26-000101-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,"Cboe BZX Exchange, Inc.",0001417835,Filed by,,2026-04-27T14:36:45-04:00,https://www.sec.gov/Archives/edgar/data/1417835/000141783526000101/0001417835-26-000101-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NUVEEN MISSOURI QUALITY MUNICIPAL INCOME FUND,0000899782,Subject,,2026-04-27T10:31:19-04:00,https://www.sec.gov/Archives/edgar/data/899782/000087666126000365/0000876661-26-000365-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NEW YORK STOCK EXCHANGE LLC,0000876661,Filed by,,2026-04-27T10:31:19-04:00,https://www.sec.gov/Archives/edgar/data/876661/000087666126000365/0000876661-26-000365-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NEW YORK STOCK EXCHANGE LLC,0000876661,Filed by,,2026-04-27T10:29:21-04:00,https://www.sec.gov/Archives/edgar/data/876661/000087666126000363/0000876661-26-000363-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NUVEEN PENNSYLVANIA QUALITY MUNICIPAL INCOME FUND,0000870780,Subject,,2026-04-27T10:29:21-04:00,https://www.sec.gov/Archives/edgar/data/870780/000087666126000363/0000876661-26-000363-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,0001087786,Subject,,2026-04-27T10:26:31-04:00,https://www.sec.gov/Archives/edgar/data/1087786/000087666126000361/0000876661-26-000361-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,NEW YORK STOCK EXCHANGE LLC,0000876661,Filed by,,2026-04-27T10:26:31-04:00,https://www.sec.gov/Archives/edgar/data/876661/000087666126000361/0000876661-26-000361-index.htm,2026-04-27T23:00:08Z
25-NSE,exchange_notice,Nasdaq Stock Market LLC,0001354457,Filed by,,2026-04-27T09:27:40-04:00,https://www.sec.gov/Archives/edgar/data/1354457/000135445726000371/0001354457-26-000371-index.htm,2026-04-27T23:00:08Z
