kind,ticker,name,form,filed,accession,captured_at
uranium,LTBR,LIGHTBRIDGE Corp  (LTBR)  (CIK 0001084554),8-K,2026-04-27,0001477932-26-002579:ltbr_ex991.htm,2026-04-27T22:53:53Z
renewable_energy,CBNK,Capital Bancorp Inc  (CBNK)  (CIK 0001419536),8-K,2026-04-27,0001419536-26-000097:investoroverview3312026.htm,2026-04-27T22:53:53Z
nuclear_power,SOLS,Solstice Advanced Materials Inc.  (SOLS)  (CIK 0002064953),8-K,2026-04-27,0002064953-26-000040:exhibit991-dividendrelease.htm,2026-04-27T22:53:53Z
nuclear_power,LTBR,LIGHTBRIDGE Corp  (LTBR)  (CIK 0001084554),8-K,2026-04-27,0001477932-26-002579:ltbr_ex991.htm,2026-04-27T22:53:53Z
nuclear_power,LKFN,LAKELAND FINANCIAL CORP  (LKFN)  (CIK 0000721994),8-K,2026-04-27,0000721994-26-000051:presentation20261q.htm,2026-04-27T22:53:53Z
geothermal,SLB,SLB LIMITED/NV  (SLB)  (CIK 0000087347),8-K,2026-04-24,0001193125-26-174940:d111579dex99.htm,2026-04-27T22:53:53Z
uranium,,Goldman Sachs Private Credit Corp.  (CIK 0001920145),8-K,2026-04-23,0001193125-26-171147:d269763dex101.htm,2026-04-27T22:53:53Z
renewable_energy,SPH,SUBURBAN PROPANE PARTNERS LP  (SPH)  (CIK 0001005210),8-K,2026-04-23,0001193125-26-171941:sph-ex99_1.htm,2026-04-27T22:53:53Z
renewable_energy,SRCE,1ST SOURCE CORP  (SRCE)  (CIK 0000034782),8-K,2026-04-23,0000034782-26-000027:ex03312026991pressrelease.htm,2026-04-27T22:53:53Z
renewable_energy,,"SES AI Corp  (SES, SES-WT)  (CIK 0001819142)",8-K,2026-04-23,0001819142-26-000019:ses-20260423xex99d2.htm,2026-04-27T22:53:53Z
renewable_energy,HLX,HELIX ENERGY SOLUTIONS GROUP INC  (HLX)  (CIK 0000866829),8-K,2026-04-23,0001140361-26-016264:ef20071265_ex99-1.htm,2026-04-27T22:53:53Z
