kind,ticker,name,form,filed,accession,captured_at
nda_filing,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-27,0001140361-26-016834:ef20071554_ex99-1.htm,2026-04-27T22:52:27Z
nda_filing,CRMD,CorMedix Inc.  (CRMD)  (CIK 0001410098),8-K,2026-04-27,0001213900-26-047748:ea028764001ex99-1.htm,2026-04-27T22:52:27Z
nda_filing,MANE,"Veradermics, Inc  (MANE)  (CIK 0001827635)",8-K,2026-04-27,0001628280-26-027354:exhibit992-8xkb.htm,2026-04-27T22:52:27Z
fast_track,ONCY,ONCOLYTICS BIOTECH INC  (ONCY)  (CIK 0001129928),8-K,2026-04-27,0001129928-26-000026:scacfdaalignment.htm,2026-04-27T22:52:27Z
complete_response_letter,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-27,0001140361-26-016834:ef20071554_ex99-1.htm,2026-04-27T22:52:27Z
clinical_hold,,"LIGAND PHARMACEUTICALS INC  (LGND, LGNDZ, LGNXZ, LGNYZ, LGNZZ)  (CIK 0000886163)",8-K,2026-04-27,0001193125-26-179529:d143046dex21.htm,2026-04-27T22:52:27Z
clinical_hold,,"XOMA Royalty Corp  (XOMA, XOMAO, XOMAP)  (CIK 0000791908)",8-K,2026-04-27,0001193125-26-179085:d139894dex21.htm,2026-04-27T22:52:27Z
clinical_hold,OGN,Organon & Co.  (OGN)  (CIK 0001821825),8-K,2026-04-27,0001193125-26-178718:d38652dex21.htm,2026-04-27T22:52:27Z
bla_filing,NTLA,"Intellia Therapeutics, Inc.  (NTLA)  (CIK 0001652130)",8-K,2026-04-27,0001193125-26-179401:d138980dex991.htm,2026-04-27T22:52:27Z
bla_filing,NTLA,"Intellia Therapeutics, Inc.  (NTLA)  (CIK 0001652130)",8-K,2026-04-27,0001193125-26-179401:d138980d8k.htm,2026-04-27T22:52:27Z
bla_filing,CMPX,"Compass Therapeutics, Inc.  (CMPX)  (CIK 0001738021)",8-K,2026-04-27,0001171843-26-002720:exh_991.htm,2026-04-27T22:52:27Z
bla_filing,NTLA,"Intellia Therapeutics, Inc.  (NTLA)  (CIK 0001652130)",8-K,2026-04-27,0001193125-26-179401:d138980dex992.htm,2026-04-27T22:52:27Z
accelerated_approval,ONCY,ONCOLYTICS BIOTECH INC  (ONCY)  (CIK 0001129928),8-K,2026-04-27,0001129928-26-000026:scacfdaalignment.htm,2026-04-27T22:52:27Z
accelerated_approval,BMRN,BIOMARIN PHARMACEUTICAL INC  (BMRN)  (CIK 0001048477),8-K,2026-04-27,0001193125-26-179243:d113922dex991.htm,2026-04-27T22:52:27Z
nda_filing,TELO,"Telomir Pharmaceuticals, Inc.  (TELO)  (CIK 0001971532)",8-K,2026-04-24,0001493152-26-018867:form8-k.htm,2026-04-27T22:52:27Z
fast_track,,"Humacyte, Inc.  (HUMA, HUMAW)  (CIK 0001818382)",8-K,2026-04-24,0001104659-26-048164:tm2612631d1_ex99-1.htm,2026-04-27T22:52:27Z
clinical_hold,CTXR,"Citius Pharmaceuticals, Inc.  (CTXR)  (CIK 0001506251)",8-K,2026-04-24,0001213900-26-047599:ea028762001ex10-1.htm,2026-04-27T22:52:27Z
bla_filing,,"Humacyte, Inc.  (HUMA, HUMAW)  (CIK 0001818382)",8-K,2026-04-24,0001104659-26-048164:tm2612631d1_ex99-1.htm,2026-04-27T22:52:27Z
bla_filing,MGTX,MeiraGTx Holdings plc  (MGTX)  (CIK 0001735438),8-K,2026-04-24,0001104659-26-048196:mgtx-20260420xex10d3.htm,2026-04-27T22:52:27Z
accelerated_approval,PDSB,PDS Biotechnology Corp  (PDSB)  (CIK 0001472091),8-K,2026-04-24,0001140361-26-016684:ef20071434_ex99-1.htm,2026-04-27T22:52:27Z
pdufa_date,CPIX,CUMBERLAND PHARMACEUTICALS INC  (CPIX)  (CIK 0001087294),8-K,2026-04-23,0001104659-26-047335:tm2611622d1_ex2-1.htm,2026-04-27T22:52:27Z
nda_filing,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-23,0001140361-26-016324:ef20070593_ex99-1.htm,2026-04-27T22:52:27Z
nda_filing,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-23,0001140361-26-016324:ef20070593_8k.htm,2026-04-27T22:52:27Z
nda_filing,BBOT,"BridgeBio Oncology Therapeutics, Inc.  (BBOT)  (CIK 0001869105)",8-K,2026-04-23,0001193125-26-170888:d253464d8k.htm,2026-04-27T22:52:27Z
complete_response_letter,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-23,0001140361-26-016324:ef20070593_ex99-1.htm,2026-04-27T22:52:27Z
complete_response_letter,GRCE,"Grace Therapeutics, Inc.  (GRCE)  (CIK 0001444192)",8-K,2026-04-23,0001140361-26-016324:ef20070593_8k.htm,2026-04-27T22:52:27Z
clinical_hold,LUCD,Lucid Diagnostics Inc.  (LUCD)  (CIK 0001799011),8-K,2026-04-23,0001493152-26-018725:ex1-1.htm,2026-04-27T22:52:27Z
clinical_hold,OTLK,"Outlook Therapeutics, Inc.  (OTLK)  (CIK 0001649989)",8-K,2026-04-23,0001104659-26-047741:tm2612578d1_ex10-1.htm,2026-04-27T22:52:27Z
nda_filing,AMRX,"Amneal Pharmaceuticals, Inc.  (AMRX)  (CIK 0001723128)",8-K,2026-04-22,0001193125-26-168231:d126526dex991.htm,2026-04-27T22:52:27Z
nda_filing,DFTX,"Definium Therapeutics, Inc.  (DFTX)  (CIK 0001813814)",8-K,2026-04-22,0001193125-26-170509:dftx-ex99_2.htm,2026-04-27T22:52:27Z
complete_response_letter,AMRX,"Amneal Pharmaceuticals, Inc.  (AMRX)  (CIK 0001723128)",8-K,2026-04-22,0001193125-26-168231:d126526dex991.htm,2026-04-27T22:52:27Z
bla_filing,AMRX,"Amneal Pharmaceuticals, Inc.  (AMRX)  (CIK 0001723128)",8-K,2026-04-22,0001193125-26-168231:d126526dex21.htm,2026-04-27T22:52:27Z
pdufa_date,IONS,IONIS PHARMACEUTICALS INC  (IONS)  (CIK 0000874015),8-K,2026-04-21,0001140361-26-015801:ef20071051_ex99-1.htm,2026-04-27T22:52:27Z
nda_filing,RAPP,"Rapport Therapeutics, Inc.  (RAPP)  (CIK 0002012593)",8-K,2026-04-21,0001193125-26-167078:rapp-ex99_2.htm,2026-04-27T22:52:27Z
nda_filing,,"NKGen Biotech, Inc.  (CIK 0001845459)",8-K,2026-04-21,0001213900-26-046267:ea028691901ex10-5.htm,2026-04-27T22:52:27Z
fast_track,INBX,"Inhibrx Biosciences, Inc.  (INBX)  (CIK 0002007919)",8-K,2026-04-21,0002007919-26-000010:exhibit991-pressreleaseapr.htm,2026-04-27T22:52:27Z
complete_response_letter,OTLK,"Outlook Therapeutics, Inc.  (OTLK)  (CIK 0001649989)",8-K,2026-04-21,0001104659-26-046014:tm2612353d1_8k.htm,2026-04-27T22:52:27Z
