filed,period,ticker,issuer,insider,ciks,captured_at
2026-04-27,2025-09-02,,,PM Alpha DAC  (CIK 0002091734),0002091734|0001982701,2026-04-27T22:54:45Z
2026-04-27,2026-04-17,,,Gooding Aaron J.  (CIK 0002131810),0002131810|0000099780,2026-04-27T22:54:45Z
2026-04-27,2026-04-23,,,Chan Andrew C.  (CIK 0002131504),0002131504|0001626971,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,Lawson Larry A  (CIK 0001546348),0001546348|0002122505,2026-04-27T22:54:45Z
2026-04-27,2018-12-31,,,Zheng Jun  (CIK 0002121856),0002121856|0001723980,2026-04-27T22:54:45Z
2026-04-27,2025-08-24,,,Mamlok Gilad  (CIK 0001975896),0001975896|0001006281,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,TONG JAMES JIAYUAN  (CIK 0001489785),0001489785|0001837821,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,Warriner Kenneth Thomas  (CIK 0002131880),0002131880|0001750735,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,Wang E-Fei  (CIK 0001934297),0001934297|0002122505,2026-04-27T22:54:45Z
2026-04-27,2017-07-04,,,Zhou Feng Felix  (CIK 0002129708),0002129708|0001723980,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,Wood William Michael  (CIK 0002131591),0002131591|0001680247,2026-04-27T22:54:45Z
2026-04-27,2021-05-22,,,Ji Xiaodong  (CIK 0002121839),0002121839|0001723980,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,CHUA SWEE KHENG  (CIK 0002127482),0002127482|0002001794,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,HACHIGIAN KIRK S  (CIK 0001210484),0001210484|0002122505,2026-04-27T22:54:45Z
2026-04-27,2026-04-20,,,Meissner Andrew Jeffrey  (CIK 0002131913),0002131913|0002095816,2026-04-27T22:54:45Z
2026-04-27,2026-04-22,,,Tewksbury Ted L III  (CIK 0001375681),0001375681|0001943289,2026-04-27T22:54:45Z
2026-04-27,2026-04-20,,,Pali Lan  (CIK 0002131030),0002131030|0002095816,2026-04-27T22:54:45Z
2026-04-27,2026-04-17,,,Butcher Samantha  (CIK 0002130442),0002130442|0001814287,2026-04-27T22:54:45Z
2026-04-27,2026-04-17,,,Royston Aaron  (CIK 0001727703),0001727703|0000949858,2026-04-27T22:54:45Z
2026-04-27,2026-04-20,,,Thiltgen Heather  (CIK 0002131364),0002131364|0000105319,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,Adams Paul R.  (CIK 0001587263),0001587263|0002122505,2026-04-27T22:54:45Z
2026-04-27,2026-04-20,,,Shahzad Komal  (CIK 0002131915),0002131915|0002095816,2026-04-27T22:54:45Z
2026-04-27,2026-04-01,,,Hancock Dennis P  (CIK 0002127636),0002127636|0000078003,2026-04-27T22:54:45Z
2026-04-27,2022-01-31,,,Pan Xiaodong Sean  (CIK 0002130473),0002130473|0001723980,2026-04-27T22:54:45Z
2026-04-27,2025-01-20,,,Chee Yong Lip  (CIK 0002121823),0002121823|0001723980,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,Wang Neng  (CIK 0002045062),0002045062|0001708259,2026-04-27T22:54:45Z
2026-04-27,2025-01-20,,,Simon Lim Sze Beng  (CIK 0002121842),0002121842|0001723980,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,WU Wei  (CIK 0002047746),0002047746|0001708259,2026-04-27T22:54:45Z
2026-04-27,2026-04-22,,,Bo-Linn Cheemin  (CIK 0001595341),0001595341|0001943289,2026-04-27T22:54:45Z
2026-04-27,2026-04-21,,,Talan Mandy M  (CIK 0002131240),0002131240|0000845877,2026-04-27T22:54:45Z
2026-04-27,2026-04-17,,,Solomon Alexei  (CIK 0002130678),0002130678|0001814287,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,Evans Hugh M  (CIK 0001686408),0001686408|0001631487,2026-04-27T22:54:45Z
2026-04-27,2026-04-27,,,HENDRICKSON CAREY P  (CIK 0001482760),0001482760|0002001184,2026-04-27T22:54:45Z
2026-04-27,2026-04-17,,,Plesco Elena  (CIK 0002130658),0002130658|0001814287,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,Halperin Ariel  (CIK 0002124600),0002124600|0001504379,2026-04-27T22:54:45Z
2026-04-27,2026-03-18,,,Long Annabelle Yu  (CIK 0001662661),0001662661|0001708259,2026-04-27T22:54:45Z
