cik,ticker,company,accession,form,filed_at,description,captured_at
0001628171,,"Revolution Medicines, Inc. (0001628171) (Filer)",,D,2026-04-27T17:30:45-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182453 <b>Size:</b> 2 MB,2026-04-27T23:05:32Z
0002113913,,ECO Fleet Holdings V LP (0002113913) (Filer),,D,2026-04-27T17:29:58-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001470831-26-000404 <b>Size:</b> 10 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.",2026-04-27T23:05:32Z
0001714562,,"GameSquare Holdings, Inc. (0001714562) (Filer)",,D,2026-04-27T17:29:07-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001493152-26-019197 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
0001404912,,KKR & Co. Inc. (0001404912) (Filer),,D,2026-04-27T17:26:26-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017158 <b>Size:</b> 20 KB,2026-04-27T23:05:32Z
0001975451,,Brighter Private Credit Fund LP (0001975451) (Filer),,D,2026-04-27T17:24:17-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001975451-26-000002 <b>Size:</b> 7 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
0001098146,,PATRIOT NATIONAL BANCORP INC (0001098146) (Filer),,D,2026-04-27T17:22:15-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017156 <b>Size:</b> 6 MB,2026-04-27T23:05:32Z
0002092613,,GPx LP (0002092613) (Filer),,D,2026-04-27T17:21:09-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001231919-26-000412 <b>Size:</b> 8 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.7",2026-04-27T23:05:32Z
0001821825,,Organon & Co. (0001821825) (Filer),,D,2026-04-27T17:18:27-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182416 <b>Size:</b> 21 KB,2026-04-27T23:05:32Z
0001274737,,EXAGEN INC. (0001274737) (Filer),,D,2026-04-27T17:18:12-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001274737-26-000021 <b>Size:</b> 6 MB,2026-04-27T23:05:32Z
0001821825,,Organon & Co. (0001821825) (Filer),,D,2026-04-27T17:17:42-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001193125-26-182412 <b>Size:</b> 38 KB,2026-04-27T23:05:32Z
0001274737,,EXAGEN INC. (0001274737) (Filer),,D,2026-04-27T17:17:10-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001274737-26-000020 <b>Size:</b> 12 MB,2026-04-27T23:05:32Z
0002127553,,"NK-One Therapeutics, Inc. (0002127553) (Filer)",,D,2026-04-27T17:16:50-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002127553-26-000001 <b>Size:</b> 6 KB,2026-04-27T23:05:32Z
0001978246,,"Adronite, Inc. (0001978246) (Filer)",,D,2026-04-27T17:16:13-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001978246-26-000002 <b>Size:</b> 9 KB,2026-04-27T23:05:32Z
0002119140,,"BroadLight Valor ElevenLabs SPV, L.P. (0002119140) (Filer)",,D,2026-04-27T17:16:12-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002119140-26-000001 <b>Size:</b> 6 KB,2026-04-27T23:05:32Z
0002033383,,Fusemachines Inc. (0002033383) (Filer),,D,2026-04-27T17:15:26-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001493152-26-019179 <b>Size:</b> 3 MB,2026-04-27T23:05:32Z
0001636651,,Ovid Therapeutics Inc. (0001636651) (Filer),,D,2026-04-27T17:12:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027624 <b>Size:</b> 721 KB,2026-04-27T23:05:32Z
0001809104,,"Alight, Inc. / Delaware (0001809104) (Filer)",,D,2026-04-27T17:11:51-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027623 <b>Size:</b> 528 KB,2026-04-27T23:05:32Z
0001636651,,Ovid Therapeutics Inc. (0001636651) (Filer),,D,2026-04-27T17:11:05-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027621 <b>Size:</b> 2 MB,2026-04-27T23:05:32Z
0001809104,,"Alight, Inc. / Delaware (0001809104) (Filer)",,D,2026-04-27T17:09:42-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001628280-26-027616 <b>Size:</b> 9 MB,2026-04-27T23:05:32Z
0001434621,,"LendingTree, Inc. (0001434621) (Filer)",,D,2026-04-27T17:08:24-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017149 <b>Size:</b> 1 MB,2026-04-27T23:05:32Z
0001434621,,"LendingTree, Inc. (0001434621) (Filer)",,D,2026-04-27T17:07:45-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001140361-26-017148 <b>Size:</b> 4 MB,2026-04-27T23:05:32Z
0001350102,,"Ascent Solar Technologies, Inc. (0001350102) (Filer)",,D,2026-04-27T17:05:01-04:00,<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0001079973-26-000544 <b>Size:</b> 194 KB,2026-04-27T23:05:32Z
0002128782,,"SGV44, a Series of SGV I, LLC (0002128782) (Filer)",,D,2026-04-27T17:04:32-04:00,"<b>Filed:</b> 2026-04-27 <b>AccNo:</b> 0002128782-26-000001 <b>Size:</b> 6 KB
<br>Item 3C: Investment Company Act Section 3(c)
<br>Item 3C.1",2026-04-27T23:05:32Z
